date,hard_coal_tenn_actual,gas_tenn_actual,biomass_tenn_actual,pumped_storage_tenn_actual,hydro_tenn_actual,other_conv_tenn_actual,other_renew_tenn_actual,hard_coal_tenn_fitted,gas_tenn_fitted,biomass_tenn_fitted,pumped_storage_tenn_fitted,hydro_tenn_fitted,other_conv_tenn_fitted,other_renew_tenn_fitted,hard_coal_tenn_lower,gas_tenn_lower,biomass_tenn_lower,pumped_storage_tenn_lower,hydro_tenn_lower,other_conv_tenn_lower,other_renew_tenn_lower,hard_coal_tenn_upper,gas_tenn_upper,biomass_tenn_upper,pumped_storage_tenn_upper,hydro_tenn_upper,other_conv_tenn_upper,other_renew_tenn_upper
2026-01-24 00:00:00+00:00,252.00002,3285.1,1921.26,0.22999686,544.38,225.22,28.71,411.9294109477889,2958.794687465098,1904.4895609015396,42.95282152531354,532.2755428588016,240.6590709295613,28.857737430116323,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474
2026-01-24 01:00:00+00:00,252.90001,3291.23,1912.85,0.22999686,542.39996,225.26,28.71,449.8955282697682,2828.197553831433,1892.759534206181,91.99351294557954,569.7167826987859,247.10325258794677,28.8462772072374,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474
2026-01-24 02:00:00+00:00,254.00002,3479.24,1909.94,0.22999686,540.78,225.22,28.71,405.5612463227907,2984.3503321084017,1888.5724909441847,51.181215170980636,568.5432221744508,241.96216526222273,29.208318950869195,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474
2026-01-24 03:00:00+00:00,264.35,3498.22,1924.86,0.30000418,539.08,219.28,28.71,372.32602131936125,2928.7519478995246,1899.6040094014106,-8.197992758891502,567.4421861853154,240.0590379923644,28.959258469691598,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474
2026-01-24 04:00:00+00:00,292.2,3500.1,1958.82,0.30000418,529.43,217.35,28.71,453.86175597590864,2972.014948348984,1954.9375891117347,-11.265475489062993,569.035644384614,258.27181880099505,29.050382336217382,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474
2026-01-24 05:00:00+00:00,345.85,3509.7502,2052.08,0.30000418,527.68,217.35,28.71,456.8087969360757,3251.4808323212046,2007.7411247121352,32.80565450632804,597.635505115823,256.16798473505634,28.795852574794004,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474
2026-01-24 06:00:00+00:00,393.1,3538.03,2196.07,0.30000418,517.27,217.35,28.71,444.79337455924207,3314.1374899251723,2090.8826984701786,27.26728395552786,660.9844067141864,222.50935326057504,28.968132754940527,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474
2026-01-24 07:00:00+00:00,355.1,3605.01,2282.87,44.429993,565.09,217.39,28.71,435.6330815336066,2900.268637240371,2261.895489825302,189.08016328248644,735.9639072480055,181.16338557706393,35.35853235627385,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474
2026-01-24 08:00:00+00:00,328.3,3610.8,2264.47,134.72,564.9,217.47,28.71,444.53817893488724,3093.48530143293,2202.704905437798,237.3619039872574,770.8675012783167,194.21007812081933,35.82763595577114,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474
2026-01-24 09:00:00+00:00,323.8,3355.7,2222.49,106.93,560.21,223.48,28.71,488.73709658662835,2967.6131835177125,2083.7577332948304,39.15979235461651,748.4675269801498,194.64209937574765,36.53547805735226,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474
