number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
25,17.060234658148936,small,0.7747377009599894,False,False,True,False,True,False,True,False,False,True,False,,0.010197512351078256,9,72,0.10464573637444721,383,149,none,0.08763304344618314,2.8085178985180355e-07,large,distance_capacity,0.6657571070935596,False,True,COMPLETE
26,23.301290625892705,medium,0.6741380880458345,True,True,False,False,True,False,True,True,False,True,True,12.0,0.017565610825297808,12,85,0.04932901857087227,312,46,none,0.000532376526192002,7.407566384615536e-06,small,distance_n_panels,0.7193330130546097,True,False,COMPLETE
27,18.220325220498232,large,0.7572863060912024,False,False,True,False,True,False,True,False,False,True,False,1.0,0.030830268574382372,7,52,0.010013870150046782,774,21,none,0.0030851091497848893,5.848096279093512e-07,none,max,0.7473259381874783,False,True,COMPLETE
28,22.114283527893367,none,0.9412641405694964,False,False,True,False,True,False,False,False,False,True,True,6.0,0.025839132013630542,10,64,0.09695829777417801,683,43,large,0.00012392646351429976,0.000263778629562588,small,distance_capacity,0.570680280069491,False,True,COMPLETE
29,24.650586502059998,medium,0.7343569055667462,False,False,True,False,True,False,False,False,False,True,True,12.0,0.015294923817641738,16,93,0.2021202491367905,581,138,none,4.494626972647741e-08,2.8488836833965332e-08,medium,distance_n_panels,0.6880582871224626,False,False,COMPLETE
30,16.640657396364144,small,0.8253193229299355,False,False,True,False,True,False,True,False,False,True,False,,0.03663302898697344,11,78,0.27740782488233834,813,126,small,6.104589793782721e-07,0.0010978046510396443,large,None,0.6125154332457339,False,True,COMPLETE
31,16.12510307574019,small,0.7024140543170682,False,False,True,False,True,False,True,False,False,True,False,,0.05088118976009594,8,79,0.04425989186546083,453,29,none,0.0011205082861150786,1.2836552099029838e-06,large,max,0.6392587506588592,False,True,COMPLETE
32,16.20747460156517,small,0.7697274969295381,False,False,True,False,True,False,True,False,False,True,False,,0.0540940333170826,9,70,0.04880909793321592,418,28,none,0.016069704960809665,1.9247129117773343e-06,large,max,0.6687509765116082,False,True,COMPLETE
33,16.42685089768413,small,0.6118625510933093,False,False,True,False,True,False,True,False,False,True,False,,0.09597396397669604,7,92,0.06655295342113546,494,18,none,0.0003263784927921778,9.709870191873383e-08,large,n_panels,0.5142240426623482,False,True,COMPLETE
34,16.484859095743502,small,0.7311220190173108,True,True,False,False,False,False,True,False,True,True,False,,0.048585273076239964,8,62,0.14944308496311026,662,29,none,0.0052910515426465585,9.642380169447287e-07,medium,max,0.532537802534698,True,True,COMPLETE
35,16.878597861224264,large,0.6932105315601725,False,False,True,False,True,True,True,True,False,True,False,,0.01930103655243707,4,80,0.10640090285691015,378,11,small,4.081625229060844e-05,5.776172747064799e-06,large,mean,0.6275596659098395,False,True,COMPLETE
36,16.353654743046324,none,0.8579859575672719,True,True,False,True,False,False,False,False,False,True,False,,0.06472987979926927,12,47,0.0008909006414977369,307,40,large,0.0010629892228939085,2.355217207292485e-05,small,max,0.6055407100059808,True,False,COMPLETE
37,21.198860388019025,medium,0.6687926601724214,False,False,True,False,True,True,False,False,True,True,False,12.0,0.012161945967283936,7,92,0.07802665917161417,939,97,none,1.564683020580747e-06,8.768285093848185e-05,medium,idw,0.7304231830354023,False,True,COMPLETE
38,21.284409485984558,large,0.7884678338259646,False,True,True,True,True,False,True,False,False,False,True,6.0,0.0240178277058624,14,72,0.03474893104224455,429,50,small,0.08753593869255816,1.2751688273979036e-07,large,capacity,0.5814896243113485,False,True,COMPLETE
