date,wind_onshore_50hz_actual,wind_onshore_50hz_fitted,wind_onshore_50hz_lower,wind_onshore_50hz_upper
2026-05-07 00:00:00+00:00,,2913.1822626807925,1783.7953418611903,4042.569183500394
2026-05-07 01:00:00+00:00,,3189.01840519003,2059.6314843704286,4318.405326009632
2026-05-07 02:00:00+00:00,,3416.266115961315,2286.8791951417134,4545.653036780917
2026-05-07 03:00:00+00:00,,2913.374039545976,1783.987118726374,4042.760960365578
2026-05-07 04:00:00+00:00,,2722.7491387931473,1593.3622179735453,3852.1360596127492
2026-05-07 05:00:00+00:00,,2556.8680308162557,1427.4811099966537,3686.2549516358577
2026-05-07 06:00:00+00:00,,3406.887620127188,2277.500699307586,4536.27454094679
2026-05-07 07:00:00+00:00,,3819.218129449707,2689.831208630105,4948.605050269309
2026-05-07 08:00:00+00:00,,3346.794666406254,2217.407745586652,4476.181587225856
2026-05-07 09:00:00+00:00,,2911.2738757836846,1781.8869549640826,4040.6607966032866
2026-05-07 10:00:00+00:00,,2661.1479167602497,1531.7609959406477,3790.5348375798517
2026-05-07 11:00:00+00:00,,2753.9687025034723,1624.5817816838703,3883.3556233230743
2026-05-07 12:00:00+00:00,,2919.910909998579,1790.523989178977,4049.297830818181
2026-05-07 13:00:00+00:00,,3018.8187331910785,1889.4318123714763,4148.2056540106805
2026-05-07 14:00:00+00:00,,2735.7220839653705,1606.335163145769,3865.1090047849725
2026-05-07 15:00:00+00:00,,2519.282611781413,1389.8956909618114,3648.669532601015
2026-05-07 16:00:00+00:00,,2640.032928708344,1510.6460078887426,3769.419849527946
2026-05-07 17:00:00+00:00,,2571.4647967342225,1442.0778759146206,3700.8517175538245
2026-05-07 18:00:00+00:00,,2963.8187348918523,1834.4318140722505,4093.2056557114543
2026-05-07 19:00:00+00:00,,2959.24702580323,1829.8601049836282,4088.633946622832
2026-05-07 20:00:00+00:00,,2601.6928581911598,1472.3059373715578,3731.0797790107617
2026-05-07 21:00:00+00:00,,2692.8074440476316,1563.4205232280297,3822.1943648672336
2026-05-07 22:00:00+00:00,,2974.6147448994616,1845.2278240798596,4104.001665719064
2026-05-07 23:00:00+00:00,,2673.669540294024,1544.282619474422,3803.056461113626
2026-05-08 00:00:00+00:00,,1956.0859568177632,826.6990359981614,3085.472877637365
2026-05-08 01:00:00+00:00,,1728.4772905797968,599.0903697601952,2857.8642113993988
2026-05-08 02:00:00+00:00,,1791.6500400278014,662.2631192081994,2921.0369608474034
2026-05-08 03:00:00+00:00,,2053.576810509331,924.1898896897292,3182.963731328933
2026-05-08 04:00:00+00:00,,2114.293564606713,984.9066437871111,3243.680485426315
2026-05-08 05:00:00+00:00,,1895.151491802508,765.7645709829062,3024.5384126221097
2026-05-08 06:00:00+00:00,,1244.1092708574943,114.72235003789274,2373.4961916770962
2026-05-08 07:00:00+00:00,,1272.3662748341821,142.97935401458017,2401.753195653784
2026-05-08 08:00:00+00:00,,1200.3844550302351,70.99753421063315,2329.771375849837
2026-05-08 09:00:00+00:00,,1315.4973497715268,186.11042895192486,2444.884270591129
2026-05-08 10:00:00+00:00,,1622.228320506535,492.8413996869326,2751.615241326137
2026-05-08 11:00:00+00:00,,927.4225420191638,-201.96437880043823,2056.8094628387653
2026-05-08 12:00:00+00:00,,1005.0904007016125,-124.29652011798999,2134.4773215212144
2026-05-08 13:00:00+00:00,,894.1732451021944,-235.2136757174071,2023.5601659217964
2026-05-08 14:00:00+00:00,,913.3545698846019,-216.03235093500007,2042.741490704204
2026-05-08 15:00:00+00:00,,1052.086342227156,-77.30057859244653,2181.473263046758
2026-05-08 16:00:00+00:00,,1224.3370872644532,94.95016644485077,2353.7240080840547
2026-05-08 17:00:00+00:00,,1105.9908829226429,-23.396037896959115,2235.377803742245
2026-05-08 18:00:00+00:00,,1897.4266258074376,768.0397049878356,3026.8135466270396
2026-05-08 19:00:00+00:00,,3219.415046676145,2090.028125856543,4348.801967495747
2026-05-08 20:00:00+00:00,,3856.4565787883125,2727.0696579687105,4985.843499607914
2026-05-08 21:00:00+00:00,,3116.577796123497,1987.1908753038954,4245.964716943099
2026-05-08 22:00:00+00:00,,2360.4773715897168,1231.0904507701148,3489.8642924093188
2026-05-08 23:00:00+00:00,,1697.2871177021834,567.9001968825814,2826.6740385217854
2026-05-09 00:00:00+00:00,,1214.302655426905,84.91573460730297,2343.6895762465065
2026-05-09 01:00:00+00:00,,1300.2061670933044,170.819246273702,2429.5930879129064
