number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,29.086212594370135,0.7832719747764924,False,False,True,False,True,True,True,True,False,False,small,1.0,0.04153601782507321,13,90,0.1519506392794187,327,115,small,6.20599295057679e-06,0.0020228690053748053,idw,0.5738516744173867,6,False,COMPLETE
1,33.700762006896696,0.939803346325563,False,True,False,True,True,False,False,False,True,True,large,1.0,0.28331223160878694,11,75,0.378773179769387,761,26,large,9.157204771743121e-06,0.4195297894278912,mean,0.582172516438222,6,True,COMPLETE
2,28.628925495426056,0.8628027419375022,True,True,True,True,False,False,False,False,True,True,small,1.0,0.14472235616726206,7,8,0.27542516460960437,769,105,small,0.04023498820680629,1.2547461053920455e-06,max,0.5243252052209552,0,False,COMPLETE
3,22.650318745799918,0.8230870114337054,False,True,False,True,True,False,False,True,False,False,small,,0.15407565892684458,10,60,0.2481128133934855,834,133,small,0.0003662085826600869,0.4218239054451762,mean,0.6679139962705329,6,True,COMPLETE
4,34.212853237452826,0.8266568062119386,False,False,False,True,True,True,False,True,False,True,small,12.0,0.11233019359949799,10,57,0.3074002744656934,669,111,none,0.3835529083513084,8.277189891781133e-07,distance_n_turbines,0.8974322297671689,0,False,COMPLETE
5,33.94616031588811,0.9107833073637508,True,True,False,False,True,True,True,False,False,True,none,12.0,0.16627885349950317,6,87,0.3991032192497721,970,150,none,2.4156559424225216e-05,1.0379321089004616e-05,max,0.605814570765909,0,True,COMPLETE
6,27.870089666729754,0.6837981177914518,False,False,True,True,True,False,False,True,True,False,small,1.0,0.2984344687678164,9,56,0.34471562766288116,958,36,large,3.205411926931658e-08,0.00012033469711963231,max,0.9134723023487106,6,True,COMPLETE
7,34.5723863451767,0.7737759656147458,False,True,False,False,True,False,True,True,False,False,large,12.0,0.01896514370018734,9,47,0.38282795328225705,681,71,none,5.745859394546835e-07,0.0006914105118158378,None,0.8676630329638737,0,True,COMPLETE
8,36.11226633216716,0.9143301903866787,True,True,True,False,True,True,True,True,True,True,small,12.0,0.12114877765796449,11,80,0.49068286862990945,750,122,large,1.4908906530472692e-07,2.176891640204509e-06,mean,0.5497624971980795,6,True,COMPLETE
9,29.34093428646084,0.5356912512583015,False,False,True,False,True,True,True,False,True,False,small,6.0,0.06311773605557121,5,84,0.21573539858771973,582,85,large,5.833616034206338e-07,9.743904046569394e-08,distance_n_turbines,0.5018228990723862,6,False,COMPLETE
