Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,False
vapor_pressure,False
gust_factor,True
turbulence_window,6
lags_choice,none
precip_lags_choice,small
drop_raw_main_features,False
drop_raw_wind_features,True
spatial_agg_method,mean
lags_target,
n_estimators,302
learning_rate,0.18596143548678443
num_leaves,36
max_depth,10
min_child_samples,41
subsample,0.8774902922509528
colsample_bytree,0.6415615225695168
reg_alpha,0.9214755375264544
reg_lambda,0.002259636414641125
min_split_gain,0.2681348444289401
