Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,True
compute_wind_ramp,False
compute_air_density_moiust_air_correction,True
dew_point_temperature,False
vapor_pressure,True
gust_factor,False
turbulence_window,2
lags_choice,small
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,True
spatial_agg_method,distance_capacity
n_estimators,346
learning_rate,0.0204419962593303
num_leaves,73
max_depth,15
min_child_samples,87
subsample,0.5075678917844111
colsample_bytree,0.5896787034940101
reg_alpha,5.935412667755201e-05
reg_lambda,1.587775377961325e-08
min_split_gain,0.4290127362669858
use_base_models_pred_intervals,False
cv_folds_base,40
