number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,404.62640037464007,none,0.5409918014819335,True,True,True,False,True,True,True,False,False,True,True,1.0,0.1530969413305202,9,93,0.2441445840728811,965,28,large,5.073107015086015e-06,0.14688199814666067,none,mean,0.5208256620165259,False,True,COMPLETE
1,447.4661370296926,small,0.7913818122738531,True,True,False,False,True,True,False,False,False,True,True,12.0,0.05587094191275164,9,40,0.13933351169605296,885,108,none,0.5956007427823927,0.8189990563089956,small,capacity,0.6987328028750782,False,False,COMPLETE
2,412.56368022760444,none,0.5361675529020345,True,True,False,False,False,False,True,True,False,False,False,12.0,0.046813751544422036,5,54,0.1717057623055977,935,131,large,3.065876114825583e-08,0.0003339691004070113,large,distance_n_panels,0.9054483497803607,True,False,COMPLETE
3,483.50381916499873,small,0.6798568913597938,False,True,True,False,False,False,True,True,True,False,True,12.0,0.19502221934366273,4,22,0.45360534832793475,708,32,none,0.046245826707613694,2.1793562300704335e-08,small,None,0.536632331461135,True,True,COMPLETE
4,299.9027045753781,small,0.6822513657106889,False,True,False,False,False,False,False,True,False,False,False,,0.02459015084308776,10,26,0.054483507336880566,907,102,large,7.019759458194086e-08,0.9951033019391331,none,mean,0.9345891358504456,False,False,COMPLETE
5,391.29326111400195,large,0.9957470237321517,False,True,False,False,True,True,True,True,False,True,False,,0.1317785352565194,8,76,0.03365776216673205,368,134,large,0.0025540407649030992,0.0035206906865571123,small,n_panels,0.743199358892128,True,False,COMPLETE
6,368.7134879157006,small,0.8331439158056231,False,False,True,True,False,False,True,False,False,False,True,,0.08174361177256038,16,58,0.1905644941568217,739,34,small,0.43806439973713135,0.0014656592859286837,small,max,0.6793891798109823,False,False,COMPLETE
7,469.5555214712385,large,0.8642587088604793,True,False,True,False,True,True,True,True,False,True,False,1.0,0.09282061402248072,6,44,0.35183189034221646,915,103,small,2.560535843765664e-06,0.002513131016496159,large,None,0.7489860507585278,False,False,COMPLETE
8,494.5527837290162,small,0.742219942369039,True,False,True,False,False,False,True,False,True,False,True,12.0,0.025998070054492863,6,76,0.06664306226505373,820,67,none,2.485731465546521e-07,0.00012120477081356537,small,n_panels,0.8788038129073197,False,False,COMPLETE
9,436.80199718683224,large,0.5712662533199697,True,False,True,True,True,False,True,False,False,False,True,6.0,0.16680185402044262,7,75,0.3664231249962552,853,60,none,0.41047977585540685,0.083279811762249,large,capacity,0.9379463268681575,True,True,COMPLETE
10,309.8518573678436,medium,0.6496020862819969,False,True,False,True,False,False,False,True,True,False,False,,0.01271143445048785,13,7,0.08070589521622346,454,95,large,8.081174461666726e-05,4.892265776519674e-07,none,mean,0.9973162655788078,False,True,COMPLETE
11,303.8862131027017,medium,0.6413161175742351,False,True,False,True,False,False,False,True,True,False,False,,0.012542827131833868,13,7,0.009781570892776682,523,94,large,0.00014775473196607537,4.4781586236756573e-07,none,mean,0.995995003143729,False,True,COMPLETE
12,311.33614331192695,medium,0.644649674420046,False,True,False,True,False,False,False,True,True,False,False,,0.01101406939856359,12,7,0.004401017182082049,549,84,large,0.00031804678283098,3.2040773369502095e-06,none,mean,0.8369635354678611,False,True,COMPLETE
13,343.70306395400894,medium,0.712282995491047,False,True,False,True,False,False,False,True,True,False,False,,0.021078105476345657,13,26,0.11719971256239087,589,118,large,2.2412813143345065e-05,2.810136404557377e-06,medium,distance_capacity,0.9713337062104744,False,True,COMPLETE
14,404.5993779581022,medium,0.6119799001202092,False,True,False,True,False,False,False,True,True,False,False,6.0,0.022686857103417418,11,23,0.0038410418197181856,512,64,large,0.0013855839287417494,2.384642882453115e-08,none,idw,0.8421682701750659,False,False,COMPLETE
15,314.0742769823201,small,0.500981564022382,False,True,False,True,False,False,False,True,True,False,False,,0.016314899380496375,16,33,0.21441905041317047,680,147,large,2.690539427686355e-07,1.052853370599594e-05,none,mean,0.8210640261145845,False,True,COMPLETE
16,315.98057136503667,medium,0.606345581846603,False,True,False,True,False,False,False,True,True,False,False,,0.03330520653626408,14,16,0.31025273007933823,319,81,small,2.51487064438401e-08,1.8285252041597405e-07,medium,mean,0.934315167929951,False,False,COMPLETE
17,327.5253047941016,none,0.9268291541271285,False,True,False,False,False,False,False,True,False,False,False,,0.03637658200040768,11,14,0.08386132886406492,784,52,large,0.011708567783628082,2.6299521683887817e-05,none,max,0.6355915213222535,False,True,COMPLETE
18,498.0230198633463,medium,0.711878254107691,False,False,False,True,False,True,False,True,False,True,False,6.0,0.2928545522756777,10,34,0.13021096374621524,609,10,large,6.161851996776714e-06,0.025274246463915313,none,idw,0.9956560510860608,True,True,COMPLETE
19,434.2863289585146,small,0.783472153868829,False,True,False,False,False,False,False,True,True,False,False,1.0,0.015202954834435211,14,5,0.29095443952390226,440,93,small,2.4621212635898534e-07,2.215422164742642e-07,none,distance_capacity,0.7950157557706631,False,False,COMPLETE
20,367.3539976761578,small,0.6747938400573017,False,True,False,True,False,False,False,True,True,False,False,,0.016476115587702362,3,63,0.4829996669698595,639,117,large,0.0002277458519597828,0.020983812774737515,medium,distance_n_panels,0.9008837925621056,False,True,COMPLETE
21,312.89524014746274,medium,0.6298190019643736,False,True,False,True,False,False,False,True,True,False,False,,0.01012556565455115,14,13,0.06293875164524801,461,98,large,6.915890031243594e-05,3.172612449637521e-07,none,mean,0.9969475648193494,False,True,COMPLETE
22,310.60539377623513,medium,0.6714049717475385,False,True,False,True,False,False,False,True,True,False,False,,0.01328512385839249,12,6,0.08849968092925146,431,86,large,3.181977816528848e-05,9.912920296558099e-07,none,mean,0.9469749983419915,False,True,COMPLETE
23,316.97533039669185,medium,0.5983381040466623,False,True,False,True,False,False,False,True,True,False,False,,0.019785916903796504,15,29,0.04490803784821694,501,111,large,0.0011606819843393253,4.4426047973817245e-05,none,mean,0.9962362818169287,False,True,COMPLETE
24,309.909512230033,medium,0.7280943306371922,False,True,False,True,False,False,False,True,True,False,False,,0.029528420826927176,12,16,0.002722157234645765,394,73,large,1.1271120406638104e-06,3.857119605620621e-08,none,mean,0.8811121751731212,False,True,COMPLETE
25,312.8910509341554,medium,0.7774548800528466,False,True,False,True,False,False,False,True,True,False,False,,0.013354471925827527,10,44,0.10058430988126775,524,126,large,0.015662172690411817,5.924019965418081e-06,none,mean,0.954309841780362,False,True,COMPLETE
26,333.9363520737295,none,0.6645882637456885,False,False,False,False,True,True,False,False,False,True,False,,0.010369522778001478,13,13,0.03892073334930022,310,98,large,1.2254899801596127e-05,9.452733272500399e-07,none,mean,0.9151376559148899,True,False,COMPLETE
27,397.7142525239087,large,0.5748225847604959,False,True,False,True,False,False,False,True,True,False,False,1.0,0.018093629473685695,11,17,0.16315947358131455,569,50,large,0.0002172263525051797,0.0004407393275603885,none,mean,0.9689121362813383,False,True,COMPLETE
28,458.1605792989088,medium,0.694131789181006,False,True,False,False,False,False,False,True,False,False,False,6.0,0.013022926504218928,13,21,0.14555208346888981,654,92,none,7.919088082692201e-07,0.8387735979039548,medium,capacity,0.8759446585684652,False,False,COMPLETE
29,417.34473000345605,none,0.7572215167328823,True,True,True,False,True,True,False,False,False,True,True,1.0,0.04481208063799226,9,35,0.236568994714138,479,77,small,1.0990473353671981e-08,8.381571429313241e-08,none,mean,0.5397429207845352,False,True,COMPLETE
30,320.4523847215654,small,0.6445282022428346,False,True,False,True,False,False,False,True,True,False,False,,0.02395767513130174,8,87,0.03428944399629607,979,143,large,6.961057759749012e-05,8.131304673211632e-07,large,idw,0.8028255677861643,False,True,COMPLETE
31,312.0419156145532,medium,0.7305984635555381,False,True,False,True,False,False,False,True,True,False,False,,0.029802740997571017,12,11,0.010210960789725028,373,76,large,7.620594309509534e-07,1.2399847929946979e-08,none,mean,0.8723568917089434,False,True,COMPLETE
32,322.6909986596267,medium,0.8220743318996652,False,True,False,True,False,False,False,True,True,False,False,,0.06301870019636575,15,8,0.0712200800467997,373,72,large,2.2406656305357526e-06,5.6755368728687336e-08,none,mean,0.9741233783857718,False,True,COMPLETE
33,347.3382392216067,medium,0.7094409124855509,False,True,False,True,False,False,False,True,True,False,False,,0.039992602685993084,10,19,0.0017631575854315448,411,111,large,8.441383635058951e-08,8.352018560008569e-08,none,distance_n_panels,0.9147739183294235,False,True,COMPLETE
34,448.38984387559054,medium,0.575304111228732,True,True,False,True,False,False,False,True,True,False,True,12.0,0.03093029534381364,12,28,0.045731629081147966,406,89,large,5.862666669571101e-08,5.376005953486183e-07,none,mean,0.9238488834340964,False,True,COMPLETE
35,322.5255098755777,small,0.541832089432659,False,True,False,False,True,True,False,True,False,True,False,,0.02689213686414811,11,39,0.10754791263787515,343,104,none,1.237577905706623e-06,4.1080631341531745e-08,none,None,0.9559845700328455,True,False,COMPLETE
36,493.6489982434798,medium,0.6390317898151099,False,True,False,False,False,False,False,False,True,False,False,12.0,0.06098626731185625,13,23,0.02941020479898021,748,57,large,9.668095381295455e-06,1.6291012678017016e-05,small,n_panels,0.8662450635436985,False,True,COMPLETE
37,356.8083252690844,none,0.7447441062808106,True,True,True,True,False,False,True,True,False,False,True,,0.04811837682715299,15,49,0.16311860557948316,471,41,large,0.0052146742120292786,0.19232249557636447,large,max,0.897150239886413,True,False,COMPLETE
38,368.3326328321932,large,0.8578873602702939,False,False,False,False,True,True,True,True,True,True,False,,0.019860523440800745,8,17,0.06244041704193441,549,69,large,0.0005843311983967929,9.658907702065234e-05,none,distance_capacity,0.7818531807598822,False,True,COMPLETE
39,424.27177955036694,small,0.6989330205644992,False,True,True,True,False,False,False,False,False,False,False,12.0,0.0130398598033735,9,9,0.1942876310862443,921,125,none,1.321402618311845e-07,1.9733867646355147e-06,small,None,0.9788257719966662,False,False,COMPLETE
