Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,False
use_solar_geometry,False
compute_air_density,False
compute_air_density_moist,True
compute_direct_ratio,False
compute_diffuse_ratio,False
compute_dni_ratio,False
compute_global_tilted_ratio,True
dew_point_temperature,False
vapor_pressure,False
precip_lags_option,large
cloud_lags_option,small
shortwave_lags_option,none
drop_raw_solar_features,False
drop_raw_features,False
spatial_agg_method,mean
lags_target,
n_estimators,907
learning_rate,0.02459015084308776
num_leaves,102
max_depth,10
min_child_samples,26
subsample,0.9345891358504456
colsample_bytree,0.6822513657106889
reg_alpha,7.019759458194086e-08
reg_lambda,0.9951033019391331
min_split_gain,0.054483507336880566
