date,hard_coal_tenn_actual,gas_tenn_actual,biomass_tenn_actual,pumped_storage_tenn_actual,hydro_tenn_actual,other_conv_tenn_actual,other_renew_tenn_actual,hard_coal_tenn_fitted,gas_tenn_fitted,biomass_tenn_fitted,pumped_storage_tenn_fitted,hydro_tenn_fitted,other_conv_tenn_fitted,other_renew_tenn_fitted,hard_coal_tenn_lower,gas_tenn_lower,biomass_tenn_lower,pumped_storage_tenn_lower,hydro_tenn_lower,other_conv_tenn_lower,other_renew_tenn_lower,hard_coal_tenn_upper,gas_tenn_upper,biomass_tenn_upper,pumped_storage_tenn_upper,hydro_tenn_upper,other_conv_tenn_upper,other_renew_tenn_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,221.10002,2940.7,1916.45,0.24000663,306.75003,273.22,28.71,466.60192422952514,1854.656662995582,1893.772685388888,102.10598642049511,906.4493592898154,274.0725966822179,33.274083891076536,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,222.00002,3022.76,1915.04,0.24000663,317.80002,273.22,28.71,465.78788133440645,1833.6607706454352,1895.4389837748415,109.593067434265,906.9831041616786,274.0725966822179,33.29510128342916,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,224.90001,3029.65,1911.05,0.24000663,327.46,273.22,28.71,462.5501780363117,1814.693307332808,1897.715919834171,117.08014844803489,907.613910360986,274.0725966822179,33.339292355054035,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,235.40001,3175.08,1926.53,0.24000663,319.99002,263.33,28.71,463.52868145329717,1817.9144844008567,1902.341883144269,124.56722946180477,908.1067135838847,274.0725966822179,33.34656761580228,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,253.60002,3385.2,1945.57,0.24000663,327.50003,261.0,28.71,465.2516598089853,1826.6760803439347,1906.235888582546,132.05431047557465,908.6965787944055,274.0725966822179,33.38213556471758,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,245.3,3304.9,2050.77,0.14000052,332.28,264.95,28.71,460.3287669055627,1882.0999033170087,1915.097997516465,139.54139148934456,909.2284001863778,274.0725966822179,33.4592001501949,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,249.2,3316.34,2184.49,0.22999686,340.94003,286.04,28.71,467.0921206616671,1959.9202044673384,1927.1710529724019,147.02847250311444,910.2132430375374,274.0725966822179,33.43279365239255,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,261.1,3487.13,2243.42,0.28999442,379.75003,413.27,28.71,473.07419085791867,2021.2547042757174,1937.7182031499115,154.51555351688432,910.5880348188797,274.0725966822179,33.44572771955894,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,263.3,3611.77,2225.55,0.22999686,392.36002,491.81,28.71,479.61301566637445,2084.627451431114,1943.6529344908738,162.00263453065423,910.924771989343,274.0725966822179,33.38105752892094,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,263.05,3694.19,2172.41,0.22000235,412.29,425.73,28.71,483.83831333793495,2096.9473988544005,1942.444533426292,169.48971554442412,911.4195003591375,274.0725966822179,33.23366403651754,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,260.2,3806.2803,2113.47,31.929995,405.01004,292.88,28.71,484.38754993437374,2082.64799306811,1938.5037047299147,176.976796558194,912.0151373407266,274.0725966822179,33.07818700360156,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,254.35002,3885.05,2035.59,0.880006,378.30002,273.3,28.71,484.07794455173655,2058.2912966821955,1937.4117849459146,184.46387757196388,912.7430041962601,274.0725966822179,32.93753027328173,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,251.2,3785.69,2009.3,0.20999259,370.23,273.34,28.71,477.44794043487406,2077.630799154951,1939.9324620190941,191.9509585857338,913.6469273076852,274.0725966822179,32.92836877710374,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,247.40001,3758.75,2023.68,0.25000113,356.93002,273.34,28.71,479.69478665468455,2105.5858260879645,1947.787572447406,199.43803959950367,914.0597740244755,274.0725966822179,32.89684190894979,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,253.90001,3990.17,2054.88,0.22000235,342.91,273.3,28.71,487.61340586486403,2164.3727044006255,1963.8852329146262,206.92512061327355,914.4535934358261,274.0725966822179,32.98037345541333,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,517.1155239445823,1834.6012150046938,1931.1120467195058,189.3907482052295,931.1273446873256,272.4538835293906,32.038332068352474,2026-01-31 00:00:00+00:00,14
