number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
12,22.90123176574707,small,0.805146192402351,True,False,True,False,True,True,True,True,True,False,True,False,False,True,False,False,True,6.0,0.1317384677291061,5,7,523,medium,0.6313762425932014,4.574957461460841e-08,long,mean,0.8865849126755765,medium,COMPLETE
13,22.025352478027344,small,0.5052720664213581,True,False,True,False,True,True,True,True,True,False,True,False,False,True,False,False,True,6.0,0.1250944124340324,7,10,500,medium,0.031190977615484016,5.5939111564670196e-05,long,distance_energy,0.8283548495860943,medium,COMPLETE
14,23.466577529907227,small,0.5269517108803533,True,False,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,6.0,0.19710140363437115,8,10,570,medium,0.014667171138318554,3.424055459613365e-05,long,distance_energy,0.875775550217395,medium,COMPLETE
15,23.107900619506836,small,0.5140125066704445,True,False,True,False,True,True,True,True,True,False,True,False,False,True,False,False,True,6.0,0.10029520550400813,7,10,422,medium,0.02680511134234943,1.380855108356512e-05,long,population,0.7569859469989252,none,COMPLETE
16,21.058717727661133,small,0.6289377615145022,True,False,True,False,True,True,False,True,True,False,False,False,False,True,False,False,True,6.0,0.03650039990938607,10,8,763,medium,0.018225757113097825,0.00041646749208595506,short,distance_energy,0.5767807327893314,medium,COMPLETE
17,23.53997039794922,small,0.6194666062053636,True,False,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,1.0,0.01063176986672857,10,8,772,medium,0.0023371185793712216,0.0005805134299729051,short,distance_energy,0.5300541599156982,medium,COMPLETE
18,22.214492797851562,small,0.6510032998345109,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,12.0,0.03120221711479013,9,7,764,medium,0.0814584538576192,0.0745280143630547,short,energy,0.6100393133470277,small,COMPLETE
19,21.888757705688477,small,0.7788309388901621,True,False,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,6.0,0.036009174912623024,9,9,975,small,0.0024226714406494734,0.0004198973100153667,short,population,0.6147188256938996,none,COMPLETE
20,21.462636947631836,small,0.7091452180623133,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,6.0,0.022211926116939014,10,6,731,medium,0.10554335462735734,7.393560863533622e-06,short,mean,0.5072469116714435,medium,COMPLETE
21,20.370038986206055,small,0.702232006064121,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,6.0,0.02123051430944886,10,6,714,medium,0.12160635057733361,4.6202898754265855e-06,short,mean,0.5089340397933084,medium,COMPLETE
