number,value,params_alpha,params_l1_ratio,state
0,0.4044862763477582,0.845227130955968,0.7405753896191942,COMPLETE
1,0.38462349441294524,0.6883892799254286,0.6448399387180923,COMPLETE
2,0.35083783224022613,0.36935969089142634,0.755520600953445,COMPLETE
3,0.372036559265892,0.8872961242925695,0.4153848769806374,COMPLETE
4,0.40021555066153147,0.6870388075406441,0.8414683905026789,COMPLETE
5,0.34725605738272836,0.41660869702553865,0.602610200276643,COMPLETE
6,0.31427198957986113,0.934617121593026,0.011907347831725826,COMPLETE
7,0.31652489507720644,0.32571145628837556,0.15652310730842353,COMPLETE
8,0.35824010881894575,0.9439452575899066,0.29950471269725787,COMPLETE
9,0.3512786145574877,0.30176566970513174,0.964352067123712,COMPLETE
10,0.30472972990793695,0.1438221031131673,0.028075568079166467,COMPLETE
11,0.30101522782901824,0.044717251423264104,0.020856967249646346,COMPLETE
12,0.3000095420038654,0.010948435445615294,0.016134414475041783,COMPLETE
13,0.3034497167828466,0.034925789324930144,0.2102363357696163,COMPLETE
14,0.31677817770094563,0.14976470089749613,0.37586635851650607,COMPLETE
15,0.3028681950855318,0.0362795388818096,0.143918160758498,COMPLETE
16,0.31027982312716723,0.19858374778823495,0.10175559880688614,COMPLETE
17,0.334765212620828,0.5032766923864087,0.2876439981396722,COMPLETE
18,0.3026196676292759,0.014948668337744222,0.49140980429368486,COMPLETE
19,0.31683133600681784,0.2166786539833389,0.256442465370315,COMPLETE
20,0.32016043929600013,0.6272677606828633,0.09440769627222738,COMPLETE
21,0.30191737539764246,0.012389788924457574,0.48300552636649113,COMPLETE
22,0.3162912952426883,0.09942118788030677,0.5373281903094869,COMPLETE
23,0.31229884932142,0.09759399027541596,0.3754333861728527,COMPLETE
24,0.305932507457856,0.2371899856747453,0.011281758330884146,COMPLETE
25,0.3087094075710869,0.08930188518954657,0.2024215608657967,COMPLETE
26,0.34116613214340025,0.23854123419153714,0.9865081888309619,COMPLETE
27,0.34475280575083783,0.4860879148610265,0.46637338266842177,COMPLETE
28,0.3084908978841261,0.1413926502986399,0.10321541421672006,COMPLETE
29,0.30792108856105727,0.02620076617115759,0.7140503346599715,COMPLETE
30,0.34782905237279965,0.31040193918610887,0.8650953693956193,COMPLETE
31,0.30569300613895295,0.026072265222628822,0.48484120562532657,COMPLETE
32,0.31496804216862606,0.08372902459928852,0.5691288681994151,COMPLETE
33,0.3270444495398548,0.1893491035240587,0.6310879572139878,COMPLETE
34,0.4001307262812946,0.8163238053312072,0.7020807478929556,COMPLETE
35,0.30216074176284075,0.014635568508620404,0.41739790206170335,COMPLETE
36,0.31144999827980824,0.08110968566015142,0.40552718946622535,COMPLETE
37,0.3313853521839614,0.3927964557272753,0.3332173474029619,COMPLETE
38,0.32614592154142913,0.15221238249821772,0.7804181696465002,COMPLETE
39,0.3097704967869778,0.280269738730067,0.05420916895071958,COMPLETE
40,0.326959010644119,0.5775267861699861,0.1752995088789689,COMPLETE
41,0.3016665904041647,0.011019337180472474,0.4524181986408453,COMPLETE
42,0.31132991854253506,0.07258711705936795,0.44907165044901004,COMPLETE
43,0.30329439423411775,0.014861172195406266,0.5954312036227896,COMPLETE
44,0.31916651331354023,0.1301338506474005,0.5403384307374148,COMPLETE
45,0.3439580615700038,0.7945781602957356,0.24670314719269637,COMPLETE
46,0.3084622865288766,0.05850499916500193,0.3402998878238678,COMPLETE
47,0.3162135177937761,0.12556004918223482,0.4270235778078763,COMPLETE
48,0.30786915003959614,0.18148807789057642,0.0625191455057929,COMPLETE
49,0.312834071753386,0.057928961706501476,0.6779562655936904,COMPLETE
