number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_shortwave_lags_option,params_spatial_agg_method,params_use_solar_geometry,params_vapor_pressure,state
0,63.43974742204241,0.7678332688916303,medium,False,False,False,False,True,True,True,False,True,False,True,0.9439925606357017,1.0,small,none,idw,False,False,COMPLETE
1,34.3114237833733,0.6918712701405327,none,True,False,True,True,False,True,False,True,False,True,False,0.07373280913235652,6.0,large,small,mean,False,True,COMPLETE
2,26.17275972817413,0.33581298254769204,large,True,True,True,False,False,False,True,True,False,False,False,0.058232719974467106,,small,small,distance_n_panels,True,False,COMPLETE
3,197.60531426448134,0.7580303630744475,large,True,False,True,True,True,False,True,True,False,True,True,0.07035290889924162,1.0,small,small,mean,False,False,COMPLETE
4,34.42489087218912,0.41781686826685627,none,False,True,True,False,False,True,False,True,True,True,False,0.9524263466932154,12.0,none,medium,capacity,True,True,COMPLETE
5,26.127298271041298,0.16235070674929103,large,False,False,False,False,True,False,True,False,True,True,False,0.6690220654799524,,small,large,idw,True,False,COMPLETE
6,34.13264747083103,0.24496341232588376,medium,True,False,False,True,True,True,False,False,True,False,False,0.8490021981042605,12.0,small,small,None,False,True,COMPLETE
7,37.97804827402564,0.4955612206446607,none,True,False,False,True,False,False,False,True,True,True,True,0.37541946878196886,6.0,small,large,n_panels,False,False,COMPLETE
8,36.35370327669629,0.7210523090381196,medium,False,True,False,True,False,False,True,False,True,False,True,0.39363657857822587,6.0,small,small,capacity,True,True,COMPLETE
9,33.73782222112876,0.41294046195320494,medium,False,False,True,False,True,True,False,True,False,True,False,0.4323636299483518,12.0,none,small,max,True,True,COMPLETE
10,26.342162449275605,0.02932581964786163,small,False,True,False,False,True,False,True,False,True,True,False,0.6695859472140978,,large,large,distance_capacity,True,False,COMPLETE
11,26.229113443774164,0.17012176642950233,large,True,True,True,False,False,False,True,False,False,False,False,0.6491129591625461,,small,large,distance_n_panels,True,False,COMPLETE
12,26.098559108240597,0.22968489681722543,large,True,True,False,False,True,False,True,False,False,False,False,0.2052719347887194,,small,medium,distance_n_panels,True,False,COMPLETE
13,26.085484003880765,0.9997840527788856,large,False,True,False,False,True,False,True,False,False,False,False,0.2658097429239336,,small,medium,idw,True,False,COMPLETE
14,26.113831258748863,0.9000293087543229,large,True,True,False,False,True,False,True,False,False,False,False,0.2461437828864031,,large,medium,distance_n_panels,True,False,COMPLETE
15,26.212586838802082,0.963490565761803,small,False,True,False,False,True,False,True,False,False,False,False,0.23562011279896672,,none,medium,idw,True,False,COMPLETE
16,26.098559108240597,0.6159183215637547,large,True,True,False,False,True,False,True,False,False,False,False,0.24897277584179228,,small,medium,max,True,False,COMPLETE
17,26.085484003880765,0.5860050976848032,large,False,True,False,False,True,False,True,False,False,False,False,0.17741039793146868,,small,medium,n_panels,True,False,COMPLETE
18,76.56680185510167,0.8775492439045289,large,False,True,False,False,True,False,True,False,False,False,True,0.5394891637414791,1.0,large,none,n_panels,True,False,COMPLETE
19,26.212586838802082,0.5705362741623934,small,False,True,False,False,True,False,True,False,False,False,False,0.33858680928233353,,none,medium,n_panels,True,False,COMPLETE
20,26.085484003880765,0.9944141704103504,large,False,True,False,False,True,False,True,False,False,False,False,0.18677263936796878,,small,medium,distance_capacity,True,False,COMPLETE
21,26.085484003880765,0.9848301414568137,large,False,True,False,False,True,False,True,False,False,False,False,0.14509537098004438,,small,medium,distance_capacity,True,False,COMPLETE
22,26.085484003880765,0.8561538567308891,large,False,True,False,False,True,False,True,False,False,False,False,0.16003850104478523,,small,medium,distance_capacity,True,False,COMPLETE
23,26.085484003880765,0.8210236295542132,large,False,True,False,False,True,False,True,False,False,False,False,0.3113124068913513,,small,medium,None,True,False,COMPLETE
24,26.085484003880765,0.9895450349247173,large,False,True,False,False,True,False,True,False,False,False,False,0.49994216211830633,,small,medium,distance_capacity,True,False,COMPLETE
25,26.94275645465774,0.6056037073714655,large,False,True,False,False,True,False,True,False,False,False,False,0.012420050216818718,,small,none,idw,True,False,COMPLETE
26,35.90175983210111,0.9165011145560436,large,False,True,False,True,True,True,False,False,False,False,True,0.1427938443071337,6.0,small,medium,n_panels,False,True,COMPLETE
27,37.5604035747792,0.7956609983885304,none,False,True,False,False,True,False,True,False,False,False,False,0.2879923755435813,1.0,small,medium,distance_capacity,True,False,COMPLETE
28,33.14088632370865,0.9158129125409039,small,False,True,False,False,True,False,True,False,False,False,False,0.45115191331990084,12.0,large,medium,idw,True,False,COMPLETE
29,62.11452299792469,0.6711455509209281,medium,False,True,False,False,True,True,True,False,False,False,True,0.1548192944321633,1.0,none,none,n_panels,False,False,COMPLETE
30,26.085484003880765,0.48660714015521006,large,False,True,False,False,True,False,True,False,False,False,False,0.5616495184935468,,small,medium,idw,True,False,COMPLETE
31,26.085484003880765,0.9888374943160784,large,False,True,False,False,True,False,True,False,False,False,False,0.12479650777736889,,small,medium,distance_capacity,True,False,COMPLETE
32,26.085484003880765,0.9329645435497625,large,False,True,False,False,True,False,True,False,False,False,False,0.19145331830706955,,small,medium,distance_capacity,True,False,COMPLETE
33,26.085484003880765,0.834477437542565,large,False,True,False,False,True,False,True,False,False,False,False,0.10298938562471785,,small,medium,mean,True,False,COMPLETE
34,26.258309286548215,0.9986620188254359,large,False,False,True,True,False,False,True,True,False,False,False,0.015100508756808462,,small,medium,distance_capacity,False,False,COMPLETE
35,35.845100773605566,0.7226633350411336,none,False,True,True,False,True,True,False,True,False,False,False,0.06963251870265251,6.0,small,none,capacity,True,True,COMPLETE
36,26.155310056516907,0.7541484778772386,large,False,True,False,False,False,False,True,False,False,True,False,0.2758714377988558,,small,medium,mean,True,False,COMPLETE
37,26.392136997477962,0.36343294738933773,large,False,False,False,False,True,False,True,False,True,False,False,0.19605325360254813,,large,medium,distance_capacity,True,False,COMPLETE
38,34.873840389984984,0.8644477230408336,large,False,True,True,True,True,True,False,True,False,False,True,0.33764682315394456,12.0,small,large,None,False,True,COMPLETE
39,37.787048016951665,0.6624876779719788,none,False,False,False,False,False,False,True,False,True,True,False,0.8917422950199312,1.0,small,small,idw,True,False,COMPLETE
40,26.162667245727466,0.9452775280266938,medium,False,True,False,True,True,False,False,True,False,False,False,0.09409575764529937,,none,medium,max,False,False,COMPLETE
41,26.085484003880765,0.861134169768036,large,False,True,False,False,True,False,True,False,False,False,False,0.15976401071215768,,small,medium,distance_capacity,True,False,COMPLETE
42,26.085484003880765,0.8096019367917366,large,False,True,False,False,True,False,True,False,False,False,False,0.1955842922410284,,small,medium,distance_capacity,True,False,COMPLETE
43,26.085484003880765,0.946441501148573,large,False,True,False,False,True,False,True,False,False,False,False,0.0473838493984334,,small,medium,distance_capacity,True,False,COMPLETE
44,32.85102399049289,0.7719665091063546,large,False,True,False,False,True,False,True,False,True,True,False,0.3675850493710916,6.0,small,small,capacity,True,False,COMPLETE
45,26.116053557062234,0.876979505720122,large,True,True,True,False,True,False,True,False,False,False,False,0.12369152058921835,,small,medium,n_panels,True,True,COMPLETE
46,35.23917557677981,0.5330801828185858,large,False,False,False,False,False,False,True,False,False,False,True,0.22168348607971183,12.0,small,large,distance_capacity,True,False,COMPLETE
47,25.958761337851183,0.9992635889928968,medium,True,True,False,False,True,True,True,False,False,False,False,0.2759976455309344,,small,medium,distance_capacity,True,False,COMPLETE
48,25.798754073821826,0.9993147397177824,medium,True,True,False,True,True,True,True,False,True,True,False,0.7711590057569713,,large,medium,mean,True,False,COMPLETE
49,25.9811714967674,0.44639759268889356,medium,True,True,False,True,True,True,False,True,True,True,False,0.7899500053902136,,large,small,mean,True,True,COMPLETE
50,25.808053115701266,0.30413977619662075,medium,True,False,True,True,True,True,False,True,True,True,False,0.7710236350642812,,large,small,mean,True,True,COMPLETE
51,25.808053115701266,0.30086206408191146,medium,True,False,True,True,True,True,False,True,True,True,False,0.786181718214811,,large,small,mean,True,True,COMPLETE
52,25.808053115701266,0.2869421954765045,medium,True,False,True,True,True,True,False,True,True,True,False,0.7746437142185663,,large,small,mean,True,True,COMPLETE
53,25.808053115701266,0.2779545540701662,medium,True,False,True,True,True,True,False,True,True,True,False,0.7676020690750059,,large,small,mean,True,True,COMPLETE
54,25.808053115701266,0.29079920759357325,medium,True,False,True,True,True,True,False,True,True,True,False,0.7369168862756674,,large,small,mean,True,True,COMPLETE
55,25.808053115701266,0.27732155526891533,medium,True,False,True,True,True,True,False,True,True,True,False,0.7602517388899277,,large,small,mean,True,True,COMPLETE
56,25.808053115701266,0.17393097837320692,medium,True,False,True,True,True,True,False,True,True,True,False,0.7218828973967656,,large,small,mean,True,True,COMPLETE
57,35.73609860065438,0.3017329427896869,medium,True,False,True,True,False,True,False,True,True,True,True,0.8367530731801756,6.0,large,small,mean,True,True,COMPLETE
58,25.808053115701266,0.05744695102695513,medium,True,False,True,True,True,True,False,True,True,True,False,0.6199591851239454,,large,small,mean,True,True,COMPLETE
59,33.656380978471326,0.2150888460922901,medium,True,False,True,True,True,True,False,True,True,True,False,0.9829059152761618,12.0,large,small,mean,False,True,COMPLETE
60,25.808053115701266,0.3769623158604663,medium,True,False,True,True,True,True,False,True,True,True,False,0.7148783852305761,,large,small,mean,True,True,COMPLETE
61,25.808053115701266,0.29256188832619406,medium,True,False,True,True,True,True,False,True,True,True,False,0.7791078882232634,,large,small,mean,True,True,COMPLETE
62,25.808053115701266,0.2772200930742045,medium,True,False,True,True,True,True,False,True,True,True,False,0.7658123203466662,,large,small,mean,True,True,COMPLETE
63,25.808053115701266,0.10366983442309252,medium,True,False,True,True,True,True,False,True,True,True,False,0.8754420846517956,,large,small,mean,True,True,COMPLETE
64,36.77113042146983,0.3300359503958422,medium,True,False,True,True,True,True,False,True,True,True,False,0.8236550038887801,1.0,large,small,mean,True,True,COMPLETE
65,25.808053115701266,0.21140733767173048,medium,True,False,True,True,True,True,False,True,True,True,False,0.7352788348253133,,large,small,mean,True,True,COMPLETE
