number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_rolling_temp_option,params_spatial_agg_method,params_temp_lags_option,state
37,705.6786038439653,0.06329408179789411,small,True,True,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,0.5911923171281064,,small,none,distance_energy,medium,COMPLETE
38,740.9726457522062,0.4772598595963436,small,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,0.5050587388554697,,medium,none,distance_population,medium,COMPLETE
39,758.198415696761,0.13153704166211772,small,False,False,True,False,True,True,True,True,False,False,False,False,True,False,True,False,False,0.6604430525609981,12.0,medium,none,max,none,COMPLETE
40,735.0793820410848,0.35287566175242174,none,True,False,True,True,True,False,False,False,True,True,False,True,False,False,False,True,False,0.7899042685343849,,small,none,mean,medium,COMPLETE
41,645.7080100459123,0.2004962825419468,small,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.6887370263684847,,medium,none,None,medium,COMPLETE
42,645.7080100459123,0.10158056525180141,small,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.6496059504093653,,medium,none,None,medium,COMPLETE
43,686.3116760919689,0.06937410502608965,small,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.5276244462637354,,medium,none,idw,medium,COMPLETE
44,633.4362360893191,0.13391811539572357,medium,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,0.7355159863449647,,none,long,None,none,COMPLETE
45,652.9985288621509,0.2056217133287665,medium,False,False,True,False,True,False,True,True,True,False,False,False,True,True,True,False,False,0.7407555082223582,,none,long,None,none,COMPLETE
46,807.6873480432024,0.13630167000900084,medium,False,True,True,True,False,False,False,False,False,True,True,False,True,False,True,False,False,0.6011596116339558,6.0,none,long,energy,none,COMPLETE
47,876.7691376032004,0.044079319364978886,medium,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,True,0.4506479828293062,1.0,none,long,None,none,COMPLETE
48,630.0966004887067,0.19571109615062826,medium,False,False,True,False,True,False,False,True,True,False,False,False,True,True,True,False,False,0.8820716528222626,,none,long,None,none,COMPLETE
49,772.0888651947394,0.2840404797223618,medium,False,False,True,False,True,False,True,True,True,False,False,False,True,True,True,True,False,0.8833085613158332,,none,long,idw,none,COMPLETE
50,708.0558656494012,0.18800537203697074,medium,False,False,True,False,True,True,False,True,False,False,False,False,True,True,True,False,False,0.9372876794271819,,none,long,distance_energy,none,COMPLETE
51,630.0966004887067,0.12076826805728513,medium,False,False,True,False,True,False,False,True,True,False,False,False,True,True,True,False,False,0.797569208558466,,none,long,None,none,COMPLETE
52,630.0966004887067,0.3451931770469191,medium,False,False,True,False,True,False,False,True,True,False,False,False,True,True,True,False,False,0.7806951887465571,,none,long,None,none,COMPLETE
53,630.0966004887067,0.42772646277753185,medium,False,False,True,False,True,False,False,True,True,False,False,False,True,True,True,False,False,0.7902014566044767,,none,long,None,none,COMPLETE
54,630.0966004887067,0.44123457911082237,medium,False,False,True,False,True,False,False,True,True,False,False,False,True,True,True,False,False,0.7941057119201134,,none,long,None,none,COMPLETE
55,630.0966004887067,0.5931606113607646,medium,False,False,True,False,True,False,False,True,True,False,False,False,True,True,True,False,False,0.7831148785342222,,none,long,None,none,COMPLETE
56,771.2745678957705,0.5718290350767998,medium,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,0.7911382046734343,12.0,none,long,population,none,COMPLETE
57,617.8982847231323,0.5895624658404085,medium,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,False,0.8442277811409907,,none,long,None,none,COMPLETE
58,835.4050185804612,0.4283204023880971,medium,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,0.8482528980071872,1.0,none,long,None,none,COMPLETE
59,700.428207167395,0.3667500336216893,medium,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,0.9734986433944315,,none,long,max,none,COMPLETE
60,705.5753171970003,0.4975710271472471,medium,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,False,False,0.8320276392971148,,none,long,distance_population,none,COMPLETE
61,617.8982847231323,0.5753489810765476,medium,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,False,0.792195985714922,,none,long,None,none,COMPLETE
62,617.8982847231323,0.5366715815970851,medium,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,False,0.8641544571427154,,none,long,None,none,COMPLETE
63,617.8982847231323,0.5266754173141344,medium,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,False,0.86423713541778,,none,long,None,none,COMPLETE
64,617.8982847231323,0.6312084597721755,medium,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,False,0.8639888856202489,,none,long,None,none,COMPLETE
65,686.7667546174785,0.6266307673553959,medium,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,False,0.931298156031907,6.0,none,long,None,none,COMPLETE
66,684.8167667774223,0.7074324873437592,medium,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,False,0.8707309424145072,,none,long,energy,none,COMPLETE
67,617.8982847231323,0.5297892970813465,medium,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,False,0.9983449572990101,,none,long,None,none,COMPLETE
68,665.9466118881847,0.5320861207070902,medium,True,True,True,True,True,True,False,False,True,True,False,True,False,True,True,True,False,0.9869561971784084,,none,long,None,none,COMPLETE
69,677.5613463250962,0.6290498067872551,medium,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,0.9332884792707306,,none,long,mean,none,COMPLETE
