date,hard_coal_ampr_actual,lignite_ampr_actual,gas_ampr_actual,biomass_ampr_actual,pumped_storage_ampr_actual,hydro_ampr_actual,other_conv_ampr_actual,other_renew_ampr_actual,hard_coal_ampr_fitted,lignite_ampr_fitted,gas_ampr_fitted,biomass_ampr_fitted,pumped_storage_ampr_fitted,hydro_ampr_fitted,other_conv_ampr_fitted,other_renew_ampr_fitted,hard_coal_ampr_lower,lignite_ampr_lower,gas_ampr_lower,biomass_ampr_lower,pumped_storage_ampr_lower,hydro_ampr_lower,other_conv_ampr_lower,other_renew_ampr_lower,hard_coal_ampr_upper,lignite_ampr_upper,gas_ampr_upper,biomass_ampr_upper,pumped_storage_ampr_upper,hydro_ampr_upper,other_conv_ampr_upper,other_renew_ampr_upper
2026-01-24 00:00:00+00:00,1873.2899,4063.98,3562.99,789.86,4.283595e-06,103.87,531.03,45.18,1028.6682233779525,3258.8734635560068,3002.6395877545065,748.4732967125761,123.09618893229461,109.96614113626036,614.978738513656,51.392342203702405,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199
2026-01-24 01:00:00+00:00,2012.24,3778.39,4152.33,789.58,4.283595e-06,95.46,514.48,45.18,1020.9561323123655,3251.1992761479796,2977.4798939987277,749.9396339595969,129.89714026435962,109.96614113626036,614.978738513656,51.392342203702405,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199
2026-01-24 02:00:00+00:00,2091.45,3764.36,4162.26,789.58,4.283595e-06,95.2,562.11,45.18,1027.8951385708067,3280.39382479461,3006.4759526259327,751.2152922874122,136.69809159642463,109.96614113626036,614.978738513656,51.392342203702405,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199
2026-01-24 03:00:00+00:00,2177.86,3856.82,4215.68,789.58,4.283595e-06,95.27,554.54,45.18,1031.2351164674515,3299.286488240982,3023.0612467069373,752.6723856214813,143.49904292848964,109.96614113626036,614.978738513656,51.392342203702405,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199
2026-01-24 04:00:00+00:00,2005.4,3989.55,4434.95,789.58,4.283595e-06,95.46,564.53,45.18,1042.2331468083187,3317.1104051249445,3067.158625003311,754.2054696567712,150.29999426055466,109.96614113626036,614.978738513656,51.392342203702405,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199
2026-01-24 05:00:00+00:00,1919.01,4086.27,4538.18,790.99,4.283595e-06,103.66,566.56,45.18,1055.4304511154824,3334.7055788274024,3127.421220452313,756.8084606624127,157.10094559261967,109.96614113626036,614.978738513656,51.392342203702405,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199
2026-01-24 06:00:00+00:00,1931.59,4539.86,4881.82,793.54,4.283595e-06,103.68,571.99,45.18,1076.5259530085136,3393.109785346915,3223.8368705466232,759.8880468060971,163.90189692468468,109.96614113626036,614.978738513656,51.392342203702405,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199
2026-01-24 07:00:00+00:00,2079.94,5046.64,5208.1,795.63,61.56,103.7,514.08,45.18,1106.5038310289128,3454.6414964234064,3352.0828946086303,763.029474690721,170.7028482567497,109.96614113626036,614.978738513656,51.392342203702405,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199
2026-01-24 08:00:00+00:00,2287.11,5320.75,5279.93,795.35,141.81,103.7,528.52,45.18,1115.7693598094336,3453.8044685506084,3383.166350678144,764.007301858002,177.5037995888147,109.96614113626036,614.978738513656,51.392342203702405,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199
2026-01-24 09:00:00+00:00,2163.43,5427.88,4888.79,794.77,35.54999,103.7,545.21,45.18,1102.2591109241948,3436.635613680599,3312.2763638916317,762.4083482022082,184.3047509208797,109.96614113626036,614.978738513656,51.392342203702405,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199,1055.4749002676917,3444.4520705886116,3041.457130428496,759.9394619496663,198.97320985000115,110.05783213706243,614.5467839377267,50.88443983759199
