Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,True
compute_dew_point_spread,False
compute_temp_gradient,True
compute_wind_chill,False
compute_humidex,True
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,True
compute_air_density,True
compute_rain_indicator,False
compute_cloud_cover_fraction,False
compute_effective_solar,False
temp_lags_option,none
precip_lags_option,medium
cloud_lags_option,none
rolling_temp_option,none
drop_basic_meteo_features,True
drop_wind_meteo_features,True
drop_rad_meteo_features,True
spatial_agg_method,None
n_estimators,821
learning_rate,0.10481381893087027
num_leaves,53
max_depth,6
min_child_samples,94
subsample,0.5351588022807877
colsample_bytree,0.5543279473038675
reg_alpha,0.11793019645853901
reg_lambda,1.4719163648820481e-08
min_split_gain,0.42387242276348946
use_base_models_pred_intervals,False
cv_folds_base,40
