number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,23.435002128362346,medium,0.5234672343163216,True,False,True,False,True,False,True,False,False,False,False,True,False,True,True,True,True,0.010804603679079981,6,74,0.34553011420115826,909,44,medium,0.08188162738352465,4.813170901467819e-06,short,mean,0.5139472663519449,medium,True,COMPLETE
1,24.13948532822113,none,0.8178832621992866,False,True,False,True,True,False,False,True,True,True,True,True,True,False,False,True,False,0.19631490931237824,10,16,0.18885836286769747,514,24,medium,0.004603753235720543,0.0005124009261741353,short,distance_population,0.5788598874578128,medium,True,COMPLETE
2,23.86010917412921,medium,0.9762839066322704,True,False,True,True,False,False,True,True,False,False,False,False,True,True,True,False,True,0.014578683384068572,9,100,0.3498210988894245,542,137,none,0.028646214698452525,7.96621020744248e-08,short,None,0.5196845797406984,none,False,COMPLETE
3,26.471579718035997,none,0.6081301309956084,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07995580960102787,10,99,0.02743169393682604,374,72,small,0.00037704274049326107,0.0004687738558177247,long,None,0.6062239871367939,small,True,COMPLETE
4,25.542793028244134,medium,0.8718000526010491,False,False,True,True,False,False,False,False,True,True,True,False,True,True,False,False,True,0.11742174402436299,4,45,0.03346280383697814,994,105,medium,0.6592362240901789,0.017426282397253075,long,distance_energy,0.6827542765578506,small,True,COMPLETE
5,23.94960817005371,medium,0.6804327787937996,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,True,True,0.036047861087577744,8,71,0.279533939994011,349,147,none,0.07327921568469795,0.8949314717719484,none,energy,0.6934419039928719,none,True,COMPLETE
6,23.109140184306483,none,0.9642250358648208,True,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,0.010405282105070681,9,52,0.40959320055239534,769,28,small,0.12615076643738835,0.7613432671701141,long,max,0.7385926960579677,medium,False,COMPLETE
7,24.349715424128334,small,0.9837648692823098,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,True,False,0.18886453875372167,6,9,0.471464963127969,794,30,small,2.557380077388038e-07,3.6379661871332635e-05,long,mean,0.6083510176736217,none,True,COMPLETE
8,23.94872763624888,medium,0.5705896005822666,False,True,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,0.08899809755560274,13,77,0.124909002707704,861,121,none,3.339845610071852e-05,1.8930947022168082e-08,long,energy,0.8107040924747959,small,False,COMPLETE
9,23.433498585109295,none,0.7183996829812765,True,True,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,0.06372388458656689,9,64,0.4485777401946039,755,145,medium,7.865587940229678e-05,0.002378403127118729,long,distance_energy,0.7453288343896505,medium,True,COMPLETE
10,24.415658343511936,small,0.8935699045675589,True,True,False,False,True,True,False,True,True,False,True,True,True,False,False,False,False,0.027616327900881896,16,41,0.3672128151399504,642,63,small,1.4442002162135025e-08,0.8379451393618651,none,max,0.9609215986603978,medium,False,COMPLETE
