number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.3389429738856547,0.8022660039917278,0.09001434880309288,8,79,0.3910309380264316,448,73,1.9076566545279273e-08,3.707160624471603e-05,0.7143206377613456,COMPLETE
1,0.34123664755423927,0.9890142961676065,0.1594326412409023,10,72,0.1911100416215767,973,97,0.37088536310667225,1.2958987283836462e-05,0.5112785173305108,COMPLETE
2,0.3437325733272158,0.7888427556701808,0.11141611528863764,6,92,0.07798143053839801,411,126,0.05966278381102213,0.00024735479032663425,0.8916751850227029,COMPLETE
3,0.3380260610047007,0.8781697767663383,0.026848248688124254,8,98,0.4017482072799163,964,93,4.1549458648302497e-07,0.5251554837339795,0.5852808553256366,COMPLETE
4,0.33358072794303645,0.7383903518675348,0.0682893947411133,8,45,0.0901687308416993,650,71,0.0003741252116438098,0.017950092686398973,0.8964481537308795,COMPLETE
5,0.3420006676213753,0.7913830265517012,0.08650520387488372,7,69,0.01840003393396966,347,121,0.19042234217489445,0.13904979212234309,0.697293507997147,COMPLETE
6,0.3423680611997074,0.7940709551942446,0.17263111033875103,9,86,0.29809036342771045,769,83,0.0022950082786279734,0.004755101009877788,0.8141958545737602,COMPLETE
7,0.3326572346605205,0.7978517375815499,0.01437219553913672,12,35,0.2005677833106319,945,131,1.0893075168768634e-08,0.0010833110652606363,0.9760206929048012,COMPLETE
8,0.3443001600661017,0.8427404948190281,0.1384229660526849,10,75,0.4012283885756167,639,37,1.309829434764179e-06,6.906709133193208e-07,0.8179545871752034,COMPLETE
9,0.3393252919671907,0.9085221421122379,0.08957533424063299,12,20,0.36414409569270995,797,105,0.024076140446902726,0.00021785131856027676,0.891686803935217,COMPLETE
10,0.33463903366369274,0.6113712030403881,0.010346854936697972,16,5,0.2028201426248908,829,149,1.0126967725316825e-05,2.111468048791962e-08,0.9941853732831327,COMPLETE
11,0.33632343124485903,0.6623390015858139,0.031102674817864558,4,40,0.11585049711829395,594,45,0.00032754958258939443,0.012133818695094115,0.9825876584743631,COMPLETE
12,0.3329437113212647,0.6965363218920887,0.041020192548956586,13,45,0.12548835988681972,545,13,1.80082212104089e-05,0.004810096819649397,0.916138935846748,COMPLETE
13,0.33986995290067235,0.5130664231925588,0.010949658092056705,14,31,0.2718701838408061,504,17,1.5582271758352092e-08,0.001975633084709673,0.938482011172913,COMPLETE
14,0.33599126246200856,0.6885510566641424,0.03723104571638059,13,58,0.4992965761394045,536,149,2.4871253947737567e-05,6.2577366519193055e-06,0.8052103444472168,COMPLETE
15,0.33432942454267406,0.5937599274948724,0.01871131560760019,16,57,0.16507957140996266,881,11,2.1059903614168946e-07,0.0008897337369128842,0.9347340865683456,COMPLETE
16,0.33283856547423557,0.7077592930689005,0.04844767156160813,12,26,0.00850097384177756,739,57,3.2261132144899867e-06,0.042287688439094875,0.6613109172388647,COMPLETE
17,0.3678805716361427,0.9471388274079564,0.29246321778060863,11,23,0.010022464542795068,722,56,1.3401304596695407e-07,0.08148933488252123,0.6278025878541181,COMPLETE
18,0.33613986579572214,0.7409662681125871,0.018579313668708228,14,7,0.2288563486619472,893,118,2.5050681021050436e-06,0.0456224524448771,0.6489688082779783,COMPLETE
19,0.3381429710257628,0.6111632621137104,0.053882160994281725,12,31,0.3425903652321088,720,56,5.373415551404238e-08,0.9252955031918793,0.7654359316354046,COMPLETE
20,0.3349899238687315,0.5043654847736202,0.014870548729058934,15,14,0.05892578074499991,889,29,1.5975728957068056e-06,9.350948464069381e-07,0.5668717540635373,COMPLETE
21,0.33987093806659996,0.6799514857481561,0.05533879708032552,12,45,0.14209435071783577,585,26,7.458533016985327e-05,0.0005924574680214212,0.8561371302423294,COMPLETE
22,0.33529308060702157,0.7136231977858428,0.04401489296592593,13,34,0.04846176961933664,706,60,2.211551436837211e-05,0.0044574791773489,0.9537836011577822,COMPLETE
23,0.33597400843401054,0.6494261272067773,0.027234487956236304,11,52,0.1269808956673153,507,41,0.003375168515445656,0.015061191546505783,0.7576573344397382,COMPLETE
24,0.3338068808413773,0.8404774963311856,0.019590784338814494,14,21,0.24547825915224206,314,132,4.439061759614034e-06,0.1776955451214082,0.686490682989687,COMPLETE
25,0.33808484209468875,0.7448814228039474,0.042500857586524825,11,41,0.17116300306466886,655,85,6.008804313143366e-07,9.064445410741548e-05,0.8443084701218764,COMPLETE
26,0.33105448424636613,0.5470733578432447,0.023907523038461418,13,63,0.10154079855737455,841,107,0.0001338308650184097,0.002551938808110881,0.999493684242496,COMPLETE
27,0.330797727352064,0.5614360397761768,0.013445483732352265,15,64,0.03373499038282751,934,108,0.00015674887362459209,0.0010143708648498097,0.9717093200258003,COMPLETE
28,0.33181839243918676,0.5244431117696187,0.014089178325280786,15,64,0.09378329261630122,941,135,0.0012442963836567706,0.0008686339891004662,0.9984597497364585,COMPLETE
29,0.3309674920272915,0.5531593940143309,0.014203832281895985,15,64,0.04990975935175382,844,110,0.0018766202426395487,3.53199490150486e-05,0.9988360993150271,COMPLETE
