Parameter,Value
n_estimators,934
learning_rate,0.013445483732352265
num_leaves,108
max_depth,15
min_child_samples,64
subsample,0.9717093200258003
colsample_bytree,0.5614360397761768
reg_alpha,0.00015674887362459209
reg_lambda,0.0010143708648498097
min_split_gain,0.03373499038282751
