number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,614.5920237853437,small,0.6900977399858004,True,False,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False,0.06769110850913404,5,44,0.13952809848960168,900,32,medium,3.057684624990233e-07,0.00027529594479779496,short,distance_energy,0.9390474446061974,small,False,COMPLETE
1,706.9657124569372,none,0.8465108680172063,True,True,False,True,False,True,False,True,True,False,False,True,True,True,True,True,False,0.22796143246217138,3,75,0.0642043654292776,638,108,medium,0.0007748456792302912,2.0714760231571232e-07,none,distance_population,0.8444853534591996,medium,False,COMPLETE
2,678.9104308735133,none,0.9310389541398465,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,0.11629377889519468,16,35,0.1355758182470681,367,85,none,3.134762819592756e-07,0.01122274054450499,none,idw,0.6275840166661599,medium,False,COMPLETE
3,690.9641675185593,none,0.865616816807584,False,True,True,False,False,True,True,False,False,True,True,False,False,False,True,True,True,0.18333626466934444,9,74,0.4595641170921538,944,77,medium,5.3377350551058884e-08,4.29121490545863e-06,short,energy,0.7041804810802721,none,False,COMPLETE
4,682.0314620653121,none,0.8989269675532432,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,False,0.07516213247511368,9,8,0.243742432119826,664,62,small,0.017317880497444746,0.8430939373583022,none,max,0.6982246486513478,small,False,COMPLETE
5,626.1302383911883,medium,0.7853317895847541,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,0.0655645564770664,3,26,0.39755304062873015,860,124,medium,0.1228252801676848,6.205555319949665e-06,none,None,0.7451052894287924,none,False,COMPLETE
6,704.9851336705984,small,0.807094104309867,True,False,False,True,False,True,False,True,False,False,True,True,False,True,True,True,True,0.013391371837925105,14,52,0.24965453881593935,816,63,medium,0.7591207019806232,0.9930176928273786,none,distance_energy,0.5152321811815013,none,True,COMPLETE
7,714.4635086943717,none,0.7948763252949131,True,False,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,0.010484403246722947,5,52,0.02030405107416522,395,87,medium,5.695029104385154e-07,0.00040173877117050333,none,None,0.5884319747889288,medium,True,COMPLETE
8,646.2257220143617,medium,0.5530990292743988,True,False,True,False,True,True,True,False,True,True,True,False,False,False,True,False,False,0.0159138596247203,14,15,0.19919192099188088,302,64,none,0.9821165240225225,0.0016483970975221664,short,energy,0.7900952048987158,none,True,COMPLETE
9,651.7910379524415,none,0.8045081981167385,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,0.06761780756753787,7,74,0.376116622325582,473,47,small,1.0715932352784286e-07,1.4605416412539081e-08,short,population,0.9579011370379287,small,True,COMPLETE
