Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,False
compute_dew_point_spread,False
compute_temp_gradient,True
compute_wind_chill,False
compute_humidex,False
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,True
compute_air_density,True
compute_rain_indicator,True
compute_cloud_cover_fraction,False
compute_effective_solar,False
temp_lags_option,medium
precip_lags_option,none
cloud_lags_option,medium
rolling_temp_option,long
drop_basic_meteo_features,True
drop_wind_meteo_features,False
drop_rad_meteo_features,False
spatial_agg_method,mean
n_estimators,721
learning_rate,0.2937089586146095
num_leaves,131
max_depth,10
min_child_samples,84
subsample,0.9882336668097988
colsample_bytree,0.5005335380307803
reg_alpha,0.00012973490374641177
reg_lambda,1.7740181265978028e-06
min_split_gain,0.42901829150673815
use_base_models_pred_intervals,False
cv_folds_base,40
