date,prognostizierte_erzeugung_onshore,prognostizierte_erzeugung_offshore,prognostizierte_erzeugung_photovoltaik,prognostizierter_verbrauch_gesamt,prognostizierte_erzeugung_gesamt,prognostizierte_erzeugung_wind_und_photovoltaik,prognostizierte_erzeugung_sonstige,prognostizierter_verbrauch_residuallast
2026-08-26 00:00:00+00:00,15922.277249159337,4718.371464384327,-1149.0103496511572,43887.394915811805,46006.476799317534,19491.638363892504,26514.83843542503,24395.7565519193
2026-08-26 01:00:00+00:00,16666.80918267508,4538.778490731813,186.08664097134724,41811.420835935976,39980.613816647885,21391.67431437824,18588.939502269644,20419.746521557736
2026-08-26 02:00:00+00:00,18568.669149122747,3942.5006008569017,1264.4947592597148,42848.44534074787,40417.66441621193,23775.664509239366,16641.99990697256,19072.780831508506
2026-08-26 03:00:00+00:00,19149.673389184612,3180.458269235208,1604.8411016258995,45802.03448332518,41450.60905699875,23934.97276004572,17515.63629695303,21867.06172327946
2026-08-26 04:00:00+00:00,19477.21626665859,3215.3802417732727,3188.7667850408307,51114.56977147145,45340.62565239856,25881.363293472692,19459.262358925866,25233.206477998756
2026-08-26 05:00:00+00:00,18888.748989872467,3056.50139394424,4181.433479786431,55815.86190621569,47694.738765246795,26126.68386360314,21568.054901643656,29689.178042612548
2026-08-26 06:00:00+00:00,14923.326890559027,2758.5397456760766,8232.649918035553,58921.47845478723,50348.18480917547,25914.516554270656,24433.668254904816,33006.96190051657
2026-08-26 07:00:00+00:00,8582.237117045364,2450.330538499337,14350.749719335423,60040.32337379737,52305.45083310388,25383.317374880124,26922.133458223758,34657.005998917244
2026-08-26 08:00:00+00:00,8935.88360692437,2782.5010174063586,21072.693661710742,60531.24113730613,55327.70331891057,32791.07828604147,22536.625032869102,27740.162851264664
2026-08-26 09:00:00+00:00,9187.681490258647,2687.0322295632436,25316.216412436603,60223.610989393994,57063.7062772715,37190.930132258494,19872.776145013006,23032.6808571355
2026-08-26 10:00:00+00:00,11998.754043224622,2804.5713523464096,27648.56407553912,59564.76212441125,59529.30853865415,42451.88947111015,17077.419067543997,17112.8726533011
2026-08-26 11:00:00+00:00,12281.120545218708,2965.769139576439,30824.9631963127,58918.1580497469,65237.198326247,46071.85288110784,19165.34544513916,12846.305168639054
2026-08-26 12:00:00+00:00,13595.697587363988,3081.9565301767607,29310.029284336615,56755.120479289166,64331.24109235834,45987.683401877366,18343.55769048097,10767.4370774118
2026-08-26 13:00:00+00:00,13191.072876088849,3502.2353496825526,23998.363688609905,56273.403586160035,58848.50660284548,40691.67191438131,18156.834688464172,15581.731671778725
2026-08-26 14:00:00+00:00,13835.789165193964,4189.868295424675,19894.274152007853,56400.525114839766,56850.36564423478,37919.93161262649,18930.43403160829,18480.593502213276
2026-08-26 15:00:00+00:00,13784.812530993515,5185.72695320339,15741.437664603762,57403.287005006736,55060.738358951596,34711.977148800666,20348.76121015093,22691.30985620607
2026-08-26 16:00:00+00:00,12805.909297704848,5241.600911386076,11418.09585667308,57883.16975605579,52513.4387640771,29465.606065764005,23047.832698313097,28417.563690291783
