Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,False
use_solar_geometry,True
compute_air_density,True
compute_air_density_moist,False
compute_direct_ratio,True
compute_diffuse_ratio,False
compute_dni_ratio,False
compute_global_tilted_ratio,True
dew_point_temperature,True
vapor_pressure,False
precip_lags_option,large
cloud_lags_option,none
shortwave_lags_option,none
drop_raw_solar_features,False
drop_raw_features,False
spatial_agg_method,n_panels
lags_target,
n_estimators,369
learning_rate,0.02838963381625439
num_leaves,86
max_depth,9
min_child_samples,35
subsample,0.8864812476919879
colsample_bytree,0.7363076237991142
reg_alpha,1.2687746764119833e-07
reg_lambda,4.4878259759397106e-06
min_split_gain,0.25028486023499685
