number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,586.4107276297939,small,0.614010684386635,True,False,True,True,True,False,False,True,False,True,True,6.0,0.02648295889157673,14,17,0.010057328260711207,668,80,large,1.3500814553855066e-08,0.0031201627042065404,large,distance_capacity,0.7977948419475267,False,False,COMPLETE
1,593.8703250515224,none,0.5078687259378533,False,False,False,True,True,False,True,True,False,True,False,,0.03808789689507314,10,11,0.49941240440464146,559,85,large,0.025568882280299417,1.7161268089141727e-05,medium,None,0.6504887293739338,False,True,COMPLETE
2,678.0422809005578,none,0.883054245625903,False,False,False,False,False,True,False,True,True,True,True,12.0,0.27268264624282046,4,45,0.12550696304704018,382,23,small,1.364740705142221e-07,3.4340375639111554e-07,none,idw,0.8516066053521003,False,True,COMPLETE
3,510.2240357911075,none,0.5741225790878487,True,True,False,False,True,True,True,False,False,False,False,,0.031223759648895937,6,76,0.3481496625999443,749,101,small,7.243759226290383e-08,0.22841587678541542,small,distance_capacity,0.837919067974003,True,False,COMPLETE
4,735.2711212152172,none,0.9334648279406574,True,True,True,False,False,False,False,True,True,True,False,6.0,0.2661185420223157,8,64,0.3159107557361024,697,66,none,0.00012435721028049762,2.067517883330195e-05,none,idw,0.915855652465671,False,False,COMPLETE
5,826.7754639079085,none,0.8936798078788648,False,True,False,True,False,False,False,False,False,False,True,6.0,0.032030496583826076,5,68,0.013837400787159948,870,67,none,0.005835921954259933,8.658100128706845e-06,large,max,0.9173375406000295,True,True,COMPLETE
6,704.7865304721672,none,0.6653837348947721,True,True,True,True,True,True,True,True,True,False,False,1.0,0.021041238336433288,9,55,0.23508833364298237,697,95,none,1.7676258982286882e-07,1.6048757981268553e-07,large,max,0.7849474976314605,True,False,COMPLETE
7,563.5607304638667,medium,0.8950960171727298,True,False,True,True,False,True,False,False,False,True,False,,0.2545437902960481,4,31,0.36447083215674675,422,100,small,3.2035209886908784e-05,0.01015900726763482,small,mean,0.7977294744785588,True,False,COMPLETE
8,597.6409187690315,medium,0.9218324002662206,True,True,True,False,True,True,False,False,False,False,True,12.0,0.27159082402172374,14,47,0.40081770713318426,396,92,small,1.0289106446731408e-06,0.019312206331414238,none,distance_capacity,0.9121837856156727,True,False,COMPLETE
9,586.392147009148,small,0.9223498301886458,False,True,True,True,True,True,False,True,False,True,False,,0.054710901541745606,10,54,0.2609886752055266,531,112,small,0.03564753306988491,4.577227883135837e-08,medium,max,0.5036826463030863,True,True,COMPLETE
10,683.4854677788759,large,0.7621615371985151,True,True,False,False,True,True,True,False,True,False,False,1.0,0.011511912282599051,7,89,0.47556604590762575,975,148,small,0.8610955023238912,0.9175800475056146,small,n_panels,0.6701935811463428,True,False,COMPLETE
11,560.6471631835457,medium,0.7780540648389368,True,False,False,False,False,True,True,False,False,False,False,,0.10117185728081887,4,100,0.36651224577088687,843,125,small,1.7104241371144477e-05,0.5698986410526973,small,mean,0.7113069678281805,True,False,COMPLETE
12,519.8277280952323,medium,0.7835177608342306,True,False,False,False,False,True,True,False,False,False,False,,0.11183375600964844,6,99,0.3965463781325208,821,132,small,1.5263132327946882e-05,0.8444245314073753,small,distance_n_panels,0.6811425341225515,True,False,COMPLETE
13,524.9162510484101,large,0.6724982537418253,True,False,False,False,False,True,True,False,False,False,False,,0.10927033962428201,6,82,0.4292608064831719,807,142,small,2.422426087883142e-06,0.0980979750260271,small,distance_n_panels,0.5882889181278087,True,False,COMPLETE
14,570.2963466814061,medium,0.5152291160391215,True,True,False,False,True,True,True,False,False,False,False,,0.09445233054516072,12,80,0.2768483615200959,972,124,small,0.0004769546040280413,0.0005067493531534676,small,capacity,0.9866326946786845,True,False,COMPLETE
15,506.92905105628097,medium,0.8166252502454497,True,False,False,False,False,True,True,False,False,False,False,,0.15381920639772403,6,98,0.1835640070939522,776,42,large,1.2983554796475834e-08,0.08482897360200889,small,distance_n_panels,0.7162265206065064,True,False,COMPLETE
16,542.7072762232533,large,0.821285326084348,True,True,False,False,True,True,True,False,False,False,False,,0.01679247901260581,3,72,0.17882233812842108,757,34,large,1.52001593151315e-08,0.0006291062675335393,small,distance_capacity,0.7352463699633565,True,False,COMPLETE
17,758.2264709540981,small,0.9865298715976079,True,False,False,False,False,True,True,False,False,False,False,1.0,0.05916471392379034,16,90,0.13575688719804502,595,41,large,1.2974061103608883e-07,0.06665215602031263,small,distance_n_panels,0.8535726524650484,True,False,COMPLETE
18,648.2267423163672,none,0.5758311991628335,False,True,False,False,True,False,True,False,True,False,True,12.0,0.1715056662794812,8,79,0.19888020598477685,903,52,large,1.039678967777298e-08,0.0015786429683062647,medium,capacity,0.5882542622202378,False,True,COMPLETE
19,597.8791702805433,medium,0.7253502759974231,True,False,False,False,False,True,True,False,False,False,False,,0.058540015497755366,6,92,0.09282263593366608,746,63,large,1.1503368351888823e-06,0.00015015836781868177,small,None,0.8540081323762307,True,False,COMPLETE
20,525.1590711038284,none,0.8336309021296687,True,True,False,False,False,True,True,False,False,False,False,,0.16703316958636713,11,62,0.31779341131704386,477,13,large,1.1620549163486812e-07,0.08491131008258908,small,n_panels,0.7599227763777833,True,False,COMPLETE
21,511.7970771340365,medium,0.7135886120943754,True,False,False,False,False,True,True,False,False,False,False,,0.08067737151571859,6,100,0.4328086563330837,302,111,small,7.788097577704623e-06,0.2646050173300396,small,distance_n_panels,0.6988320316815629,True,False,COMPLETE
22,525.0321275353377,medium,0.7032052824292281,True,False,False,False,False,True,True,False,False,False,False,,0.07335364786520536,7,93,0.3326439804658764,326,109,small,3.8270108258420945e-06,0.16466684597780748,small,distance_n_panels,0.6128633327389335,True,False,COMPLETE
23,518.7902429085025,medium,0.5929371204178504,True,False,False,False,False,True,True,False,False,False,False,,0.04208885450086014,8,76,0.4339126687712469,618,118,none,4.933715493271143e-07,0.011265700253333103,small,distance_n_panels,0.7214140740195151,True,False,COMPLETE
24,545.7338448641048,medium,0.6352570536182175,True,False,False,False,False,True,True,False,False,False,False,,0.07722735809476926,3,85,0.4464399913489031,759,78,small,3.9319500125395866e-08,0.02387941693010523,small,distance_capacity,0.5243791269645297,True,False,COMPLETE
25,543.0345023947915,medium,0.5499239305290945,True,False,False,False,False,True,True,False,False,False,False,,0.15515753347253047,5,100,0.2875344668075465,300,101,large,0.0010374324197505486,0.34282354333060294,small,distance_n_panels,0.8190707283828421,True,False,COMPLETE
26,697.9094975452512,small,0.8250678419714843,False,False,False,False,True,False,True,False,True,False,True,6.0,0.04326022596157066,7,93,0.22108659219500387,491,53,small,5.500348638315425e-06,0.004104556655512421,none,distance_n_panels,0.6320517741250428,False,True,COMPLETE
27,724.7063988382148,large,0.7224319197377359,True,False,False,False,False,True,True,False,False,False,False,12.0,0.13665050311771157,9,71,0.35693742706345694,920,107,small,4.1334519818967056e-07,0.051082401060259845,medium,distance_capacity,0.6995381240062766,True,False,COMPLETE
28,715.1647256379191,medium,0.6690169699339048,True,True,False,False,True,True,True,False,False,False,False,1.0,0.21011646963954791,5,88,0.062129652441039046,792,84,none,3.802043155100472e-08,0.24586840870868185,large,distance_n_panels,0.7466174011857896,True,False,COMPLETE
29,647.3163885363576,small,0.6240651965139111,True,False,True,True,True,False,True,True,False,True,True,6.0,0.020491826401248105,12,31,0.39793966346529847,681,75,large,3.680512457722946e-08,0.005816555133982709,large,distance_capacity,0.7739292592049991,False,False,COMPLETE
30,547.0354413860348,none,0.5561939786581537,True,False,False,False,False,True,True,False,False,False,False,,0.028321280782506394,6,76,0.16958065214103196,611,36,large,6.835585402889592e-05,1.1762731377248473e-06,small,mean,0.5530889295604711,True,False,COMPLETE
31,523.5085582108355,medium,0.5880424634758756,True,False,False,False,False,True,True,False,False,False,False,,0.04361302384569078,8,61,0.44354018225587455,643,115,none,3.5658510285158703e-07,0.04210765423316675,small,distance_n_panels,0.7307496326771752,True,False,COMPLETE
32,522.4198015773698,medium,0.6266910928992954,True,False,False,False,False,True,True,False,False,False,False,,0.035892551863451395,7,75,0.48629492535949587,716,121,none,7.307633240052637e-07,0.011419514956109782,small,distance_n_panels,0.8241415690508538,True,False,COMPLETE
