Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,False
use_solar_geometry,True
compute_air_density,False
compute_air_density_moist,False
compute_direct_ratio,False
compute_diffuse_ratio,True
compute_dni_ratio,False
compute_global_tilted_ratio,True
dew_point_temperature,True
vapor_pressure,False
precip_lags_option,large
cloud_lags_option,large
shortwave_lags_option,none
drop_raw_solar_features,True
drop_raw_features,False
spatial_agg_method,capacity
lags_target,
n_estimators,435
learning_rate,0.03875041276198101
max_depth,6
min_child_weight,9
subsample,0.5373725767433313
colsample_bytree,0.5931397564314538
reg_alpha,0.2861644893611911
reg_lambda,9.040242792222541e-05
