number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
20,18.96861457824707,medium,0.9426147757239465,False,True,False,False,True,False,False,False,False,False,True,1.0,0.08206485439479388,8,2,339,large,0.012576492469882503,4.3549693028055576e-05,medium,max,0.5646059060477635,False,True,COMPLETE
21,16.209421157836914,medium,0.8174664070769362,False,True,False,True,True,False,False,False,False,False,True,,0.027409268962595785,8,1,435,small,1.0373518907701722e-05,9.195467250644666e-07,medium,distance_capacity,0.6465037460741447,False,True,COMPLETE
22,15.936607360839844,medium,0.8088722423619799,False,True,False,True,True,False,False,False,False,False,True,,0.03576720605821546,9,4,455,small,7.665943393111931e-06,2.3624874459913605e-06,medium,distance_capacity,0.6409401935393938,False,True,COMPLETE
23,16.257801055908203,medium,0.8149707567192771,False,True,False,True,True,False,False,False,False,False,True,,0.01765536759709065,9,4,455,small,3.594603309771649e-06,4.199936030709425e-06,medium,distance_capacity,0.6499301276228729,False,True,COMPLETE
24,16.7421932220459,small,0.8180957059920989,False,True,False,True,True,False,False,False,False,False,True,,0.05554808126874498,10,1,389,small,2.534878942638266e-07,2.3041100494109357e-07,medium,distance_capacity,0.7040420185567915,False,True,COMPLETE
25,16.309690475463867,medium,0.8308352953419853,False,True,False,True,True,False,False,False,False,False,True,,0.033207365135855434,9,4,590,small,1.4152440013552007e-05,1.4913569033442828e-05,medium,distance_capacity,0.6482728845970543,False,True,COMPLETE
26,16.269027709960938,medium,0.7819333867443967,False,True,True,True,True,True,False,False,False,False,True,,0.022348451172256586,7,2,452,small,0.00014760023757707795,2.499691137316578e-06,medium,n_panels,0.7779198667651149,True,False,COMPLETE
27,15.8660888671875,medium,0.6602551732076778,False,True,False,True,True,False,False,False,False,False,True,,0.014008954402323198,10,6,354,small,4.181215840200223e-06,2.9501578420003865e-07,small,distance_capacity,0.5649149205827417,False,True,COMPLETE
28,17.793895721435547,medium,0.5020242821677648,False,True,False,False,True,False,False,False,False,False,True,1.0,0.014477368095146683,10,6,345,large,1.5757890250395572e-07,5.363166650852488e-08,small,None,0.5537494178446939,True,True,COMPLETE
29,17.009849548339844,small,0.6485293540318924,True,True,False,False,True,False,False,False,False,True,True,,0.012912128819703472,10,7,301,small,2.0499983985443828e-06,0.00021630760695727844,small,distance_capacity,0.5015233530199756,True,True,COMPLETE
30,15.80849838256836,large,0.6620721488941865,False,True,False,True,True,False,False,False,False,False,True,,0.010288779541716147,9,7,493,small,2.7390568457567386e-06,2.4602688197971304e-07,small,distance_capacity,0.5546567699801652,False,True,COMPLETE
31,16.02223014831543,large,0.6720304705535362,False,True,False,True,True,False,False,False,False,False,True,,0.010989872199315583,9,7,513,small,3.479500664264195e-06,2.887273494394277e-07,small,distance_capacity,0.5708887195772816,False,True,COMPLETE
32,15.982897758483887,large,0.6062538307496865,False,True,False,True,True,False,False,False,False,False,True,,0.01000857587971172,9,6,482,small,5.846996926089056e-07,3.234290839949252e-08,small,distance_capacity,0.5452570702556929,False,True,COMPLETE
33,15.722552299499512,large,0.6948433526375909,False,True,False,True,True,False,False,False,False,False,True,,0.017837743322540095,10,8,397,small,5.6032702865279184e-05,1.91895678453949e-07,small,max,0.6290100607776123,False,True,COMPLETE
34,19.69437599182129,large,0.7007662786948493,False,True,True,True,False,True,True,False,False,False,True,12.0,0.019111823974846433,10,8,370,small,3.7303700264035735e-05,3.291014212805293e-07,small,max,0.5853877660342377,False,True,COMPLETE
35,16.4664249420166,large,0.7070773603564364,True,True,False,True,True,False,False,False,True,False,False,,0.014005515762267025,10,8,406,none,0.0004468414275388485,4.2115346764089074e-05,small,max,0.5351829961634991,False,True,COMPLETE
36,18.696739196777344,large,0.6006762256710209,False,False,True,True,False,True,True,True,False,True,True,6.0,0.015129318900644902,9,7,618,small,1.5363172878486166e-06,1.0165736980426806e-07,none,max,0.6289891294455608,False,True,COMPLETE
37,16.354825973510742,large,0.6642241361365281,False,True,False,False,True,False,False,False,True,False,False,,0.019234873824755323,10,8,563,large,6.035399980630612e-05,2.8198278834847758e-08,small,n_panels,0.7099449667581593,True,False,COMPLETE
38,24.63321876525879,large,0.6870053906038129,False,False,False,True,True,False,False,True,False,False,True,12.0,0.012797597551944505,9,10,344,none,7.179189415205292e-08,6.3732720925919655e-06,small,idw,0.7730975747880433,False,True,COMPLETE
39,17.65216636657715,none,0.730016472485919,True,True,True,True,False,True,True,False,False,True,False,6.0,0.020416216742285876,8,5,406,small,4.1920225994853374e-07,0.0038537903149026605,large,None,0.6752511701709205,False,True,COMPLETE
40,15.920486450195312,large,0.5601321717237432,False,False,False,False,True,False,False,False,True,False,True,,0.025212166472364142,10,9,499,large,0.00028112404749137065,1.4537823558239776e-05,none,max,0.8836680235982424,True,True,COMPLETE
41,15.417545318603516,large,0.5308251311507928,False,False,False,False,True,False,False,False,True,False,True,,0.016603625356814047,10,9,471,large,0.00023917634515312753,2.5044825085231792e-05,none,max,0.5777002044750448,True,True,COMPLETE
42,15.779683113098145,large,0.5110728573559258,False,False,False,False,True,False,False,False,True,False,True,,0.0162068046612623,10,8,549,large,2.519249328905415e-05,3.6121240946435473e-07,none,max,0.5867320825457348,True,True,COMPLETE
43,15.7396821975708,large,0.5112264372255334,False,False,False,False,True,False,False,False,True,False,True,,0.010765011114815053,9,8,560,large,2.5305216852041734e-05,1.1473120499769755e-07,none,max,0.5888492350762154,True,True,COMPLETE
44,15.842617988586426,large,0.5074583830061034,False,False,False,False,True,False,False,True,True,False,True,,0.011735051146807585,10,8,674,large,3.223737207418949e-05,1.0324900703474476e-07,none,max,0.5866833253228816,True,True,COMPLETE
45,22.035919189453125,large,0.5350796614980757,False,False,False,False,False,False,False,False,True,False,True,12.0,0.010184980395600115,9,9,573,large,0.00017933183253160647,0.20839303862818628,none,max,0.5198338546185606,True,True,COMPLETE
46,17.779817581176758,large,0.5395326726844266,True,False,False,False,True,False,True,False,True,True,False,6.0,0.0162256940310208,10,10,647,large,6.699526013865635e-05,4.095638363997388e-08,none,max,0.5345618756531231,True,False,COMPLETE
47,15.658082008361816,large,0.6130398561194238,False,False,False,False,True,False,False,True,True,False,True,,0.011831185975243765,9,9,750,large,0.9499091966822095,1.9225889568748035e-06,none,max,0.6161309490691926,True,True,COMPLETE
48,15.801363945007324,large,0.6077002064545783,False,False,False,False,True,False,False,True,True,False,True,,0.012370740974331253,10,9,760,large,0.6893622610279229,1.917133942053942e-06,none,max,0.6223619964473449,True,True,COMPLETE
49,17.86579132080078,large,0.5692267701118893,False,False,False,False,True,False,False,True,True,False,True,1.0,0.017094236757168747,9,9,747,large,0.041066323728356204,6.701212319248566e-05,none,max,0.5780305028584558,True,True,COMPLETE
50,15.797890663146973,large,0.5304702711684123,True,False,True,False,False,True,False,True,True,True,True,,0.043159363415309016,6,10,544,large,0.006290185145484105,0.00013377513841806232,none,max,0.5971909730863103,True,False,COMPLETE
51,16.547212600708008,large,0.5362080293088657,True,False,True,False,False,True,False,True,True,True,True,,0.06490865835039054,6,10,827,large,0.006999094949073766,0.0001682922665125477,none,max,0.5945949125412203,True,False,COMPLETE
52,16.030113220214844,large,0.5874904153887994,True,False,True,False,False,True,False,True,True,True,True,,0.012268443712275812,5,9,620,large,0.07454293512460873,0.0003710455763491591,none,max,0.6099425882748754,True,False,COMPLETE
53,16.32929229736328,large,0.5211743540801601,True,False,True,False,False,True,False,True,True,True,True,,0.11502411095579183,4,10,547,large,0.8368436515420616,0.004418150223529913,none,mean,0.6534082477319688,True,False,COMPLETE
54,16.451187133789062,none,0.6250742725009037,True,False,True,False,False,True,False,True,True,True,True,,0.02145643357394527,6,9,975,large,0.001618934082759209,3.28948728584822e-05,none,max,0.6033869188640087,True,False,COMPLETE
55,16.46880531311035,large,0.5515095477613104,True,False,True,False,False,True,False,True,True,True,True,,0.04729651202392436,7,8,728,large,0.019694672406968098,8.716528332729695e-06,none,capacity,0.6645489756299482,True,False,COMPLETE
56,16.87645721435547,large,0.5849108723937376,False,False,False,False,True,False,True,True,True,False,False,,0.12933438754122797,5,10,806,large,0.004347380911338553,4.5162628936045885e-07,none,max,0.6309304999201861,True,True,COMPLETE
57,15.468661308288574,large,0.6284917069556584,False,False,False,False,True,False,False,True,True,False,True,,0.030007216115239474,6,8,892,large,0.08415397337130075,8.38559634218994e-05,none,idw,0.507628869193429,True,False,COMPLETE
58,23.43709373474121,large,0.6306161581451237,False,False,False,False,True,False,False,True,True,False,True,12.0,0.030117037950185076,4,8,914,large,0.18337367571677313,1.3439371441611914e-06,none,idw,0.5244703140025606,True,True,COMPLETE
59,18.220226287841797,small,0.5134188340196738,False,False,False,False,True,False,False,True,True,False,True,6.0,0.018537368869491776,7,7,869,large,0.15951605097905733,4.132393089378535e-06,large,idw,0.5125322333366538,True,True,COMPLETE
60,16.509382247924805,none,0.751775529849197,False,False,False,False,True,False,False,False,True,False,True,,0.01574851136699698,8,8,477,none,0.0006565905511398812,2.2087279691433534e-05,none,idw,0.545876875404123,True,True,COMPLETE
61,15.652114868164062,large,0.5243441990394732,False,False,False,False,True,False,False,True,True,False,True,,0.03878078518353997,6,9,539,large,0.07767601990894227,9.588639582101313e-05,none,max,0.5734100028571563,True,False,COMPLETE
62,15.66539478302002,large,0.5535049125332573,False,False,False,False,True,False,False,True,True,False,True,,0.040964966773959596,6,9,591,large,0.46663774277679837,8.284090720221359e-05,none,max,0.5730960010946755,True,False,COMPLETE
63,15.833327293395996,large,0.5762569694115753,False,False,False,False,True,False,False,True,True,False,True,,0.03921828211690446,6,9,590,large,0.34122890885108353,0.0007311836474300638,none,max,0.5719536829808769,True,False,COMPLETE
64,15.95153522491455,large,0.5532408698865846,False,False,False,False,True,False,False,True,True,False,True,,0.05387776859884838,6,9,602,large,0.0803582250462954,7.996952331105055e-05,none,mean,0.5012361973863305,True,False,COMPLETE
65,18.65064811706543,large,0.6268502690918171,False,False,False,False,True,False,False,True,True,False,True,1.0,0.02985373533536098,5,8,1000,large,0.037867606896782015,0.0003072168773519139,none,idw,0.557873593722759,True,False,COMPLETE
66,15.329292297363281,large,0.5931397564314538,False,False,False,False,True,False,False,True,True,False,True,,0.03875041276198101,6,9,435,large,0.2861644893611911,9.040242792222541e-05,none,capacity,0.5373725767433313,True,False,COMPLETE
67,15.980114936828613,large,0.595859597997159,False,False,False,False,True,False,False,True,True,False,True,,0.040009835615504974,6,9,443,large,0.40855495094060784,0.001418189953093937,large,capacity,0.5397929254906491,True,False,COMPLETE
68,16.087190628051758,small,0.5643075616037814,False,False,False,False,True,False,False,True,True,False,True,,0.03535336711370916,7,9,908,large,0.09123094026469077,8.689641276353885e-05,none,capacity,0.6160861892563667,True,False,COMPLETE
69,15.902934074401855,large,0.6415664083231657,False,False,False,False,True,False,False,True,True,False,True,,0.06829392028788857,6,10,470,large,0.5449845632703566,2.7905945042720215e-05,none,capacity,0.5182078518995188,True,False,COMPLETE
