number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,16.384654998779297,large,0.7159081432433357,True,True,False,False,True,False,True,True,False,True,False,,0.012279076327323559,8,1,484,small,2.2108464753347044e-06,0.00011009189101002746,none,idw,0.6752259820370345,True,True,COMPLETE
1,19.449935913085938,none,0.7382908197043954,True,False,True,True,False,True,True,False,True,True,True,12.0,0.09825957047247612,9,9,782,none,1.2422021311375538e-07,1.962872167499543e-05,large,max,0.8121596296180257,True,True,COMPLETE
2,19.852346420288086,none,0.7170257743802229,False,True,True,True,False,True,False,True,False,False,False,6.0,0.01721104794965476,7,8,598,large,0.04884403869642575,0.00014395913140598742,none,idw,0.5276458141731333,False,True,COMPLETE
3,19.45151138305664,large,0.6410107720419966,False,True,True,False,False,False,True,False,False,False,False,12.0,0.07804177317899938,5,5,839,none,0.006825813613527762,0.667903711409428,none,n_panels,0.8990824315141016,False,False,COMPLETE
4,25.349227905273438,none,0.7751726426306418,True,True,False,False,True,True,True,True,True,False,False,6.0,0.04731211840461975,3,10,924,none,9.473694539672854e-07,0.01938956319337444,none,None,0.7798687412654788,True,True,COMPLETE
5,19.798864364624023,small,0.6453891496516502,False,False,False,False,True,True,True,True,True,True,False,6.0,0.15858491495446547,7,7,407,large,1.8692260766799214e-08,8.406663159052844e-06,medium,mean,0.828129522330499,False,False,COMPLETE
6,16.602449417114258,medium,0.7758095792972103,False,False,False,True,False,False,False,False,True,False,True,,0.02204139922592338,9,5,940,large,3.229889689337577e-08,3.942740165991803e-06,medium,distance_capacity,0.9459735042913975,False,True,COMPLETE
7,24.432100296020508,none,0.743911011871044,False,False,False,True,True,False,False,False,False,True,True,12.0,0.04457623838381861,6,9,775,none,0.20847260004282658,1.6130564441722242e-07,medium,idw,0.8351089897044519,True,True,COMPLETE
8,23.175622940063477,large,0.5725025454836284,True,False,True,True,False,False,False,True,True,True,False,12.0,0.16244959434750741,9,3,639,none,0.24720373280138563,0.09057887240522178,large,mean,0.5917114689855388,False,True,COMPLETE
9,20.587976455688477,none,0.8903212580166615,True,False,False,False,False,False,True,True,True,False,True,6.0,0.19735000079072415,5,9,876,small,7.382820702724288e-07,5.181761977122598e-08,small,mean,0.6852942379534234,True,True,COMPLETE
10,17.2193546295166,large,0.982745129756014,True,True,False,False,True,False,True,True,False,True,False,,0.010980890758821195,10,1,376,small,8.486186250838058e-05,0.0012697025980905466,small,capacity,0.6807763771493962,True,False,COMPLETE
11,16.300893783569336,medium,0.8544698251016356,False,True,False,True,True,False,False,False,False,False,True,,0.0233097851769158,8,1,437,small,1.973530857501897e-05,7.719740691667729e-07,medium,distance_capacity,0.9928250053940957,False,True,COMPLETE
12,15.81489086151123,medium,0.8723634780198524,False,True,False,False,True,False,False,False,False,False,True,,0.025881477441034396,8,1,502,small,1.2214363965854658e-05,7.716294039838493e-07,medium,distance_capacity,0.6826763788008439,True,True,COMPLETE
13,21.535919189453125,medium,0.8678505109540884,False,True,False,True,True,False,False,False,False,False,True,1.0,0.026855904345168612,8,3,508,small,0.00014320747612729418,6.232636362908097e-07,medium,distance_capacity,0.9982626996224193,False,True,COMPLETE
14,16.9552001953125,medium,0.8699876854303294,False,True,False,False,True,False,False,False,False,False,True,,0.030876115629542934,10,2,308,small,3.589346340808246e-05,1.1530820724127192e-08,medium,distance_capacity,0.7374547526800221,True,False,COMPLETE
15,16.264509201049805,medium,0.9577759675808445,False,True,False,True,True,False,False,False,False,False,True,,0.033980243874099536,8,3,534,small,0.0012142579992754617,8.907885224783508e-07,medium,distance_n_panels,0.6092292280189443,False,True,COMPLETE
16,22.79607582092285,medium,0.9960236755364794,False,True,False,False,True,False,False,False,False,False,True,1.0,0.06044452740632263,6,3,564,small,0.0011660248886276661,1.1528768783142026e-06,medium,distance_n_panels,0.6013184036680675,False,True,COMPLETE
17,18.067161560058594,small,0.920643590404523,False,True,False,True,True,False,False,False,False,False,True,,0.03873907468069685,3,4,695,small,0.0021843905158205517,0.0006297229057018585,medium,distance_n_panels,0.517032780041454,True,True,COMPLETE
18,18.54133415222168,medium,0.9255186823316722,False,True,True,True,True,True,False,False,False,False,True,,0.28414692074140757,7,6,524,small,0.000543101718373486,9.314168864350449e-08,small,distance_n_panels,0.618310771284637,True,False,COMPLETE
19,16.614877700805664,medium,0.8115114338421923,False,True,False,False,True,False,False,False,False,False,True,,0.016410362607728456,5,2,693,small,7.632642147651541e-06,1.6375121784248938e-08,large,capacity,0.7268882234505203,False,True,COMPLETE
