number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
22,464.0652122990775,small,0.7956986924529127,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,True,1.0,0.02935090058954403,8,100,0.4056529390291371,892,26,none,5.989915679670539e-07,2.9306372718454696e-07,short,None,0.5583407523495976,none,COMPLETE
23,428.99321757581583,small,0.6681631377757627,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,True,1.0,0.019600665909737174,9,83,0.4995474717634192,938,50,none,1.190232426796106e-08,5.049087876189228e-06,short,None,0.6364598769074417,none,COMPLETE
24,444.1178614695807,small,0.6533707487864978,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,True,1.0,0.010012140372539651,11,85,0.49997567627098205,793,45,none,1.2338171592029535e-07,4.744322554003303e-05,short,distance_population,0.6200570845358161,none,COMPLETE
25,449.9911241943194,small,0.5730125101731989,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,True,1.0,0.057043264053332626,6,62,0.3066675499379604,919,50,none,2.9999611263563246e-06,6.880635374180538e-06,short,distance_energy,0.9530796099988345,none,COMPLETE
26,438.2169551866744,small,0.7680041142687268,True,True,False,True,False,True,False,True,True,True,False,True,True,False,False,False,False,1.0,0.034343706701686495,13,51,0.4652157982300441,922,30,none,0.02700902097753776,0.00018019706534205487,short,None,0.6735017961909157,none,COMPLETE
27,422.96419182089494,small,0.6169245991936484,False,False,True,False,False,False,False,False,True,True,True,False,False,True,False,True,True,1.0,0.01686403958511772,10,80,0.3949523849739447,724,50,none,0.001327078431581567,0.0016711516552159176,short,None,0.8057209988504509,none,COMPLETE
28,512.3133466783107,medium,0.5559072057894866,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,True,12.0,0.014984740150077929,7,79,0.3918758578654381,748,82,none,3.122447266666422e-05,0.0007447212157132853,none,None,0.7782549476679412,none,COMPLETE
29,446.32765847343717,none,0.6142967273623365,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,6.0,0.012595790499987018,10,68,0.1137605437205371,781,74,none,0.08058098217682656,7.412524064762523e-08,short,idw,0.7053679590071333,none,COMPLETE
30,452.0820164486354,none,0.5483162403817072,False,False,True,False,False,False,False,False,True,True,True,False,False,True,False,True,True,6.0,0.02007991072040641,9,91,0.2159799944962813,938,50,medium,5.6414860223706405e-08,0.04315275396363957,none,None,0.6309939064007594,medium,COMPLETE
31,431.82271174917724,small,0.666284734825274,False,False,True,False,False,False,False,False,True,True,True,False,False,True,False,True,True,1.0,0.026741557689933863,12,42,0.46827963643671167,676,32,none,0.0005289783963273722,0.026028179387955933,short,None,0.8461583187555615,none,COMPLETE
32,483.47241475737445,small,0.7188444408198668,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True,1.0,0.017179069269807352,11,78,0.49941680841081115,849,21,none,0.0021087241494716674,0.0015925074264800424,short,energy,0.8119893018917329,none,COMPLETE
33,419.7433346584853,small,0.6862000050667659,False,False,True,False,False,False,False,False,True,True,True,False,False,True,False,True,True,1.0,0.037785920194564386,7,35,0.43710683735766187,548,91,none,0.002134144094303911,0.00011435083841916473,short,None,0.8891060702968591,none,COMPLETE
34,421.2079222163922,small,0.7552629613827727,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,True,False,1.0,0.019594995028288292,7,25,0.4383734529667374,593,90,none,0.0033483695754906954,8.812010425903777e-05,short,None,0.8787450154807703,none,COMPLETE
35,490.31223925245666,small,0.8607449397074325,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,True,False,1.0,0.05002513423262694,5,21,0.30810237351003855,613,93,none,0.00023603008364715355,8.578088092021219e-05,short,population,0.8776021770647883,none,COMPLETE
36,456.04345444904556,medium,0.7604060075106734,False,False,True,False,False,True,True,False,False,False,False,True,True,True,False,True,False,1.0,0.03492927947958767,7,29,0.43826043577796914,381,124,none,0.003692775375217623,0.00018566146121325056,short,energy,0.8334528025023333,none,COMPLETE
37,657.6313764580876,small,0.8176692122082398,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,6.0,0.012499322480235931,7,27,0.3806308158103846,616,71,medium,0.022792677040836623,2.423495731573921e-05,none,None,0.9623796182523283,none,COMPLETE
38,476.855374378759,none,0.637643073381028,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,True,False,1.0,0.024587499877392758,5,16,0.44125655548927545,545,84,none,0.0016924371678096641,7.479729766706113e-05,short,idw,0.9044525042802728,none,COMPLETE
39,458.34215061006233,medium,0.6971651898061493,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,True,False,1.0,0.20303385932634602,8,37,0.30256663041648085,444,92,none,0.12616479510251957,0.002659993313092717,short,mean,0.8601999228750773,medium,COMPLETE
40,564.7081226147978,small,0.595590666737067,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,True,False,12.0,0.01771613402740376,6,53,0.4054042481933114,514,66,medium,1.3143716144171494e-05,0.00040088055785929527,short,distance_population,0.8231794505675963,none,COMPLETE
41,436.49400799609566,small,0.7368485689863472,False,True,True,False,False,False,True,False,True,True,True,False,False,True,False,False,True,1.0,0.02036215173565867,8,87,0.4719404218770147,875,56,none,2.110699601250792e-06,1.0683342007052733e-05,short,None,0.7332233166692288,none,COMPLETE
42,429.09423458700144,small,0.6800862750182811,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,True,True,1.0,0.018874890724885733,9,92,0.4539612225932077,817,78,none,0.011511605500942766,4.0362060384576575e-06,short,None,0.7855162432810182,none,COMPLETE
43,462.5187344947537,small,0.6512096231422433,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,True,True,1.0,0.014742756280565726,5,13,0.4795213166395749,673,120,none,0.0009968855250930056,0.00011159196536913241,short,None,0.8609407402253771,none,COMPLETE
44,417.6001332005906,small,0.6027358539285519,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,1.0,0.025832893784723206,7,59,0.42616448272754426,633,91,none,0.00025658502197816005,1.3055013235512455e-08,short,None,0.7495753189135521,none,COMPLETE
45,440.9453830541949,small,0.6028797496971112,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,True,False,1.0,0.03634469299750507,6,59,0.3422894823807528,588,93,small,0.00021433511951945102,3.0660078046925006e-08,long,distance_energy,0.7581230897221843,medium,COMPLETE
46,455.69273210064034,small,0.5349591472911641,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,True,,0.027354672639619344,7,64,0.4220977810738059,643,106,none,5.898133746390993e-05,0.01988831504623996,none,mean,0.7074426050853655,none,COMPLETE
47,424.9544402805997,none,0.5820109204672872,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,True,1.0,0.015568100232374392,4,71,0.03212167679012287,701,65,none,0.0029887828800728,1.7521170875484165e-08,short,None,0.942463981920628,none,COMPLETE
48,570.8170929474718,small,0.6227524891637682,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,6.0,0.024770321807162134,10,26,0.38247405999665957,642,97,small,0.0002518813111363633,5.449056680021672e-07,long,None,0.9148009074007727,none,COMPLETE
49,421.6964231644509,small,0.84003412604607,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,True,False,1.0,0.04399547337502614,8,36,0.4493869264414238,455,118,medium,0.0009804728559328361,0.002047332712833861,short,population,0.9676316792331208,medium,COMPLETE
50,496.17681969730575,small,0.8753108007153138,False,False,False,False,True,False,True,False,False,True,False,True,True,True,False,True,False,,0.04748553099363475,7,36,0.3584146004249122,524,146,medium,0.0007898163808356608,0.5406353179037863,short,population,0.9599823167842154,medium,COMPLETE
51,452.73216650078484,small,0.9074251090841331,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,True,False,1.0,0.038802057628086056,8,45,0.4481339234854132,453,118,medium,6.607667547194218e-05,0.00268186293283189,short,population,0.9820387063576367,medium,COMPLETE
52,427.2849399763889,small,0.8327482633257222,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,True,False,1.0,0.06805648160046283,7,32,0.400143557409239,415,135,medium,0.004453548287727262,0.012584118212247638,short,population,0.8946810121724026,medium,COMPLETE
53,427.64150160453846,small,0.7749080372038349,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,True,False,1.0,0.03171881911876742,8,39,0.4514936670577663,578,112,medium,0.00044644778181571237,0.0003627083232246543,short,energy,0.9273995352458899,medium,COMPLETE
54,550.306756694801,small,0.9217277744166977,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,True,False,1.0,0.04090294888014987,9,52,0.42589587841671533,479,88,medium,0.0013762320144829823,0.1688439737191302,short,None,0.8780628943095113,medium,COMPLETE
55,592.0838185872784,small,0.6417765826526552,False,False,True,False,True,False,False,False,False,True,True,False,True,True,True,True,True,12.0,0.06260696317435153,10,31,0.4800608978522024,387,101,none,0.008459199164547168,0.000951855115883572,short,population,0.8469340839000451,small,COMPLETE
56,437.7877513532879,medium,0.730710953332198,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,True,1.0,0.021964341789680063,6,24,0.416946050199225,548,76,small,1.1428712159992966e-05,0.0013879230587328002,long,distance_population,0.9208036854875556,none,COMPLETE
57,425.98641354443686,small,0.6861760219982717,False,False,True,False,False,False,False,True,True,True,True,False,False,True,False,False,True,1.0,0.011559560694864832,7,12,0.3644500178776795,598,105,none,0.023830751373011747,0.002917225416149377,short,max,0.976023942728506,none,COMPLETE
58,408.46692269596707,small,0.5980276661770376,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,1.0,0.0517086466279117,8,48,0.3229172231744911,731,126,none,7.955050158706172e-05,3.7690642618661504e-05,short,None,0.7461275588836316,none,COMPLETE
59,460.03619633827356,small,0.5262516398140255,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,False,1.0,0.04795928026006426,8,55,0.322051896955752,748,137,none,0.0002384026854511197,0.00022038185852599573,short,idw,0.773195450257214,small,COMPLETE
60,458.88334039600613,small,0.5946173183362644,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,,0.0958780875677197,5,49,0.35244346469535826,698,117,medium,8.35338299458679e-05,0.057194073811156,none,None,0.710707285517429,none,COMPLETE
61,409.42777656011594,small,0.6142160789789143,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,1.0,0.05386946053451991,9,45,0.2869844105240673,351,128,none,0.0007062196507818682,2.34870589778227e-05,short,None,0.7351233670824564,none,COMPLETE
62,420.67668134582163,small,0.6141963843590215,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,1.0,0.08016740124498457,8,46,0.32724436078336505,342,128,none,0.0010524672393052246,1.7367943124969982e-05,short,None,0.7504517166462616,none,COMPLETE
63,418.23330014485146,small,0.5586314052495736,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,1.0,0.08125894062515057,8,43,0.27423838272769024,346,125,none,0.00013834518544717948,4.969193907468707e-05,short,None,0.7431692652201898,none,COMPLETE
64,428.0784463132264,small,0.5608663245348804,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,1.0,0.08698067644395586,7,45,0.278201784625129,348,128,none,0.00012067098971721512,4.6167333669546014e-05,short,None,0.6554025990856791,none,COMPLETE
65,417.89571640639014,small,0.5366003432127763,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,1.0,0.10949072998084235,8,59,0.2283843485450565,339,141,none,0.0005655420923044164,9.536408938017753e-06,short,None,0.7444250603324065,none,COMPLETE
66,444.8642655290536,none,0.5275641122940328,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,1.0,0.13430544765490587,9,59,0.24036426730978133,330,143,none,0.0004178847352737195,1.1673639255586997e-05,short,None,0.7337662186027897,none,COMPLETE
67,429.9761664203099,small,0.5842920865287736,False,False,False,False,True,True,False,True,False,True,True,False,False,True,False,True,True,1.0,0.10461180275358507,9,48,0.23809340879901297,366,150,none,4.582847284773112e-05,2.9439212799417597e-05,short,None,0.7491307099220174,none,COMPLETE
68,555.9465089740544,small,0.5451589551896266,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,12.0,0.07230426193355291,8,55,0.2614072915851156,309,130,none,1.8215730062121594e-05,1.5869028017102377e-06,short,distance_energy,0.7503187573418677,none,COMPLETE
69,449.366297769838,small,0.5690668674007432,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,1.0,0.11559469419364271,6,40,0.20076563860552102,362,140,none,0.00016607173208408585,1.8570326010883193e-05,long,None,0.7002080864511386,none,COMPLETE
