number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
0,768.2894794198356,small,0.6774550532841782,True,False,False,True,False,False,False,True,False,True,True,True,True,True,False,True,True,12.0,0.011756400252879114,9,5,0.08299778510265643,549,18,small,0.8057832354398631,3.393097596615617e-07,none,distance_energy,0.6658442577232477,medium,COMPLETE
1,1089.7036760775754,medium,0.933610578615857,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,False,12.0,0.16701314988375648,7,35,0.3556458470430096,780,95,medium,7.91117354792699e-08,1.204384405969753e-06,short,energy,0.6194942942173708,medium,COMPLETE
2,777.2198081628084,small,0.8464126715477962,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,False,False,6.0,0.011645627176001266,12,35,0.11223008635157883,976,92,medium,9.534812291254399e-08,0.0005330162351315185,none,population,0.6454583714197621,small,COMPLETE
3,1037.904667236541,none,0.8756914058228604,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,12.0,0.010853103989388897,10,9,0.4389337097413748,660,64,none,2.075552383663785e-08,4.226878698306865e-05,none,population,0.7104362460246556,none,COMPLETE
4,684.5855303873245,none,0.9087430693103917,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True,False,,0.07516005873140841,6,92,0.4690290150975475,795,96,none,0.04432683949667011,4.4774309350331706e-08,none,energy,0.5538253532505704,small,COMPLETE
5,689.7297814583279,small,0.7332710037022709,False,True,True,True,False,True,True,False,True,True,False,False,True,True,False,True,True,,0.044969927000928445,12,97,0.08471985311380098,398,48,small,1.705632539117723e-07,0.0008443889649230697,short,mean,0.843374690584809,small,COMPLETE
6,723.0364213876957,none,0.7106918881611122,True,False,True,True,False,False,False,False,True,True,False,True,False,False,True,True,False,1.0,0.14987001879257714,3,83,0.20817837855990545,807,101,small,0.010698634064852936,2.101683538543491e-08,long,None,0.7666274802397215,none,COMPLETE
7,979.1349569297521,none,0.890037263862592,False,False,False,False,False,False,True,True,True,True,False,True,True,False,False,True,True,6.0,0.19431238241238527,3,20,0.32527103562945864,724,130,small,1.3103571312474513e-05,1.0216035538982571e-05,long,idw,0.5776885019369912,medium,COMPLETE
8,696.0653650643526,none,0.9095190667422652,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,,0.017527011197103794,15,73,0.018944281552246756,914,144,small,4.197738593161109e-06,0.00031497427003909534,long,mean,0.6139439256477218,none,COMPLETE
9,718.9436063994358,medium,0.5245798322501591,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,6.0,0.15066901573978048,8,75,0.029067781485004385,532,69,small,1.4735002140167213e-07,0.005153730222105498,short,energy,0.7506927331881972,none,COMPLETE
