Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,True
compute_dew_point_spread,False
compute_temp_gradient,False
compute_wind_chill,False
compute_humidex,True
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,False
compute_air_density,True
compute_rain_indicator,True
compute_cloud_cover_fraction,False
compute_effective_solar,True
temp_lags_option,small
precip_lags_option,medium
cloud_lags_option,medium
rolling_temp_option,short
drop_basic_meteo_features,False
drop_wind_meteo_features,True
drop_rad_meteo_features,False
spatial_agg_method,max
lags_target,1
n_estimators,517
learning_rate,0.01400172428130143
num_leaves,108
max_depth,7
min_child_samples,37
subsample,0.7045077774092747
colsample_bytree,0.8233925410029741
reg_alpha,0.011711548436712273
reg_lambda,0.7221137559713455
min_split_gain,0.3511980373112732
