Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,True
compute_dew_point_spread,True
compute_temp_gradient,True
compute_wind_chill,True
compute_humidex,True
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,True
compute_wind_speed_gradient,False
compute_air_density,False
compute_rain_indicator,False
compute_cloud_cover_fraction,False
compute_effective_solar,True
temp_lags_option,medium
precip_lags_option,medium
cloud_lags_option,small
rolling_temp_option,none
drop_basic_meteo_features,True
drop_wind_meteo_features,True
drop_rad_meteo_features,True
spatial_agg_method,population
lags_target,1
n_estimators,695
learning_rate,0.052902305233617594
num_leaves,144
max_depth,7
min_child_samples,13
subsample,0.7863887096196372
colsample_bytree,0.6107115621499623
reg_alpha,0.17683693404477302
reg_lambda,1.095327642198725e-08
min_split_gain,0.0595871520457979
