date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2026-05-21 00:00:00+00:00,9416.03,9366.428403017671,8838.663019678872,9893.856276698698
2026-05-21 01:00:00+00:00,9624.36,9384.990121636409,8855.799296015337,9911.733017300758
2026-05-21 02:00:00+00:00,9997.81,9695.201946677624,9167.059914203543,10222.691598292875
2026-05-21 03:00:00+00:00,10461.43,10205.500848713797,9677.262420862637,10733.541859705363
2026-05-21 04:00:00+00:00,11721.63,10831.120945293766,10302.455260699922,11360.16429424746
2026-05-21 05:00:00+00:00,12616.05,11341.632175519384,10813.967451603407,11871.020680205977
2026-05-21 06:00:00+00:00,12844.8,11586.663628638828,11058.452777456945,12114.381807414102
2026-05-21 07:00:00+00:00,12550.85,11562.711516337557,11033.938668209561,12089.187426821238
2026-05-21 08:00:00+00:00,12652.95,11318.489363581595,10789.823400411244,11843.997665375993
2026-05-21 09:00:00+00:00,13267.85,10995.169619470278,10467.424412475006,11522.478971893252
2026-05-21 10:00:00+00:00,13164.2,10803.311024190856,10274.473892134602,11329.88409856946
2026-05-21 11:00:00+00:00,12778.53,10796.82281963354,10267.5182033521,11323.758611508245
2026-05-21 12:00:00+00:00,12380.65,10946.572618571241,10418.418243851784,11471.934837209192
2026-05-21 13:00:00+00:00,12366.3,11179.24258228479,10651.617958215029,11705.509055760987
2026-05-21 14:00:00+00:00,12255.98,11415.32054955243,10886.978527514424,11941.972376002392
2026-05-21 15:00:00+00:00,12274.78,11637.626393327448,11108.746560393394,12163.91150087134
2026-05-21 16:00:00+00:00,12358.2,11824.845852294324,11295.516381722806,12351.122316664265
2026-05-21 17:00:00+00:00,12341.88,11876.149783372663,11346.809580454692,12402.381532694033
2026-05-21 18:00:00+00:00,12120.4,11710.442764370811,11181.418887449423,12237.346825441016
2026-05-21 19:00:00+00:00,11844.0,11381.907451494373,10852.41271418246,11909.819182834914
2026-05-21 20:00:00+00:00,11180.5,10940.922184963925,10411.294770546923,11468.906783159888
2026-05-21 21:00:00+00:00,10551.8,10444.17991760589,9916.417568897157,10972.016631846407
2026-05-21 22:00:00+00:00,9955.52,10004.875602311671,9476.368370330154,10534.054710891342
2026-05-21 23:00:00+00:00,9728.11,9692.077463549182,9165.296283414838,10219.516809171166
2026-05-22 00:00:00+00:00,9735.12,9485.025735600142,8955.220876881669,10013.503674716843
2026-05-22 01:00:00+00:00,9790.58,9463.568855233138,8935.442029854252,9991.901730963978
2026-05-22 02:00:00+00:00,9994.36,9642.127986500738,9114.409686519677,10170.6200191805
2026-05-22 03:00:00+00:00,10434.4,10010.47257888679,9481.570113546757,10539.016383303488
2026-05-22 04:00:00+00:00,11630.13,10463.332844842185,9934.502399372794,10993.189520334541
2026-05-22 05:00:00+00:00,12572.6,10830.16659967996,10301.761512006377,11359.238651421168
2026-05-22 06:00:00+00:00,13018.68,11007.217937858662,10478.771462222907,11533.706856051354
