number,value,params_alpha,params_l1_ratio,state
0,0.3922587553217631,0.9855970228152688,0.1742048702174759,COMPLETE
1,0.43943486008708804,0.7203412419743985,0.6000556694641767,COMPLETE
2,0.38843489665953584,0.3710392411395315,0.5243822436005918,COMPLETE
3,0.37714547675782256,0.18907499933796568,0.7130958831007158,COMPLETE
4,0.3726186893332483,0.8420915404783648,0.11148858643579017,COMPLETE
5,0.3767751204083952,0.18100059065033566,0.7365400629731587,COMPLETE
6,0.3264951636321401,0.07441275375012903,0.4739789598066493,COMPLETE
7,0.3943876772871767,0.8366516950976921,0.23338228228601265,COMPLETE
8,0.3810363209359767,0.6990601036209365,0.17140727391558278,COMPLETE
9,0.4829147208649028,0.8373162780765403,0.8774636828850566,COMPLETE
10,0.31748720297036914,0.051086575718007954,0.41101093116671955,COMPLETE
11,0.31933842879888535,0.06397348422075233,0.3749998911761872,COMPLETE
12,0.3125793084483007,0.015908371016117917,0.41783805502205357,COMPLETE
13,0.37439153947764353,0.3823522805779584,0.30309670553674883,COMPLETE
14,0.31986633154234917,0.27151285284593385,0.01229638787899312,COMPLETE
15,0.3154995616726675,0.040144219277100365,0.38276138041211644,COMPLETE
16,0.40844021716947015,0.4844408547639537,0.6103923909799152,COMPLETE
17,0.3470137048710732,0.19511195947096696,0.33153375986744715,COMPLETE
18,0.3145673676548043,0.02777571874300334,0.47164036523295777,COMPLETE
19,0.45414689446435547,0.5605927476934409,0.9491428248170763,COMPLETE
20,0.3828145959447184,0.30490027730232955,0.534859653869515,COMPLETE
21,0.3141153125545584,0.025430107907035957,0.42416533528920913,COMPLETE
22,0.3404541495961935,0.1255520384603118,0.4446649590474827,COMPLETE
23,0.3142280925251754,0.020189172226468682,0.6479315287014106,COMPLETE
24,0.3579073308992646,0.13042341805377333,0.7006203892918468,COMPLETE
25,0.38967954142843364,0.2615210456093855,0.8350513996121505,COMPLETE
26,0.3134636668114523,0.013625710325466167,0.6188505207109231,COMPLETE
27,0.34619388508644894,0.11954453108363694,0.5572923486271256,COMPLETE
28,0.3804831807706824,0.48178050553409946,0.26934772365242654,COMPLETE
29,0.40271012836867925,0.3528304729869815,0.7945345721917566,COMPLETE
30,0.39534145358067924,0.9769311232320919,0.19606608303287149,COMPLETE
31,0.31360630735367884,0.01513862703694488,0.5951778149744051,COMPLETE
32,0.34723589736017324,0.11322488414569554,0.6127021492839116,COMPLETE
33,0.3126913154590289,0.012245865410615574,0.5619581222708944,COMPLETE
34,0.3791630861897565,0.22035366027087322,0.6624785403588891,COMPLETE
35,0.35808407563909894,0.15820924917606513,0.5674941714853363,COMPLETE
36,0.3342842341416373,0.09278671816198102,0.5071561546958586,COMPLETE
37,0.3136892567558,0.011064002642276026,0.7615603462056038,COMPLETE
38,0.37950391067138173,0.21930369570263591,0.6791452622809442,COMPLETE
39,0.3587392948920671,0.15615243036966855,0.5849981763489883,COMPLETE
40,0.41342349004617435,0.6199144191917875,0.4990343348887792,COMPLETE
41,0.3438380465966682,0.08548784508302837,0.7566991423170295,COMPLETE
42,0.3144030845866333,0.018477002991312615,0.7544908679631697,COMPLETE
43,0.3355245354723519,0.07945230311030789,0.6312092600382208,COMPLETE
44,0.31427206378556993,0.014431047037930907,0.8381284521873726,COMPLETE
45,0.32870889472898895,0.07437242373084249,0.5278278393353751,COMPLETE
46,0.3807762931390536,0.17835484858644746,0.9509738837695534,COMPLETE
47,0.33275207714035854,0.0651748766143145,0.7246132034131958,COMPLETE
48,0.3655178367920966,0.13707874064467612,0.7902903298944307,COMPLETE
49,0.40726891259208464,0.764941176309796,0.35320850893203093,COMPLETE
