number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,569.9866133508228,small,0.6322659840047627,True,False,True,True,True,True,False,True,False,True,False,,0.17143755892224263,16,29,0.19814458504344706,405,122,small,2.238515358466807e-05,0.0008409182702016225,large,capacity,0.7641691147375123,False,False,COMPLETE
1,831.8293426849272,large,0.9394556491137227,True,False,False,False,True,True,True,False,True,True,False,1.0,0.07967839939943862,8,72,0.0269667684802104,773,150,none,7.792213740123427e-07,1.0040715353512187e-07,medium,n_panels,0.7718424438024258,True,True,COMPLETE
2,565.5068772077587,large,0.5981801578437002,True,False,True,True,False,False,True,True,True,True,False,,0.05714387311490133,11,49,0.3913976339773608,819,117,large,1.2556400605180861e-08,0.0003477885124952181,none,capacity,0.6454434325129939,False,False,COMPLETE
3,1013.6936819627562,large,0.8176392486535671,False,True,True,True,True,False,True,True,True,True,True,6.0,0.013223602758143682,4,56,0.4719544579155047,434,15,large,0.00019616694482728502,0.00016675776731134875,none,idw,0.5579637744089395,True,True,COMPLETE
4,691.7979685998004,small,0.6731733601147494,True,False,True,True,True,True,True,False,True,False,False,1.0,0.016351079577941748,9,14,0.3296065467586767,744,88,small,0.0029817045771607996,0.0004603239485502701,none,max,0.6891780187364731,False,False,COMPLETE
5,820.0267741302238,none,0.6141581075147978,True,False,True,True,True,True,False,False,False,False,False,12.0,0.019270529137333115,4,31,0.2500388668203194,356,31,large,1.701378652533387e-07,6.951459352874028e-07,none,distance_capacity,0.5222689570989685,False,False,COMPLETE
6,788.3659377434946,none,0.8614219325982859,True,False,False,True,True,True,False,True,True,False,True,1.0,0.028048708231540747,16,75,0.22659880095410767,549,146,none,0.0006446954892602477,0.011631531095538553,medium,distance_capacity,0.9820646050068966,False,True,COMPLETE
7,869.2790741111736,medium,0.9775527903197456,False,False,False,True,False,False,True,False,False,False,False,12.0,0.039199501681732564,13,38,0.48755024391992524,517,85,large,2.627471322024406e-07,0.25573874935596913,none,capacity,0.8301664699083015,False,False,COMPLETE
8,603.9041988692002,none,0.7569743531079378,False,True,True,True,True,False,True,False,True,True,False,,0.18987858142185993,7,76,0.49771008985150944,988,105,none,8.4641491467326e-07,0.001251871101164619,small,distance_n_panels,0.5018241301830415,False,True,COMPLETE
9,699.0483209150285,none,0.7253951735004436,False,True,False,True,False,True,True,True,False,False,False,1.0,0.0625605997387141,9,38,0.2510283151267908,471,50,none,2.601767265063446e-08,0.00013353122731296128,medium,max,0.6262307320058471,True,False,COMPLETE
