number,value,params_alpha,params_l1_ratio,state
0,0.5554249885232659,0.9203201128994586,0.5347899778880613,COMPLETE
1,0.51380108311458,0.47136669373130763,0.6622257314734444,COMPLETE
2,0.48033687289792415,0.20937376741231045,0.9197769091564021,COMPLETE
3,0.419918169383283,0.097514638849332,0.027757673666982334,COMPLETE
4,0.46109280598859226,0.24511823964765217,0.416683619965423,COMPLETE
5,0.43685439329194103,0.1402201780316281,0.2863024797599971,COMPLETE
6,0.4966424385943422,0.5691324324102202,0.38382311430032456,COMPLETE
7,0.4537464695459205,0.3001050573962294,0.2470721965065254,COMPLETE
8,0.560708831168976,0.7883366121893199,0.71569693890896,COMPLETE
9,0.42452015969726453,0.05827917636931614,0.3281453259134301,COMPLETE
10,0.43320242796019104,0.4850799397779159,0.025903232515314702,COMPLETE
11,0.41758565142504783,0.01802391602220047,0.02019813253935626,COMPLETE
12,0.41947038162400246,0.0835605783390436,0.025503291803681404,COMPLETE
13,0.41695197534129946,0.011367840910457092,0.151383312037238,COMPLETE
14,0.45072339651053783,0.3573932360399638,0.17245459205154245,COMPLETE
15,0.4174239493893879,0.02303212766523513,0.15973300170020618,COMPLETE
16,0.4759305691719085,0.6394962463640262,0.18416914145673713,COMPLETE
17,0.4863965976283805,0.36588258733892376,0.51893465055656,COMPLETE
18,0.43181799664724135,0.1740860951895396,0.15158320841465897,COMPLETE
19,0.47411612448685325,0.7440627810144724,0.14454868929907788,COMPLETE
20,0.41937738999149715,0.017086005273304262,0.9950333337459725,COMPLETE
21,0.4173739818929038,0.010399029309036056,0.09853658832186812,COMPLETE
22,0.42799469849032734,0.14796081551068552,0.1331754821379294,COMPLETE
23,0.4496134832562824,0.26249058282147036,0.24670641507121777,COMPLETE
24,0.43761564161253236,0.1069908116987153,0.41540228327275985,COMPLETE
25,0.41757339596021803,0.026552822720357954,0.10386593836415706,COMPLETE
26,0.4607502665836725,0.387979208775032,0.2292246030542711,COMPLETE
27,0.44649480646785655,0.1839972733897654,0.3379870092049432,COMPLETE
28,0.4208380312172965,0.08643942145560603,0.08728898581976095,COMPLETE
29,0.48265099909188575,0.28043950417771113,0.6548928858066585,COMPLETE
30,0.4546538300004583,0.18933599990176503,0.46347684166079717,COMPLETE
31,0.4689659845958415,0.964581553148698,0.08786641806830248,COMPLETE
32,0.4173844740194635,0.010934474845873558,0.08819772587374787,COMPLETE
33,0.41678817341093505,0.010465667182943766,0.20006270701678303,COMPLETE
34,0.4288512236737077,0.11429660695858344,0.21225963372589268,COMPLETE
35,0.419975272183773,0.07210959960282715,0.08122145115592562,COMPLETE
36,0.46998422914287913,0.225434947301986,0.5901021672515748,COMPLETE
37,0.4368994265892604,0.13385842443244234,0.30420306908321104,COMPLETE
38,0.4696628026975973,0.41808397036503503,0.2709217008171601,COMPLETE
39,0.49764509730414147,0.3129071714075775,0.8378090948478629,COMPLETE
40,0.4551661820687562,0.8384037582569615,0.061970666083592287,COMPLETE
41,0.4167899031879055,0.01324776756591709,0.18316339479466434,COMPLETE
42,0.4217030362839945,0.05895224814418726,0.2108885452384876,COMPLETE
43,0.441027935934028,0.1409069140379098,0.36079879106043333,COMPLETE
44,0.41699805631048326,0.015718550111199357,0.12036706864558425,COMPLETE
45,0.42397965829166634,0.06263144138575405,0.2826335362925576,COMPLETE
46,0.4270510175548384,0.10550601240520881,0.1982796115582147,COMPLETE
47,0.4582833017801238,0.5416400017763344,0.13416305545088666,COMPLETE
48,0.4233224259151099,0.22426546034661737,0.011945263592231081,COMPLETE
49,0.41849140330485585,0.04995983859272589,0.047965234981501056,COMPLETE
