date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2026-08-14 00:00:00+00:00,,9516.963550303233,9169.745877125324,9864.181223481142
2026-08-14 01:00:00+00:00,,9504.505803988992,9157.288130811083,9851.723477166901
2026-08-14 02:00:00+00:00,,9697.707706881572,9350.490033703663,10044.925380059482
2026-08-14 03:00:00+00:00,,10279.686031099644,9932.468357921734,10626.903704277553
2026-08-14 04:00:00+00:00,,11260.156191187298,10912.938518009389,11607.373864365207
2026-08-14 05:00:00+00:00,,12027.844532890462,11680.626859712553,12375.062206068373
2026-08-14 06:00:00+00:00,,12223.495396109985,11876.277722932076,12570.713069287895
2026-08-14 07:00:00+00:00,,12169.879426962392,11822.661753784483,12517.097100140301
2026-08-14 08:00:00+00:00,,11933.052489982898,11585.834816804989,12280.270163160807
2026-08-14 09:00:00+00:00,,11760.886134915632,11413.668461737723,12108.103808093541
2026-08-14 10:00:00+00:00,,11470.92480142756,11123.70712824965,11818.14247460547
2026-08-14 11:00:00+00:00,,11227.250716287126,10880.033043109217,11574.468389465035
2026-08-14 12:00:00+00:00,,11018.320639336129,10671.10296615822,11365.538312514038
2026-08-14 13:00:00+00:00,,11083.42865201319,10736.210978835281,11430.6463251911
2026-08-14 14:00:00+00:00,,11214.45440845629,10867.23673527838,11561.672081634199
2026-08-14 15:00:00+00:00,,11435.20440255938,11087.986729381471,11782.42207573729
2026-08-14 16:00:00+00:00,,11633.553124665259,11286.33545148735,11980.770797843168
2026-08-14 17:00:00+00:00,,11575.377318721268,11228.15964554336,11922.594991899177
2026-08-14 18:00:00+00:00,,11225.380824801405,10878.163151623496,11572.598497979314
2026-08-14 19:00:00+00:00,,10897.233069685344,10550.015396507435,11244.450742863253
2026-08-14 20:00:00+00:00,,10362.3283674916,10015.110694313691,10709.54604066951
2026-08-14 21:00:00+00:00,,9939.304050433246,9592.086377255337,10286.521723611155
2026-08-14 22:00:00+00:00,,9752.939380293152,9405.72170711524,10100.15705347106
