Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,False
compute_dew_point_spread,True
compute_temp_gradient,False
compute_wind_chill,False
compute_humidex,False
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,True
compute_wind_speed_gradient,True
compute_air_density,True
compute_rain_indicator,False
compute_cloud_cover_fraction,True
compute_effective_solar,False
temp_lags_option,medium
precip_lags_option,medium
cloud_lags_option,medium
rolling_temp_option,none
drop_basic_meteo_features,False
drop_wind_meteo_features,True
drop_rad_meteo_features,True
spatial_agg_method,distance_population
n_estimators,960
learning_rate,0.08530971757283311
num_leaves,10
max_depth,3
min_child_samples,89
subsample,0.7369289623233438
colsample_bytree,0.5781095416047736
reg_alpha,3.1823212772811045e-05
reg_lambda,2.594563881803899e-07
min_split_gain,0.16746575214473958
use_base_models_pred_intervals,False
cv_folds_base,40
