number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,427.82800321455153,small,0.7544489431045771,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.01062946357749516,4,12,0.40257044689246885,597,31,medium,2.145129244415029e-06,2.0672800073741992e-07,none,max,0.8930640164367505,small,False,COMPLETE
1,479.64404190647775,small,0.9745505009538113,False,True,True,False,True,False,True,True,True,True,True,False,True,False,True,True,True,0.09532114815016259,12,63,0.3585396048988794,667,123,medium,0.036236933319532,0.011146566977988806,long,energy,0.8631530757518494,medium,True,COMPLETE
2,476.5551589572251,small,0.6828386413048699,False,False,True,True,False,True,False,True,True,True,True,False,True,True,False,False,False,0.17054328077639955,15,29,0.37756913201665515,674,128,medium,8.594075053252938e-07,0.0012872649207422233,none,mean,0.6386456421330944,none,True,COMPLETE
3,459.7280004636691,none,0.7047918044595828,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,False,0.03886766702195078,13,58,0.1787343795548758,769,111,medium,6.01488305729219e-08,3.889211663990291e-07,long,population,0.7255328926007929,small,True,COMPLETE
4,454.87023227403387,small,0.7986895342520249,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,0.08340700240547087,16,14,0.48281934203569454,969,35,none,0.01768618333805664,0.3143986203537165,none,max,0.9748385641328243,none,False,COMPLETE
5,441.061985105322,medium,0.829357317922223,True,False,True,False,False,True,True,False,False,False,False,True,True,False,True,True,False,0.19800960001609408,15,21,0.14922140255676952,502,143,small,0.015038324458420035,0.7616397690426664,short,energy,0.6075331875586217,none,False,COMPLETE
6,474.83581690148367,small,0.925176692270179,True,False,True,False,False,True,True,False,True,True,False,False,False,True,False,True,False,0.028608418326445364,10,34,0.1396842569826935,387,132,small,0.0004236698167869118,2.9518496388337286e-07,short,mean,0.8074300429066972,small,False,COMPLETE
7,420.7731763306331,medium,0.5266443188485668,True,False,True,True,False,True,False,True,True,False,False,False,False,True,True,True,False,0.015655805379986478,6,91,0.09841976357699095,456,43,medium,0.12147044642065515,0.0006877548213732419,long,mean,0.8753140070498955,medium,False,COMPLETE
8,480.8349423164057,none,0.7675509607741972,True,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,0.15994868073524363,9,63,0.4320156763473924,396,141,small,2.078743881429511e-05,1.4467450564763583e-08,short,population,0.5222635295576274,none,False,COMPLETE
9,497.7240807041703,small,0.5430985898026233,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,False,True,0.17544598548307908,6,40,0.20206686209108693,636,125,small,4.500593251814198e-06,0.7376832630825698,short,max,0.8205117166702789,medium,False,COMPLETE
10,467.6616265244409,medium,0.5577003486388854,False,True,False,True,True,True,False,True,False,False,True,True,False,True,True,True,False,0.010637549417631962,3,100,0.014682203604420158,336,61,none,0.7335796065343064,2.7346604817036557e-05,long,distance_energy,0.9965283778082675,medium,True,COMPLETE
11,409.4317368527098,medium,0.6173248673093231,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.01075220972696191,3,90,0.2910689312160351,542,10,medium,0.00033319287375397575,3.191193107679906e-05,none,distance_population,0.907127034011384,small,False,COMPLETE
12,443.0991406569695,medium,0.6069268726203196,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,True,0.01874086740816611,6,91,0.29100039970766756,493,12,medium,0.0004950747113783547,2.9501434527486273e-05,long,distance_population,0.9287910928848095,medium,False,COMPLETE
13,410.0968203568836,medium,0.5021560394266267,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,0.019043368952518104,6,83,0.06645176516914766,458,76,medium,0.7709233855348688,0.002061524946344001,none,idw,0.7435973788583512,small,False,COMPLETE
14,430.31810123677906,medium,0.6248715632030818,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,0.021400568050344335,8,76,0.2716651853738179,552,91,medium,0.0018066005809688397,0.009866317641760214,none,idw,0.7315618639714409,small,False,COMPLETE
15,406.1912481523885,medium,0.5070740656468748,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.03382958089209065,4,76,0.03870791550722347,825,76,medium,0.5526558249402844,6.215010269211819e-06,none,None,0.6499602537946586,small,False,COMPLETE
16,406.81427709407853,medium,0.6124545027735041,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.05164555960213345,3,72,0.3067269654014509,832,10,none,1.1376486987631885e-08,3.3142176127975636e-06,none,None,0.5963636995446382,small,False,COMPLETE
17,441.5081177122128,medium,0.6682918935351406,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.054473947201660586,4,72,0.2365149807033871,874,100,none,1.0640153724477375e-08,2.7273664121697133e-06,none,None,0.6156655376656629,small,False,COMPLETE
18,471.1037505499858,none,0.5779949987604728,False,True,False,False,True,True,False,False,False,True,True,True,False,False,False,True,True,0.04915952809929557,8,49,0.3428160394207336,800,64,none,8.268368832128414e-08,1.0999731236857571e-08,none,None,0.5265975509455165,small,True,COMPLETE
19,432.9359826682903,medium,0.5021567779056565,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.1080959186469442,5,74,0.011240264216778557,986,51,none,6.659290030736017e-05,2.962592333213266e-06,none,None,0.6607356216213527,small,False,COMPLETE
20,414.4458037086424,medium,0.8584295274453159,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.03432968480077179,3,52,0.23358663701397495,840,81,none,0.00455912395371038,4.652605355005293e-06,none,None,0.5797122540215138,small,False,COMPLETE
21,400.19247526377575,medium,0.6217987311069717,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.07176823451975058,3,85,0.3040702294261687,751,16,medium,1.8333431074934638e-05,0.00010146826795799729,none,distance_population,0.6945958479116924,small,False,COMPLETE
22,426.072372430413,medium,0.6653799866817633,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.06586591066825975,4,82,0.320580397854901,738,23,medium,3.953672218990066e-07,0.00019191967312965434,none,distance_population,0.6818344218753486,small,False,COMPLETE
23,443.43439920772295,medium,0.5856199815854229,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.07194157585378197,5,66,0.4389305087537997,910,21,none,8.209108412239247e-06,9.856633540235593e-06,none,None,0.5679548675028168,small,False,COMPLETE
24,408.01419626458,medium,0.6403043499270308,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.12289224329515917,3,100,0.3059020034054026,903,44,medium,5.0505529462532606e-05,0.00013914134248151137,none,distance_energy,0.7030599307601726,small,False,COMPLETE
25,439.62729865344323,none,0.7184422671139363,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.03809523322322345,7,82,0.2507240109075676,735,23,none,1.0502520516732566e-08,1.0561780815483363e-06,none,distance_population,0.6597076475462469,small,False,COMPLETE
26,470.85070878321295,medium,0.5728348855320644,False,True,False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,0.2988606834396279,5,69,0.2006735838913845,812,58,medium,1.1383713910598897e-07,7.432965766339801e-08,none,None,0.5617533262633008,small,True,COMPLETE
27,430.85253469224114,medium,0.5337651221101483,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.055925835409172696,11,79,0.06768134693403657,716,73,medium,0.10241959032174566,0.00026183147783068774,none,None,0.6259025499049113,small,False,COMPLETE
28,434.92415184799864,medium,0.7166915626619664,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.025231896394580983,4,57,0.3238485554028384,939,36,small,0.0021034867911278766,1.1246006936282561e-05,short,distance_population,0.7718833875668419,none,False,COMPLETE
29,442.7476383546726,none,0.6355831469596496,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.04629562569792651,4,87,0.4045504747462725,855,28,none,1.8175443052741431e-06,6.805091406858967e-08,none,None,0.6952574660192027,small,False,COMPLETE
30,418.69499742979207,medium,0.5927623980621285,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.029981093081138787,7,47,0.3846123348382511,785,16,medium,8.017794222800856e-06,9.166003466194422e-07,none,distance_energy,0.7676912443411285,small,False,COMPLETE
31,400.1868111643061,medium,0.6566603485423678,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.1191993132708109,3,100,0.30258156546464215,884,42,medium,5.118670290706403e-05,8.026604880589003e-05,none,distance_energy,0.6990053818226937,small,False,COMPLETE
32,414.5170686498997,medium,0.7545656949756585,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.08222861583344376,3,95,0.2636869770505299,841,32,medium,0.00015633965343093666,7.619734237972371e-05,none,distance_energy,0.6597329194483745,small,False,COMPLETE
33,419.5139268023022,medium,0.6543452804849118,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.11908259865798951,4,87,0.3473658476905054,690,49,medium,2.2383872389952814e-05,0.004679608344723157,none,energy,0.5970598190778148,small,False,COMPLETE
34,452.87529533733976,medium,0.6815386602961434,False,True,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,0.0452989577507038,5,94,0.3831985921985407,620,18,medium,5.74663761582491e-07,8.417657337144048e-06,none,distance_energy,0.7053883821318031,small,True,COMPLETE
35,426.56367748934434,small,0.7022278532311246,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,0.06329563381306608,3,60,0.3573781252854816,768,112,medium,1.9627223701548912e-07,0.057224189638147356,long,population,0.6418907759440745,small,False,COMPLETE
36,437.57482335451397,medium,0.5595930713242896,False,True,False,True,False,True,False,True,False,False,True,False,True,True,False,True,True,0.08986905899184257,5,68,0.2141033572617465,915,39,medium,1.709920116719402e-06,0.0005236926493567286,none,idw,0.5479183851793118,none,True,COMPLETE
37,450.7417216182703,small,0.60569049313066,False,False,False,False,False,False,True,False,True,True,False,True,False,True,True,False,True,0.10421950553011733,3,77,0.28680051135325013,950,29,medium,3.125355158816388e-08,6.327431374900713e-05,none,max,0.6773031172899183,medium,False,COMPLETE
38,505.1779934729257,medium,0.9687738599877291,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,0.1325517933102481,12,95,0.15439738727560054,877,98,medium,0.005993292633594714,1.0767471496499219e-06,none,energy,0.8065503812254361,small,False,COMPLETE
39,470.0680841825903,none,0.7882494089019881,False,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True,False,0.22891385347235368,14,71,0.41996725670498786,691,49,small,0.00016369399597968378,0.0017050737779307928,short,mean,0.5901331146870601,none,False,COMPLETE
40,448.89599869851287,small,0.7258202160506231,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,True,0.07397854497043105,7,86,0.4753395872782662,759,68,none,0.07629762807278198,0.000505733470084111,long,population,0.6315404567043511,small,True,COMPLETE
41,400.9152138640009,medium,0.6423368231542498,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.13658048887127566,3,100,0.3100096058798771,913,46,medium,4.985944169872348e-05,0.00017587860295083073,none,distance_energy,0.7155390709826064,small,False,COMPLETE
42,442.38667222346083,medium,0.6838444593449265,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.14777658117016948,4,99,0.32549993066976957,822,55,medium,1.7742848406912893e-05,1.7578674436706556e-05,none,distance_energy,0.7201783863134038,small,False,COMPLETE
43,394.5833045472046,medium,0.527220810521107,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.19849756979305522,3,94,0.26858608432899195,998,39,medium,0.0008963747468272424,6.487232150152477e-05,none,distance_energy,0.7630773672613547,small,False,COMPLETE
44,431.7173874173618,medium,0.5304229113973453,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,0.22246864521652854,4,97,0.12066118694915345,998,42,medium,3.4325411063720105e-05,7.536494142572356e-05,none,distance_energy,0.7674366384071152,small,False,COMPLETE
45,417.05634110525483,medium,0.5147673451904857,True,True,False,True,False,True,False,True,False,False,False,False,True,True,False,True,True,0.19369063643999368,5,91,0.1843909580416815,949,83,medium,0.0008623670047937086,4.459310605133187e-05,short,distance_energy,0.8350696587441919,medium,False,COMPLETE
46,421.0724243635939,medium,0.5552993328922792,False,True,True,True,False,True,True,True,True,True,False,True,False,False,True,True,False,0.2778836977737864,3,6,0.2730344750878402,885,68,medium,0.00012312118318732066,0.00023675795181644476,none,distance_energy,0.7912126339922586,small,False,COMPLETE
47,444.3743841693028,medium,0.5411199129416515,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,True,True,0.15286817279757878,6,89,0.22826411804506036,922,35,medium,0.021729292408086093,0.000840853094514134,long,distance_energy,0.7520415078876738,none,False,COMPLETE
