Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,True
use_solar_geometry,False
compute_air_density,False
compute_air_density_moist,False
compute_direct_ratio,True
compute_diffuse_ratio,False
compute_dni_ratio,False
compute_global_tilted_ratio,False
dew_point_temperature,True
vapor_pressure,False
precip_lags_option,none
cloud_lags_option,large
shortwave_lags_option,medium
drop_raw_solar_features,False
drop_raw_features,False
spatial_agg_method,mean
n_estimators,566
learning_rate,0.08487796007257603
num_leaves,139
max_depth,5
min_child_samples,22
subsample,0.992945722099606
colsample_bytree,0.7921937172017365
reg_alpha,0.034571597174099085
reg_lambda,0.007905765477405267
min_split_gain,0.16005177181741262
use_base_models_pred_intervals,False
cv_folds_base,40
