number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,628.4805551245166,none,0.8858173385463353,True,False,False,False,True,True,False,False,True,False,True,0.01428414483599969,11,12,0.0014513018657059673,687,42,none,5.10493990500271e-07,0.021910120529519645,small,None,0.9274526750801113,True,True,True,COMPLETE
1,627.0243727553219,large,0.8849711213610922,True,False,False,True,False,True,True,False,True,True,True,0.014358066831727478,15,53,0.3657001739501159,363,60,small,2.729911267283837e-05,8.288113342938938e-06,medium,idw,0.510896133929723,True,False,False,COMPLETE
2,660.2955499781564,large,0.8436690273562214,False,False,True,True,False,True,True,False,True,False,False,0.058980139427024424,4,34,0.004236620659255508,631,80,large,0.0004362636112142223,2.878220584505971e-06,large,n_panels,0.7735021600209249,False,True,True,COMPLETE
3,694.4780069319203,medium,0.7622081210755138,False,False,False,True,False,False,True,True,True,True,True,0.2304036540209594,16,50,0.29484988068998325,740,10,large,3.331134910286477e-08,2.052049325671845e-05,small,capacity,0.8108289177309432,True,True,True,COMPLETE
4,631.1527902309662,none,0.9470875698947048,False,True,False,True,False,True,False,False,False,True,False,0.11994866195412467,15,32,0.364344574225666,741,149,none,1.0880883013955285e-08,6.214005058165375e-08,large,distance_capacity,0.8279986244487321,False,False,True,COMPLETE
5,595.9248392266242,large,0.7706748361328807,False,False,True,True,False,True,False,False,True,False,False,0.04177111601037672,4,66,0.07596679521180805,616,126,small,2.1690221810710805e-07,0.012652384306813702,none,idw,0.6731523353224007,False,False,True,COMPLETE
6,626.6754129564451,medium,0.7610184970480972,False,True,True,True,True,True,True,False,True,False,False,0.047393619949406655,6,58,0.18759318219413657,332,70,small,0.4855071485782341,0.001801350492581504,large,mean,0.6266317991750179,True,True,False,COMPLETE
7,669.9342663265311,small,0.9697369165644804,False,False,True,False,False,False,False,True,False,False,False,0.02910896130259709,10,95,0.20805903519809843,682,81,none,3.496842500955011e-08,6.181091058005498e-07,small,capacity,0.9041213846329292,False,True,True,COMPLETE
8,642.7021197861803,large,0.5379411205210461,True,True,False,True,True,False,True,True,False,True,True,0.03612634304892491,12,6,0.47209561594301175,572,140,large,9.702932278671162e-05,0.00260786287895768,large,None,0.7836426788073542,True,True,True,COMPLETE
9,680.374026424304,medium,0.7363464472187347,True,True,False,False,False,True,True,True,True,True,False,0.06400057350742078,3,89,0.3410717970848642,737,88,large,0.002835708653508272,0.8288953507863154,none,capacity,0.7080707441141958,True,True,True,COMPLETE
10,621.5282219559217,small,0.6081528991652025,False,False,True,False,True,False,False,False,False,False,False,0.12437386760618052,7,68,0.12464058875809808,942,119,small,2.4316609373863394e-06,0.6221852774967761,none,distance_n_panels,0.638816357149171,False,False,False,COMPLETE
11,642.8121803476803,small,0.5916763307587615,False,False,True,False,True,False,False,False,False,False,False,0.12469741211076807,7,76,0.1260261137447529,994,114,small,2.29096323481619e-06,0.868534373706133,none,distance_n_panels,0.6282139752788807,False,False,False,COMPLETE
12,635.3185977991969,small,0.6293216950578113,False,False,True,False,True,False,False,False,False,False,False,0.10735010185039849,7,72,0.10308612946086348,986,118,small,1.331963437170261e-06,0.03716383688081265,none,idw,0.6582690044310792,False,False,False,COMPLETE
13,633.0595335206882,small,0.6646694168631451,False,False,True,False,True,False,False,False,False,False,False,0.2636055092208673,5,72,0.10571836884725563,865,111,small,4.872661764106677e-07,0.0008556413720445999,none,distance_n_panels,0.5770720678999933,False,False,False,COMPLETE
14,617.2068337965762,large,0.6549534054010623,False,False,True,True,False,True,False,False,True,False,False,0.02256336427501536,8,82,0.06472591603207287,520,130,small,1.1006345863639043e-05,0.0944543267193928,none,max,0.7064692848000009,False,False,False,COMPLETE
15,619.4357281033334,large,0.7107486108719482,False,False,True,True,False,True,False,False,True,False,False,0.023753218127879977,8,86,0.05791267858969702,483,133,small,0.007569856707981397,0.03094933336816163,medium,max,0.7145549791877537,False,False,False,COMPLETE
16,620.9764055861998,large,0.8293722244071642,False,False,True,True,False,True,False,False,True,False,False,0.01986588556634717,9,82,0.2013083173032654,482,102,small,1.6575416934814096e-05,0.00013671189069675038,none,max,0.5463369576725096,False,False,True,COMPLETE
17,629.3783420283784,large,0.5003755647219639,False,False,True,True,False,True,False,False,True,False,False,0.010379843287536855,3,99,0.051750054955744196,497,131,small,1.6871325326402674e-07,0.08794250922377314,none,max,0.7142516020817244,False,False,False,COMPLETE
18,624.5989619209298,large,0.6906861294637537,True,True,True,True,False,True,False,True,True,False,True,0.03674020268886014,12,61,0.25146535110186546,413,99,small,1.2731057572561404e-05,0.0002392627283302595,none,idw,0.8688800595450746,False,False,True,COMPLETE
19,593.8014896498016,large,0.6582361835578195,False,False,True,True,False,True,False,False,True,False,False,0.0727826522392447,5,41,0.05629436065394841,565,129,none,0.0011430460597296466,0.008641524618192844,medium,mean,0.9668825501019546,False,False,False,COMPLETE
20,597.3251445823971,large,0.8103292876201447,False,False,True,True,False,True,False,False,True,False,False,0.07859486586778701,5,39,0.1662886273249827,598,150,none,0.15201828495310796,0.006664114957821453,medium,mean,0.9992782549548089,False,False,False,COMPLETE
21,594.3029334409158,large,0.7973168531281656,False,False,True,True,False,True,False,False,True,False,False,0.07720138339877088,5,41,0.16417851697259683,607,149,none,0.41842170742748497,0.0058101231040450846,medium,mean,0.9932108042223776,False,False,False,COMPLETE
22,586.3664346204565,large,0.7921937172017365,False,False,True,True,False,True,False,False,True,False,False,0.08487796007257603,5,22,0.16005177181741262,566,139,none,0.034571597174099085,0.007905765477405267,medium,mean,0.992945722099606,False,False,False,COMPLETE
23,615.9001296052855,none,0.7944443354316172,False,False,True,True,False,True,False,False,True,False,False,0.08755870419518887,5,21,0.1553685354722665,543,142,none,0.021016438528931865,0.00036604925804737504,medium,mean,0.9928077468146119,False,False,False,COMPLETE
24,598.1852488558142,large,0.8718014346208779,False,False,True,True,False,True,False,False,True,False,False,0.18408526328545363,6,43,0.2448957373198672,421,140,none,0.05758234584352253,0.003282352237262646,medium,mean,0.9486040242519526,False,False,False,COMPLETE
25,601.9621057752832,large,0.7157089040787091,False,False,True,True,False,True,False,False,True,False,False,0.07721951999834875,4,23,0.24103215051523552,843,101,none,0.9155213854538454,4.5698150607153534e-05,medium,mean,0.9577907347997346,False,False,False,COMPLETE
26,637.9402610458117,large,0.9209062644739603,True,True,True,True,False,True,False,True,True,True,True,0.18259087696461698,6,25,0.15038141115938786,438,125,none,0.0009564730901037472,0.13969566223807728,medium,mean,0.8853214072205168,False,False,False,COMPLETE
27,598.0322162344554,large,0.9987909296671734,False,False,True,True,False,True,False,False,True,False,False,0.05439749030779784,3,45,0.04393878616431797,644,140,none,0.13944621939603158,0.001136672493136834,medium,mean,0.979591519284824,False,False,False,COMPLETE
28,665.52436328021,medium,0.5794887101958438,False,False,True,True,False,True,False,False,True,False,False,0.15685379993922996,9,16,0.2940372301565398,585,150,none,0.013549490152212677,0.007376401895187455,medium,n_panels,0.8614551210219066,False,False,False,COMPLETE
29,621.298861307573,none,0.8601618453253523,True,False,False,True,False,True,False,False,True,False,True,0.09767715447732715,11,31,0.022056849651699545,692,23,none,0.0022898726893718735,0.018810456953590286,medium,distance_capacity,0.9203726943569531,True,False,False,COMPLETE
30,629.115139731882,none,0.7912198454223854,False,False,True,True,False,True,False,False,True,False,False,0.07021220077058439,5,9,0.09321612861851748,560,56,none,0.0367296891395166,0.0005462717774755315,small,None,0.9452023350843852,False,False,False,COMPLETE
31,593.8276196398633,large,0.7547898378133576,False,False,True,True,False,True,False,False,True,False,False,0.05333480279360974,4,63,0.07765167643173085,614,129,none,0.00022635942813250566,0.008804918765764351,medium,idw,0.9286220377467745,False,False,True,COMPLETE
32,602.2669847760494,large,0.7332680802476164,False,False,True,True,False,True,False,False,True,False,False,0.05320672889410018,4,53,0.15104725371092642,663,108,none,0.00017927947552893078,0.15209066369414673,medium,mean,0.9673937635726129,False,False,True,COMPLETE
33,591.3251623470206,large,0.683763217611987,False,False,True,True,False,True,False,False,True,False,False,0.06681126915943032,6,38,0.006469246219228869,536,123,none,0.00010570300167653108,0.004803195192562003,medium,idw,0.924133560640291,False,False,False,COMPLETE
34,622.774597082208,large,0.6791494601543141,False,False,False,True,False,True,True,False,True,True,True,0.04702597064299538,6,48,0.0011675859953296508,458,122,none,8.118438491092127e-05,0.02930609084828117,medium,idw,0.9128520479387863,True,False,True,COMPLETE
