number,value,params_alpha,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_l1_ratio,params_lags_choice,params_lags_target,params_precip_lags_choice,params_spatial_agg_method,params_turbulence_window,params_vapor_pressure,state
0,2121.1318953078057,0.89861173263063,True,False,True,True,False,True,False,True,True,False,0.019516990966907993,small,6.0,large,None,0,False,COMPLETE
1,2321.4588267550257,0.09425702038775631,False,True,False,False,True,False,False,False,True,True,0.7562978039354099,large,12.0,small,mean,2,False,COMPLETE
2,1691.4321275018376,0.30111563249415774,True,True,False,True,False,False,False,True,True,False,0.9008082614469144,small,,small,max,0,False,COMPLETE
3,3596.9250614773064,0.9647504511256709,True,True,True,True,True,False,False,True,True,True,0.3809250835807871,small,1.0,none,mean,0,True,COMPLETE
4,2495.8634653126433,0.8547911648147799,True,True,True,False,False,True,True,False,True,True,0.8034305019169558,large,6.0,none,max,6,True,COMPLETE
5,2165.044076783643,0.32995398395957104,False,False,False,True,False,True,True,False,True,False,0.9598975179995177,large,12.0,small,capacity,2,True,COMPLETE
6,2943.8109450141,0.7633434784016275,False,True,True,False,False,False,False,False,False,False,0.5805249132574936,none,1.0,none,distance_n_turbines,2,True,COMPLETE
7,1735.8418105899627,0.5473430734547756,False,False,True,False,False,False,True,True,False,True,0.08331405731415911,large,,large,max,2,True,COMPLETE
8,1479.0656212321499,0.2523123073887013,True,False,False,False,False,True,False,False,True,False,0.5969454772079871,large,,large,idw,2,True,COMPLETE
9,1815.8123135001395,0.8057129943046062,False,True,True,True,True,True,False,False,True,True,0.16515172216202076,large,,small,max,0,False,COMPLETE
10,1438.2790318501357,0.018865673645794445,True,False,False,False,True,True,True,False,False,False,0.4936015767528542,none,,large,idw,6,True,COMPLETE
11,1438.2790318501357,0.05463337750382494,True,False,False,False,True,True,True,False,False,False,0.4758105745629772,none,,large,idw,6,True,COMPLETE
12,1438.2790318501357,0.03164315722744554,True,False,False,False,True,True,True,False,False,False,0.3676218660879865,none,,large,idw,6,True,COMPLETE
13,1481.4605087823238,0.18793011388119402,True,False,False,False,True,True,True,False,False,False,0.41276366971036693,none,,large,distance_capacity,6,True,COMPLETE
14,1438.2790318501357,0.47090761385929947,True,False,False,False,True,True,True,False,False,False,0.26301032608879954,none,,large,idw,6,True,COMPLETE
15,1438.2790318501357,0.019573592513820903,True,False,False,False,True,True,True,False,False,False,0.6886125832344308,none,,large,idw,6,True,COMPLETE
16,2273.423006485477,0.1607579505228085,True,False,False,False,True,True,True,False,False,False,0.5165384622419726,none,6.0,large,idw,6,True,COMPLETE
17,1912.1605820508958,0.4152486835209181,True,False,False,False,True,True,True,False,False,False,0.2602283571639443,none,1.0,large,None,6,True,COMPLETE
18,2391.7207938128813,0.66525061612011,True,False,False,False,True,True,True,True,False,False,0.5010129131610966,none,12.0,large,distance_n_turbines,6,False,COMPLETE
19,1493.6640133798876,0.15043014996933352,True,False,False,False,True,True,True,False,False,False,0.690767936807571,none,,none,distance_capacity,6,True,COMPLETE
20,1467.4690037594028,0.5936149009579935,True,False,False,False,True,True,True,False,False,False,0.2849770278287715,none,,large,capacity,6,True,COMPLETE
21,1438.2790318501357,0.013637976993657028,True,False,False,False,True,True,True,False,False,False,0.3947281542570253,none,,large,idw,6,True,COMPLETE
22,1438.2790318501357,0.08384193818333813,True,False,False,False,True,True,True,False,False,False,0.49196938782036204,none,,large,idw,6,True,COMPLETE
23,1438.2790318501357,0.08521593734017718,True,False,False,False,True,True,True,False,False,False,0.3447837055811393,none,,large,idw,6,True,COMPLETE
24,1438.2790318501357,0.2397658149014707,True,False,False,False,True,True,True,False,False,False,0.44241095044557055,none,,large,idw,6,True,COMPLETE
25,1433.7373738796496,0.3793307846320322,True,False,False,False,True,True,True,False,False,False,0.5968527977005615,small,,large,idw,6,True,COMPLETE
26,2142.96006218012,0.417074994713592,False,False,False,True,True,False,True,True,False,True,0.6177546879364624,small,12.0,large,idw,6,False,COMPLETE
27,3421.5127180767436,0.3487687291161644,True,False,False,False,True,True,True,False,False,False,0.6777040332923436,small,1.0,large,idw,6,True,COMPLETE
28,2145.8489879936747,0.23047199670414278,True,False,False,False,True,True,True,False,False,False,0.5417390868777022,small,6.0,small,None,0,True,COMPLETE
29,2318.1285201999804,0.6662552272806939,True,False,True,True,True,True,True,True,False,False,0.785833210577028,small,6.0,none,distance_capacity,6,False,COMPLETE
30,1495.0678451873662,0.1288942300028066,True,False,False,False,True,True,True,False,False,False,0.18708441612232163,small,,large,mean,0,True,COMPLETE
31,1438.2790318501357,0.019074793831208442,True,False,False,False,True,True,True,False,False,False,0.44883917891849284,none,,large,idw,6,True,COMPLETE
32,1438.2790318501357,0.07916634700237608,True,False,False,False,True,True,True,False,False,False,0.32203175648121196,none,,large,idw,6,True,COMPLETE
33,1433.7373738796496,0.1893953477346564,True,False,False,False,True,True,True,False,False,False,0.6176272207143151,small,,large,idw,6,True,COMPLETE
34,1506.0703244442318,0.2052589150758247,True,True,False,False,True,True,False,False,False,True,0.6308977815005772,small,,small,distance_n_turbines,6,False,COMPLETE
35,2187.812358905879,0.30407751521651744,True,True,False,True,True,False,True,True,True,False,0.7150195849090059,small,12.0,large,mean,6,True,COMPLETE
36,1697.7805531720803,0.12371237051629033,False,False,True,False,False,False,False,False,False,False,0.5462681294846267,small,,large,capacity,0,True,COMPLETE
37,2464.6412828752536,0.37199706907428964,True,True,False,False,True,True,True,False,True,True,0.830934456072117,small,1.0,none,None,2,True,COMPLETE
38,1509.4592563526373,0.2777025443130289,False,False,False,True,False,False,True,False,False,False,0.8667137022955654,small,,small,idw,6,False,COMPLETE
39,2494.602879155051,0.9642820802655545,True,False,True,False,False,True,False,True,False,False,0.6414798742571576,small,6.0,large,idw,2,True,COMPLETE
40,1754.209475243393,0.07479546149256831,True,True,False,False,True,True,True,False,True,True,0.7602577853363048,large,,none,max,6,True,COMPLETE
41,1438.2790318501357,0.05174277655182684,True,False,False,False,True,True,True,False,False,False,0.4712274475619798,none,,large,idw,6,True,COMPLETE
42,1433.7373738796496,0.17620630918525299,True,False,False,False,True,True,True,False,False,False,0.5576389019886687,small,,large,idw,6,True,COMPLETE
43,1433.7373738796496,0.19528461190956484,True,False,False,False,True,True,True,False,False,False,0.5714557920800054,small,,large,idw,6,True,COMPLETE
44,1433.7373738796496,0.19036493885909256,True,False,False,False,True,True,True,False,False,False,0.575790408726788,small,,large,idw,6,True,COMPLETE
45,1540.6053899814005,0.2828214422841696,False,False,True,False,True,True,False,False,False,False,0.600507085010422,small,,large,mean,2,True,COMPLETE
46,2466.4916532361913,0.19511170617461407,True,False,False,True,False,False,True,False,True,False,0.5723642555492271,small,12.0,large,idw,0,True,COMPLETE
47,1461.9873279713036,0.3688801769912563,True,False,False,False,True,True,True,False,False,False,0.7292008723769422,small,,small,capacity,6,True,COMPLETE
48,3851.1840518116974,0.31572419238249017,True,True,False,False,True,True,True,False,False,True,0.6412831325623379,small,1.0,large,distance_n_turbines,6,True,COMPLETE
49,1453.7701032410052,0.1766083327516346,False,False,False,False,True,True,True,False,False,False,0.5725291976777728,small,,large,idw,6,True,COMPLETE
50,1781.5359893799207,0.48139042119776665,True,False,True,False,True,True,False,True,False,False,0.5372624993742677,small,,large,max,2,False,COMPLETE
51,1433.7373738796496,0.13368836309156312,True,False,False,False,True,True,True,False,False,False,0.5700535532755195,small,,large,idw,6,True,COMPLETE
52,1433.7373738796496,0.12405510073509599,True,False,False,False,True,True,True,False,False,False,0.6594638462840604,small,,large,idw,6,True,COMPLETE
53,1433.7373738796496,0.24852850404623023,True,False,False,False,True,True,True,False,False,False,0.5806134126916352,small,,large,idw,6,True,COMPLETE
54,1433.7373738796496,0.2153178735653161,True,False,False,False,True,True,True,False,False,False,0.9881709766750519,small,,large,idw,6,True,COMPLETE
55,1433.7373738796496,0.14669210152449455,True,False,False,False,True,True,True,False,False,False,0.41988388353332107,large,,large,idw,6,True,COMPLETE
56,1486.485466769096,0.17606677059605036,True,False,False,False,False,True,True,False,False,False,0.5324354283550037,small,,large,distance_capacity,6,True,COMPLETE
57,1443.7161835510042,0.4057522092493081,True,False,False,False,True,True,True,False,True,False,0.7370628583031145,small,,none,idw,6,True,COMPLETE
58,2361.13916702916,0.2700690752040356,True,False,False,False,True,True,True,False,False,False,0.6061124588978998,small,6.0,large,idw,6,True,COMPLETE
59,1436.5394046781728,0.220435247411518,True,False,False,True,True,False,True,False,False,False,0.5053974312724042,small,,large,idw,6,True,COMPLETE
60,2165.576771573664,0.5317323706310947,True,False,False,False,True,True,True,False,False,False,0.6813778046369372,large,12.0,large,None,0,True,COMPLETE
61,1433.7373738796496,0.1169050581385309,True,False,False,False,True,True,True,False,False,False,0.662660401421959,small,,large,idw,6,True,COMPLETE
62,1433.7373738796496,0.11459258220921621,True,False,False,False,True,True,True,False,False,False,0.6525257641559511,small,,large,idw,6,True,COMPLETE
63,1433.7373738796496,0.16020211206983656,True,False,False,False,True,True,True,False,False,False,0.5621801099581779,small,,large,idw,6,True,COMPLETE
64,1433.7373738796496,0.11343149143779922,True,False,False,False,True,True,True,False,False,False,0.7044754450762177,small,,large,idw,6,True,COMPLETE
65,1433.7373738796496,0.051989156532818465,True,False,False,False,True,True,True,False,False,False,0.6070611205369391,small,,large,idw,6,True,COMPLETE
66,3976.4606044951247,0.33726106517555243,True,False,False,False,True,True,True,False,False,False,0.474977447023874,small,1.0,small,distance_n_turbines,6,True,COMPLETE
67,1779.9603376213192,0.25611307233832337,True,False,False,False,True,True,True,True,False,True,0.5166339641724049,small,,large,max,6,False,COMPLETE
68,1453.7701032410052,0.18580601191287657,False,False,False,False,True,True,True,False,False,False,0.6234807402464133,small,,large,idw,6,True,COMPLETE
69,1464.7533437330294,0.1481659402558127,True,True,True,False,True,True,True,False,False,False,0.7632341116253152,small,,large,capacity,6,True,COMPLETE
