date,hard_coal_tran_actual,gas_tran_actual,biomass_tran_actual,pumped_storage_tran_actual,hydro_tran_actual,other_conv_tran_actual,hard_coal_tran_fitted,gas_tran_fitted,biomass_tran_fitted,pumped_storage_tran_fitted,hydro_tran_fitted,other_conv_tran_fitted,hard_coal_tran_lower,gas_tran_lower,biomass_tran_lower,pumped_storage_tran_lower,hydro_tran_lower,other_conv_tran_lower,hard_coal_tran_upper,gas_tran_upper,biomass_tran_upper,pumped_storage_tran_upper,hydro_tran_upper,other_conv_tran_upper
2026-01-24 00:00:00+00:00,1754.17,415.55,421.47,12.750001,315.11,148.89,1930.2002864440317,404.97660442513745,435.10531357222254,102.53573099727834,326.19798459862557,146.7120405873249,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-01-24 01:00:00+00:00,1643.12,416.29,417.48,11.920014,313.68,146.65,2026.0271194095212,396.2398992711145,431.9130508085555,82.3702353433172,354.1733448852083,142.5768854984739,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-01-24 02:00:00+00:00,1567.23,416.31,417.43,19.339998,315.72,142.34,2042.981943486253,396.9981385407814,439.1879274238036,58.45751699971936,324.0872309771724,140.77735136073693,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-01-24 03:00:00+00:00,1567.34,416.19,420.49,12.209992,307.16,140.73,2158.6670994409915,409.4242221092513,439.420058134297,76.48218309065874,339.0030079185545,139.5101775317848,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-01-24 04:00:00+00:00,1569.64,416.06,432.5,11.910005,305.39,138.85,2254.0142673866567,392.0359146918394,440.7168865831037,101.62609710810105,342.61996481853976,144.35676492481306,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-01-24 05:00:00+00:00,1611.41,416.02,457.72,23.010012,307.87,137.3,2251.9583530583004,402.0290380861017,459.6974081186885,153.69388113158124,369.2529355384899,140.33355308448472,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-01-24 06:00:00+00:00,1611.14,415.27,487.24,18.600008,304.88,136.05,2043.0495245390748,418.2149582033952,487.6061012687026,275.30471226149604,388.2719765291358,133.1275606420396,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-01-24 07:00:00+00:00,1717.45,415.88,511.77,160.91,318.38,135.86,2083.8997901984803,371.69257193570775,499.5878475755129,446.8787515860879,466.6457018881375,107.53805103191124,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-01-24 08:00:00+00:00,1788.56,415.29,506.46,331.24,351.14,138.14,2225.5237946773605,357.54159162877306,493.3350795767444,671.5033631541572,489.7452949761309,118.22212906379777,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-01-24 09:00:00+00:00,1649.81,414.95,487.05,216.75,334.71,140.52,2129.924441293423,355.53800689215865,470.3883160433636,142.52823168519276,499.3791438971224,104.69504472292574,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
