Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,False
dew_point_temperature,False
vapor_pressure,False
gust_factor,False
turbulence_window,2
lags_choice,none
precip_lags_choice,large
drop_raw_main_features,True
drop_raw_wind_features,False
spatial_agg_method,capacity
lags_target,
n_estimators,927
learning_rate,0.04938751277858719
max_depth,6
min_child_weight,5
subsample,0.7053286913984029
colsample_bytree,0.8589911972274817
reg_alpha,0.2392230074103846
reg_lambda,0.2845112262699583
