number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,34.22445297241211,0.666697429332152,True,True,False,False,False,False,False,False,True,True,none,12.0,0.06044353911942757,3,1,445,large,3.0939756369579195e-08,0.09544839838862959,distance_n_turbines,0.7442273652489262,0,True,COMPLETE
1,23.324195861816406,0.5701371673083525,False,True,False,False,True,True,True,True,False,True,large,,0.038769052284143055,4,8,529,small,4.215098013596303e-06,0.11592697981712531,distance_n_turbines,0.9636432296077053,6,False,COMPLETE
2,32.24839782714844,0.7015846607966625,True,True,False,False,True,True,False,True,True,True,none,12.0,0.10835759783835117,5,8,387,large,9.411850821315319e-07,0.04802312831706785,mean,0.9146135164465947,2,True,COMPLETE
3,35.18515396118164,0.6662115331901184,True,True,True,False,True,True,False,False,True,False,small,12.0,0.12095482180074331,4,4,325,large,2.4712546862820573e-07,1.0149094164281786e-06,distance_n_turbines,0.551267962297099,6,True,COMPLETE
4,33.09395217895508,0.8838758681707927,False,False,False,False,True,True,False,False,True,False,none,1.0,0.01045801030048876,8,9,476,none,2.814793950284155e-07,1.201712304765064e-06,max,0.7827652141908826,2,True,COMPLETE
5,23.405183792114258,0.5880113707672274,False,False,True,True,True,False,True,True,False,True,none,,0.06680834972635792,7,10,750,small,6.125531181392643e-05,1.3029948668669782e-08,None,0.6802358322469537,6,True,COMPLETE
6,23.32403564453125,0.5674894642989001,False,False,False,False,True,True,False,True,False,False,none,,0.0149935218380939,5,10,898,small,2.5736935385586073e-08,5.762755915745563e-08,idw,0.9046848305024799,6,False,COMPLETE
7,35.69527053833008,0.9904455139573001,False,False,False,False,True,False,False,False,True,True,none,12.0,0.021452813514647225,3,2,717,none,0.05965392815632238,2.8525907180630385e-08,max,0.9663701535215169,2,False,COMPLETE
8,31.965177536010742,0.5199334489179452,True,True,False,True,True,False,True,False,False,True,large,12.0,0.014813464881328071,5,10,322,small,7.718066190349681e-07,2.138940065419596e-05,idw,0.6398021929091469,2,False,COMPLETE
9,33.72869110107422,0.72774819919958,False,True,True,True,True,True,True,False,False,True,large,6.0,0.016500643968062986,7,7,864,none,0.12083179356972461,3.3851900724634613e-07,idw,0.6427938534423803,0,False,COMPLETE
10,26.43337059020996,0.8439258039087906,False,False,True,True,False,True,False,True,False,False,small,,0.2808918705633657,10,5,989,small,0.0027119847769542954,0.0002843967854415394,capacity,0.8382926600217064,6,False,COMPLETE
11,23.76738166809082,0.5244273086832442,False,False,False,False,False,True,True,True,False,False,large,,0.03236849518212585,5,7,577,small,6.625560992703287e-05,0.0017417712331987269,distance_n_turbines,0.9828893823577279,6,False,COMPLETE
12,22.505783081054688,0.614034618218416,False,True,False,False,True,True,True,True,False,False,large,,0.03534906191322611,6,8,580,small,1.2493979727749672e-08,0.8467961427401738,distance_capacity,0.8850493104796305,6,False,COMPLETE
13,23.854604721069336,0.6161304654014802,False,False,False,False,True,True,True,True,False,False,large,,0.027076390668251293,6,10,659,small,1.173965101507407e-08,0.003870174461516902,distance_capacity,0.8705049762198783,6,False,COMPLETE
14,33.57343673706055,0.7887638845261714,False,True,False,False,False,True,False,True,False,False,small,6.0,0.01252033200461495,9,6,867,small,1.379091630613535e-08,1.0399906032517476e-05,distance_capacity,0.8324310847945924,6,False,COMPLETE
15,30.042524337768555,0.6307274471148371,False,False,False,False,True,True,True,True,False,False,none,1.0,0.048272195542889695,6,8,838,small,1.3874873676540849e-05,0.006048904670173965,distance_capacity,0.9056500499714579,6,False,COMPLETE
16,23.50342559814453,0.5511011395202711,False,False,False,False,True,True,True,True,False,False,large,,0.02434871394851646,8,9,994,small,0.0014835941254203687,0.7715291533897395,idw,0.7807867932903344,0,False,COMPLETE
17,22.481916427612305,0.7553596849073434,False,True,False,False,True,True,False,True,False,False,large,,0.01934518370004274,6,4,604,small,8.13475308379508e-08,6.106005154552649e-05,None,0.9039458824421835,6,False,COMPLETE
18,22.920339584350586,0.7613831462643846,True,True,True,True,False,False,True,True,False,False,large,,0.09507364124339955,8,3,602,none,9.788877866998592e-08,0.00011270547855013008,None,0.5141358887541936,6,False,COMPLETE
19,33.553462982177734,0.8252570237413255,False,True,False,False,True,True,False,True,False,False,large,6.0,0.02111142153638399,6,4,641,large,0.0006734216215932057,0.0005142496934682603,None,0.7255858472992938,0,False,COMPLETE
20,32.00752258300781,0.9472147016822839,False,True,False,False,True,True,True,True,False,False,large,1.0,0.035618442042401374,7,5,753,small,3.495587908630042e-06,2.03392393363945e-05,mean,0.8386915168166506,6,False,COMPLETE
21,22.39268684387207,0.7519801759356846,True,True,True,True,False,False,True,True,False,False,large,,0.08679707845003179,8,3,553,none,1.3820044821728117e-07,7.263463375883352e-05,None,0.52187800724388,6,False,COMPLETE
22,23.602371215820312,0.7833319164148097,True,True,True,True,False,False,True,True,False,False,large,,0.17698496340873782,9,3,469,none,1.1847987794455461e-07,5.064269052295241e-06,None,0.5566418829779809,6,False,COMPLETE
23,22.248567581176758,0.7205303774136812,True,True,True,True,False,False,True,True,False,False,large,,0.0785611924200434,7,4,547,none,8.115104901739302e-08,6.812173567014105e-05,None,0.9355914291841637,6,False,COMPLETE
24,21.810182571411133,0.7125178677202996,True,True,True,True,False,False,True,True,False,False,large,,0.06987011462376397,8,3,542,none,1.6186317229382547e-06,0.00015270626868069736,None,0.6026990731981499,6,False,COMPLETE
25,22.330305099487305,0.7107218940990562,True,True,True,True,False,False,True,True,False,False,large,,0.07600366207034687,9,2,521,none,1.405315255248928e-06,0.0003530889074791701,None,0.5847722264018861,6,False,COMPLETE
26,24.045419692993164,0.69128408773598,True,True,True,True,False,False,True,True,True,False,small,,0.1484227842123208,10,1,518,none,1.0118618851977134e-05,0.0009368344515603276,None,0.5915118924406367,6,True,COMPLETE
27,22.51298713684082,0.7149318574450143,True,True,True,True,False,False,True,True,False,False,large,,0.07003335200494519,9,2,411,none,6.624808104905181e-07,0.01444681855882386,capacity,0.6069039232892057,6,False,COMPLETE
28,34.98533248901367,0.821572318095491,True,True,True,True,False,False,True,True,False,False,large,1.0,0.04578810545845976,9,2,677,none,2.6236301583275177e-06,0.00016735011226463016,None,0.6797246285602329,0,False,COMPLETE
29,33.591339111328125,0.6617381828922037,True,True,True,True,False,False,True,False,True,False,large,6.0,0.06014503743985136,10,1,498,none,0.00023454245569266266,0.0012215183528491765,None,0.7011968208451533,2,True,COMPLETE
30,22.551259994506836,0.6496559782124709,True,True,True,True,False,False,True,True,False,False,small,,0.07531996776265336,8,3,423,none,1.623024429301012e-05,6.046978936161698e-06,None,0.6049672745449269,0,False,COMPLETE
31,22.439308166503906,0.7295341280777021,True,True,True,True,False,False,True,True,False,False,large,,0.08745863045219567,8,3,548,none,5.330234337488281e-08,4.795853263598304e-05,None,0.5122679335723797,6,False,COMPLETE
32,21.966764450073242,0.6959442121873287,True,True,True,True,False,False,True,True,False,False,large,,0.1461035069658921,7,2,534,none,2.756289829917516e-07,0.00024930940893213606,None,0.5630080417933545,6,False,COMPLETE
33,23.227142333984375,0.6894255645587266,True,True,True,True,False,False,True,True,False,False,large,,0.16602874854380265,7,2,382,none,1.765591720184883e-06,0.019270545741594283,None,0.5667599227091019,6,False,COMPLETE
34,23.293264389038086,0.6916912295088901,True,True,True,True,False,False,True,True,False,True,large,,0.23005295347329482,7,1,462,large,3.922301508962683e-07,0.0003182687470393462,mean,0.6386392895253229,6,False,COMPLETE
35,38.056583404541016,0.8009797533160427,True,True,True,True,False,False,True,True,True,False,large,12.0,0.1443412312269522,9,4,509,none,6.623524546336936e-06,2.602561893175207e-06,max,0.5726252044033154,6,True,COMPLETE
36,22.213821411132812,0.7243824293133454,True,True,True,True,False,False,True,False,False,False,large,,0.1150816208209571,7,2,380,none,1.3299956096933192e-06,0.003904300638148306,distance_n_turbines,0.5361271133899492,6,False,COMPLETE
37,22.692975997924805,0.8642530166230693,True,True,True,True,False,False,True,False,True,True,large,,0.11353432872389807,7,5,336,none,2.39448038560183e-07,0.0496460217933384,distance_n_turbines,0.5368740334013351,2,True,COMPLETE
38,28.686437606811523,0.6674529872111804,True,True,True,True,False,False,True,False,False,False,none,1.0,0.12249711861594009,8,4,393,large,4.089458248902055e-05,0.0034741969176544855,distance_n_turbines,0.5018183443950579,6,False,COMPLETE
39,35.76347351074219,0.7346502200868046,True,True,True,True,False,False,True,False,False,True,small,12.0,0.20065716679371828,4,1,351,none,4.817414801821174e-07,0.11988890095990529,distance_n_turbines,0.9450526263142626,6,True,COMPLETE
40,22.818391799926758,0.9033579822155813,True,True,True,True,False,False,True,False,True,False,large,,0.10857299853699828,7,2,449,none,3.2391403987438884e-08,2.0450277875728154e-05,distance_n_turbines,0.6240353735594628,2,False,COMPLETE
41,22.292724609375,0.7032388638438495,True,True,True,True,False,False,True,False,False,False,large,,0.053306815605498555,7,2,624,none,1.0413026344535543e-06,0.0005239554287367446,None,0.5392265697877263,6,False,COMPLETE
42,21.933488845825195,0.7714394005607528,True,True,True,True,False,False,True,False,False,False,large,,0.056953415380028856,7,3,692,none,1.2304715095570114e-06,0.0012228755970966386,capacity,0.659292654060003,6,False,COMPLETE
