number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
43,22.211214065551758,0.7697928843031192,True,True,True,True,False,False,True,False,False,False,large,,0.13246508013291766,6,3,769,none,0.6652459561861355,0.0015562262328402668,capacity,0.6639817627950986,6,False,COMPLETE
44,21.84459114074707,0.7751420248142153,True,True,True,True,False,False,True,False,False,False,none,,0.132740861550299,6,3,756,none,0.5516505588493982,0.012183146223928533,capacity,0.6997494779084199,6,False,COMPLETE
45,22.748275756835938,0.7633223924746629,True,True,True,True,False,False,True,False,False,False,none,,0.2628601358050908,5,3,755,none,0.8368356720391171,0.011331386315893829,capacity,0.66906780316859,6,False,COMPLETE
46,29.821596145629883,0.7897776397787452,True,True,True,True,False,False,False,False,False,True,none,12.0,0.13067260022338162,6,3,793,none,0.02480427228273751,0.0013468239947917171,capacity,0.7406146705226346,6,False,COMPLETE
47,33.94865036010742,0.814843256616806,True,True,True,True,False,False,True,False,False,False,none,6.0,0.2002019713886737,4,6,705,none,0.7753543075740483,0.2024740278123408,capacity,0.6601416902923521,6,False,COMPLETE
48,21.639123916625977,0.849182002789717,True,False,True,True,False,False,True,False,False,False,none,,0.06331488321179973,6,5,804,large,0.1782296223581788,0.030217162672766452,capacity,0.6912036804410508,2,False,COMPLETE
49,22.827407836914062,0.8968166284970337,True,False,True,True,False,False,False,False,False,False,none,,0.04226006040461428,5,6,812,large,0.014145941767970753,0.026224257405481646,capacity,0.7690379930245635,2,False,COMPLETE
50,21.613618850708008,0.8757356551761066,True,False,True,True,False,False,True,False,False,False,none,,0.06402530253070607,6,5,950,large,0.12817553536619858,0.23181796812945651,capacity,0.7111108681915981,2,False,COMPLETE
51,21.586341857910156,0.8526735467754336,True,False,True,True,False,False,True,False,False,False,none,,0.06007088308694513,6,5,944,large,0.27617036200542705,0.05491057441133459,capacity,0.7047322441219852,2,False,COMPLETE
52,21.623342514038086,0.8531214944568908,True,False,True,True,False,False,True,False,False,False,none,,0.06505677400870732,6,5,957,large,0.26869340227567706,0.3670730968759055,capacity,0.713151626923245,2,False,COMPLETE
53,21.087732315063477,0.8589911972274817,True,False,True,True,False,False,True,False,False,False,none,,0.04938751277858719,6,5,927,large,0.2392230074103846,0.2845112262699583,capacity,0.7053286913984029,2,False,COMPLETE
54,21.501630783081055,0.924678702580386,True,False,True,True,False,False,True,False,False,False,none,,0.06224778230678658,5,5,951,large,0.1647534455228597,0.2791918031708388,capacity,0.7150661379823805,2,False,COMPLETE
55,21.40187644958496,0.9344195233671093,True,False,True,True,False,False,True,False,False,False,none,,0.05085488350753086,5,5,943,large,0.1864984380235506,0.34945121421455716,capacity,0.7172978734312921,2,False,COMPLETE
56,21.489164352416992,0.9600337004781292,True,False,True,True,False,False,True,False,False,True,none,,0.05146159744025924,5,7,952,large,0.21769588529638464,0.3604862990703077,capacity,0.728399304910019,2,False,COMPLETE
57,34.00439453125,0.9376071127141218,True,False,True,True,False,False,False,False,False,True,none,1.0,0.05185624929486385,4,7,928,large,0.06760369751223641,0.35630493109885203,capacity,0.8071829871813709,2,False,COMPLETE
58,32.5500602722168,0.9924848615536178,True,False,True,True,False,False,True,False,False,True,none,6.0,0.028782703725449547,5,6,899,large,0.008943938912629866,0.07775573660288117,capacity,0.7563509210634641,2,True,COMPLETE
59,22.9195499420166,0.9647606990063589,True,False,True,True,False,False,True,False,True,True,none,,0.04033961810160422,3,7,952,large,0.06044228158655963,0.45165477836005585,capacity,0.7345743856173232,2,False,COMPLETE
60,31.88667869567871,0.9140052002504802,True,False,True,True,True,False,True,False,False,True,none,12.0,0.03466625921234284,5,7,891,large,0.29056416484240044,0.16414544868601535,capacity,0.7224644205519095,2,False,COMPLETE
61,21.39692497253418,0.8750815642295027,True,False,True,True,False,False,True,False,False,True,none,,0.04646721120997128,5,5,973,large,0.30307362416825145,0.34813647376700385,capacity,0.7153657151473781,2,False,COMPLETE
62,21.4271240234375,0.8743292544529677,True,False,True,True,False,False,True,False,False,True,none,,0.04607227728980043,5,5,968,large,0.09596545297719171,0.6779340280850334,capacity,0.7542073444480587,2,False,COMPLETE
63,21.683652877807617,0.9248959776478516,True,False,True,True,False,False,True,False,False,True,none,,0.04640138046132844,5,6,998,large,0.025332912401332175,0.6332326108429085,idw,0.7933589201509286,2,False,COMPLETE
64,21.546096801757812,0.9617897749479704,True,False,True,True,False,False,True,False,False,True,none,,0.04938394189957575,5,5,969,large,0.3170116659845371,0.0805765374075217,max,0.7558179262378041,2,False,COMPLETE
65,21.191118240356445,0.9684952804010842,True,False,False,False,False,False,True,False,False,True,none,,0.04291050848821441,5,6,970,large,0.09254811533346709,0.9634017222550258,max,0.7520730558759147,2,False,COMPLETE
66,22.38041114807129,0.9746526487366037,True,False,False,False,False,True,True,False,False,True,none,,0.03220758741793781,5,6,916,large,0.0037711461510944277,0.9852989706672574,max,0.8164245129675254,2,False,COMPLETE
67,23.86737823486328,0.9341047245892529,False,False,False,False,False,False,False,False,False,True,none,,0.041925257511101016,4,9,865,large,0.03297739168509125,0.4837799639085002,max,0.7684657630553718,2,False,COMPLETE
68,21.447586059570312,0.8932515073929721,True,False,False,False,False,False,True,False,False,True,none,,0.037806570438431004,5,6,978,large,0.0928269596617972,0.25574434071041835,distance_capacity,0.7308666770351606,2,False,COMPLETE
69,32.55690002441406,0.8884707291531118,True,False,False,False,True,False,True,False,False,True,none,1.0,0.027909845062377876,4,8,979,large,0.08024358213601494,0.12572840737701085,distance_capacity,0.7345051803855746,2,False,COMPLETE
