Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,False
compute_dew_point_spread,False
compute_temp_gradient,True
compute_wind_chill,False
compute_humidex,False
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,False
compute_air_density,True
compute_rain_indicator,True
compute_cloud_cover_fraction,False
compute_effective_solar,True
temp_lags_option,small
precip_lags_option,none
cloud_lags_option,small
rolling_temp_option,none
drop_basic_meteo_features,True
drop_wind_meteo_features,False
drop_rad_meteo_features,False
spatial_agg_method,distance_energy
lags_target,6
n_estimators,989
learning_rate,0.021283120309991122
num_leaves,122
max_depth,9
min_child_samples,18
subsample,0.9135483921052765
colsample_bytree,0.6454698928946274
reg_alpha,3.6781613494401137e-06
reg_lambda,0.03817834059037286
min_split_gain,0.0012891379121817278
