number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
0,1137.3348414676846,medium,0.5280563001629941,True,True,True,False,True,False,True,True,True,False,True,True,True,False,True,False,False,,0.2750690501685131,12,91,0.21897020864744432,742,52,small,0.015699849520988626,1.20752267926981e-06,long,mean,0.6180180118043515,small,COMPLETE
1,1361.768845042336,medium,0.7658246834730045,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,12.0,0.03469888985478862,6,94,0.15142567953501618,583,93,none,0.0010637081245391871,3.149332334864979e-05,long,mean,0.7609959899136165,none,COMPLETE
2,1456.0203128531282,none,0.9927466970099621,False,True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,False,12.0,0.08436011488720792,14,62,0.2935568735615613,419,10,small,0.756693242417959,3.7746231736860495e-07,short,energy,0.8023866251029805,medium,COMPLETE
3,1106.3862799406943,medium,0.7019884682635024,False,False,True,False,False,True,True,True,False,True,False,False,True,False,True,True,True,,0.02633440950874822,5,61,0.4340016958174547,906,67,medium,0.0014022277572749374,4.396191260688938e-08,short,population,0.6377426908439887,small,COMPLETE
4,1047.1101184253755,medium,0.5172476098363363,True,False,False,False,True,True,True,False,True,True,False,False,False,False,True,False,False,6.0,0.010438928373300477,6,34,0.11091021994043915,958,132,small,4.8515915736073886e-08,1.1710738263012717e-07,none,population,0.507567893995174,small,COMPLETE
5,1679.706334386831,medium,0.9077487683580745,False,False,True,True,False,False,True,False,True,True,True,False,True,True,True,False,True,1.0,0.013076850541480025,3,63,0.0361731151956608,448,31,small,2.874468927193706e-07,0.31864507307704276,short,energy,0.5202026789810654,small,COMPLETE
6,1153.4737006901269,none,0.7169981203713511,True,False,True,True,False,True,True,True,False,False,True,True,False,True,True,True,True,1.0,0.2472252121700579,12,37,0.28407276464015097,439,27,medium,2.992693993381186e-07,7.722166007033518e-07,none,None,0.5689459442719647,none,COMPLETE
7,1117.559882705931,small,0.9936923117527366,True,True,False,False,True,False,False,False,False,True,False,True,True,True,False,True,False,,0.0428899294026191,14,97,0.4236647724387488,828,74,small,0.007418452164345098,1.598363907765448e-08,short,population,0.7674975209210161,medium,COMPLETE
8,1357.587871405886,none,0.6523492464841276,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,True,True,12.0,0.0611118860791948,10,8,0.25192684003591687,439,105,small,0.00042896535122015567,0.00018294858958925803,none,population,0.7456830578723925,medium,COMPLETE
9,1194.6350172286257,medium,0.5690603707809564,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,6.0,0.07482748149156815,4,40,0.1243881543239585,494,148,none,0.012170816232171646,5.774283052555437e-06,long,max,0.7328494850387153,medium,COMPLETE
10,888.1095168827118,small,0.6065193343983897,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,6.0,0.012241627300649578,8,11,0.006343466097706807,958,139,none,1.2927766928024256e-08,0.0008571101446580602,none,distance_energy,0.9720904235793415,small,COMPLETE
11,925.1675499438279,small,0.5941330419248129,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,6.0,0.010831278618279318,8,6,0.0011033374785991527,957,147,none,1.4385126394487227e-08,0.0019401832723035008,none,distance_energy,0.9935161572953899,small,COMPLETE
12,889.3382532348687,small,0.6230602045146292,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,6.0,0.018711776184846114,8,5,0.004350047028501246,990,123,none,4.958270690084492e-06,0.0038684339069012578,none,distance_energy,0.9996758807367826,small,COMPLETE
13,1134.9811474127462,small,0.8077654644357817,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,6.0,0.020119030283214163,8,20,0.06141579048381518,795,117,none,8.179115937284315e-06,0.009385076498890475,none,distance_energy,0.9795040368261624,small,COMPLETE
14,900.4665133047705,small,0.635499835802064,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,6.0,0.021298065161805647,9,21,0.008290409509927325,998,124,none,7.225980397205721e-06,0.034282731007062264,none,distance_energy,0.9009120608348892,small,COMPLETE
15,1064.4125301927395,small,0.6500842299130885,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,6.0,0.018073348167982006,11,19,0.07823596282438414,667,96,none,1.405314905668353e-05,0.0005367603223078922,none,idw,0.8974689973939383,small,COMPLETE
16,1432.8919275971678,small,0.8312735846036878,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,6.0,0.1414970372891613,16,76,0.19010463603796757,868,133,none,6.342750767300802e-07,0.25306555986443263,none,distance_population,0.9173166544701365,none,COMPLETE
17,1237.6973013444126,small,0.593409446666751,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,6.0,0.033198558696437876,7,27,0.3593769184547214,719,105,none,4.3112209816841334e-05,0.004886219017663083,none,distance_energy,0.8441605130650176,small,COMPLETE
18,1032.2304489286973,small,0.6934465874714424,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,1.0,0.012796412151366008,9,12,0.15927834485201078,593,137,medium,1.2953189919310674e-06,2.7344162999907362e-05,none,distance_energy,0.9464820228154022,small,COMPLETE
19,1355.225256667768,small,0.5569129611923982,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,6.0,0.015439322318733146,7,45,0.08158377346928888,318,115,none,2.948605659069876e-08,0.03755587894737242,long,max,0.863456929363305,none,COMPLETE
