date,hard_coal_tran_actual,gas_tran_actual,biomass_tran_actual,pumped_storage_tran_actual,hydro_tran_actual,other_conv_tran_actual,hard_coal_tran_fitted,gas_tran_fitted,biomass_tran_fitted,pumped_storage_tran_fitted,hydro_tran_fitted,other_conv_tran_fitted,hard_coal_tran_lower,gas_tran_lower,biomass_tran_lower,pumped_storage_tran_lower,hydro_tran_lower,other_conv_tran_lower,hard_coal_tran_upper,gas_tran_upper,biomass_tran_upper,pumped_storage_tran_upper,hydro_tran_upper,other_conv_tran_upper
2026-02-06 00:00:00+00:00,2901.86,411.37,417.61,0.29000962,306.89,129.79,1345.509847938063,340.1493335487427,411.554907840138,232.31038536566658,573.8913985824942,111.12584334736522,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-02-06 01:00:00+00:00,2790.06,412.37,415.01,0.26001084,306.87,127.14,1341.8262512560198,340.094554265274,412.27082978164907,240.19212065676174,573.8913985824942,111.12584334736522,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-02-06 02:00:00+00:00,2710.55,423.24,413.65,0.17999375,313.13,126.55,1344.1842920593901,340.0916306321534,413.20882001078144,248.07385594785688,573.8913985824942,111.12584334736522,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-02-06 03:00:00+00:00,2691.75,446.05,415.52,0.08999741,313.71,129.36,1357.3354158031384,340.1311763201957,414.438686172665,255.95559123895208,573.8913985824942,111.12584334736522,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-02-06 04:00:00+00:00,2675.76,442.17,428.05,0.4400035,311.4,214.73,1384.041107251521,340.15933530775123,415.99635379938394,263.8373265300472,573.8913985824942,111.12584334736522,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-02-06 05:00:00+00:00,2650.31,441.51,459.68,624.84,310.42,247.94,1441.5700638443811,340.17718482138645,418.5134073769372,271.7190618211424,573.8913985824942,111.12584334736522,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-02-06 06:00:00+00:00,2643.53,441.99,497.78,1387.08,323.66998,220.44,1483.2330210835478,340.16025839108016,420.55313654355155,279.60079711223756,573.8913985824942,111.12584334736522,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-02-06 07:00:00+00:00,2622.9,442.99,509.65,1401.9325,336.07,232.64,1487.9549277289084,339.98099488859873,421.3933446572918,287.4825324033327,573.8913985824942,111.12584334736522,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-02-06 08:00:00+00:00,2647.19,443.68,500.09,1416.7849,335.45,130.37,1463.3318548229165,339.87820678831537,421.20566105787026,295.3642676944279,573.8913985824942,111.12584334736522,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-02-06 09:00:00+00:00,2642.86,443.71,480.08,1431.6375,346.09,127.82,1435.3358315380356,339.71540773517853,420.87642710419806,303.24600298552303,573.8913985824942,111.12584334736522,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-02-06 10:00:00+00:00,2652.95,442.82,458.98,1446.49,350.39,127.76,1410.3414496000373,339.5669191384615,420.52321149975984,311.12773827661823,573.8913985824942,111.12584334736522,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-02-06 11:00:00+00:00,2656.15,442.49,444.86,1030.58,338.88,127.67,1390.0805335677023,339.33318406455885,419.935482342938,319.00947356771337,573.8913985824942,111.12584334736522,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
2026-02-06 12:00:00+00:00,2657.88,443.45,439.86,100.149994,340.68,128.51,1380.8217930686012,339.3753456151324,420.4266182172961,326.8912088588085,573.8913985824942,111.12584334736522,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115,1167.420260362171,337.94031014033726,412.57634673345655,322.70358383678763,577.7499313408988,110.19598543167115
