number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.3325155250953055,0.706857473171446,0.012590827470595242,9,47,0.29150329777669864,611,19,0.00029170041046800316,1.9686629897121357e-07,0.9221017602766586,COMPLETE
1,0.3296209904435119,0.5897611242724377,0.0733767437894486,11,68,0.37764279715509175,319,132,3.0552683778511475e-05,0.00023679659492845012,0.8919587944144831,COMPLETE
2,0.3545041862472811,0.7804718076652847,0.24644531871351105,13,82,0.0018368343945847077,879,81,4.6947032433197804e-07,5.159538697758946e-07,0.6179443252858369,COMPLETE
3,0.33990194916452676,0.6939858890977695,0.08770721573002675,6,27,0.17095240240958653,421,146,9.886292537740004e-07,0.2943601426474544,0.9050176062777967,COMPLETE
4,0.3544238707370784,0.8230031783469491,0.2151017886541562,5,89,0.06878003489716278,888,65,9.46379689043379e-06,0.8675768762455373,0.9965055431270948,COMPLETE
5,0.33489772887583713,0.7465231030820739,0.0718964897499992,9,43,0.3915224757000285,551,91,0.0021110509870464786,2.158577276852146e-07,0.8102041955549333,COMPLETE
6,0.3418270572850781,0.9791023897755345,0.1136241190077319,12,32,0.31777466508703367,616,63,0.0007412919049629972,0.022781645016392217,0.9176674221326553,COMPLETE
7,0.3297075261223714,0.5273098073511568,0.03111257168810006,15,75,0.042605366416582524,584,12,0.012096338784157213,0.03227402505915341,0.5664930401789678,COMPLETE
8,0.3395467792930774,0.6691607010575079,0.2353959121643412,16,20,0.3282469072100114,673,72,0.8760856008619495,0.006668890523844586,0.9610702322239966,COMPLETE
9,0.33261033949587826,0.6213705311867547,0.07031721573503215,8,67,0.4886738059959253,857,15,1.7517510481375012e-08,0.8389416104030617,0.9294467813749575,COMPLETE
10,0.3312895524214948,0.5081870007915859,0.03125899049349089,3,62,0.492731379702286,308,131,0.09206429798660697,5.1544070644936834e-05,0.7384786960068751,COMPLETE
11,0.32646666313124717,0.5094336205224892,0.02915854368893604,16,100,0.18375104703713097,311,112,0.013476491266483216,0.00018617608157319026,0.5092832093506047,COMPLETE
12,0.33020948518406235,0.5823583731965756,0.038461026916115984,12,99,0.19698721102658995,346,110,2.9657256618767276e-05,0.0001391079780127325,0.6836346871622285,COMPLETE
13,0.329809989787587,0.588824835186818,0.014522322013040115,14,8,0.15302353291135523,462,116,0.007247238502454717,8.974176400296049e-05,0.5105954952598497,COMPLETE
14,0.3284912624237317,0.504202987728614,0.024563071633529002,11,100,0.23397734272606324,438,105,6.900140566884936e-05,4.506306054905307e-06,0.8459845454796195,COMPLETE
15,0.32891259803185674,0.8617359450639572,0.021240315644159718,16,100,0.23834398366000445,463,98,0.08428538187928579,3.615457440237542e-06,0.8180077855294003,COMPLETE
16,0.32679942576398413,0.5096496152459579,0.017553613260748047,11,85,0.10514164957573696,734,112,3.745252117224491e-06,1.097443668994187e-08,0.8174868042462358,COMPLETE
17,0.3298245076871904,0.6420684031191579,0.01729268512224349,7,86,0.10450296612180854,746,44,1.5821836739920842e-06,1.0224806438276559e-08,0.7129312638645835,COMPLETE
18,0.32787297654115444,0.5518432514499702,0.01034831138757986,14,58,0.11825189806483663,987,124,5.8355640997400434e-08,0.0023644206072415833,0.6336625819678647,COMPLETE
19,0.33161914597853537,0.9365123018321344,0.04729560211353699,10,78,0.11457892902231682,715,150,0.6946747558567568,1.8900685157120394e-08,0.7828595914635723,COMPLETE
20,0.3285077049570265,0.6249766380091046,0.021308588524662827,14,91,0.2045224057185615,788,88,2.2595075416124735e-07,0.000977961546477989,0.5085022355067854,COMPLETE
21,0.326992561794906,0.5383484055877387,0.012253265977546477,14,57,0.1291097044331595,997,122,1.2637050074699376e-08,0.0020460099124479524,0.626304090785586,COMPLETE
22,0.32731117452406655,0.5585567465732437,0.010454994242173192,16,52,0.14435114308599883,978,120,1.2041658950351553e-08,2.1152043424446513e-05,0.5760539463041844,COMPLETE
23,0.32720786565101556,0.5513006682825168,0.01662517337276577,13,74,0.06849760414476058,533,134,5.140840886553548e-06,9.019765382670884e-06,0.6620715995192455,COMPLETE
24,0.32762387626402784,0.5017290246582976,0.027924617420764308,15,91,0.18597657748110005,789,112,2.2981256968946162e-07,0.0013530451324422733,0.5635189831750331,COMPLETE
25,0.33221757463441004,0.5445979064878813,0.043957738880441966,13,36,0.0011644035144947051,940,98,0.0002751278229146181,0.0005830165747495765,0.6060512980143564,COMPLETE
26,0.3287726948226705,0.6027175271723499,0.018800412589495493,15,82,0.27218588053470216,813,141,5.74920987218332e-08,0.020860787275296062,0.5441270594862574,COMPLETE
27,0.328214460304387,0.6487511320084288,0.013162431378497536,11,94,0.0778636888707529,722,104,5.406018810824837e-06,1.8696585145450102e-06,0.7458165874623863,COMPLETE
28,0.32955328352593666,0.5587832214425105,0.03756180341752218,12,65,0.14322802911139826,386,120,0.03502545245819595,0.11272875288833939,0.6712579959662381,COMPLETE
29,0.3319168879094764,0.7114078508556394,0.013267766451328288,9,45,0.22009586368287082,657,41,0.0002911378886568763,0.0032442064909473903,0.8578283360312218,COMPLETE
