number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,219.05714474977663,0.8721515845810701,True,False,False,False,False,False,True,True,False,False,none,,0.06830531258113495,15,9,0.22733736801396476,631,92,large,1.5260028821342488e-05,0.007959004163903759,max,0.7838001905853049,6,False,COMPLETE
1,222.93116533126954,0.8351383742734171,False,True,True,True,False,True,True,False,False,False,none,,0.083168876300948,13,27,0.2280016955045735,903,94,small,3.055533638818962e-08,1.5241799537717783e-06,idw,0.7144453237872703,2,True,COMPLETE
2,219.7750710279048,0.6823129873409142,True,True,True,False,False,True,False,False,False,True,large,1.0,0.06566281960106377,8,62,0.08474495128390819,701,65,large,2.8973933619820128e-08,0.004811494884006972,distance_n_turbines,0.559426154189059,2,True,COMPLETE
3,213.11819687603443,0.9336520234454831,False,True,True,False,True,True,True,False,False,True,small,,0.07888815079689936,3,28,0.3633523551746677,540,142,small,0.003931430609289042,0.030483975543766695,idw,0.5906853640126943,6,False,COMPLETE
4,220.73707877009429,0.5098902616296037,True,False,False,False,False,False,True,True,True,False,none,6.0,0.0671393539285125,12,87,0.27097754600062246,304,22,small,0.0008915405130451996,0.28331483559867654,max,0.5778402101243816,0,True,COMPLETE
5,203.94042031299855,0.6327531272280458,True,False,True,True,False,False,True,True,True,False,small,1.0,0.023883919556659153,12,94,0.022422382255807116,559,78,none,2.6657983345468606e-06,0.8013125635553551,None,0.766814081689665,0,False,COMPLETE
6,216.134124862125,0.8432104368599305,False,False,True,True,True,False,True,True,True,False,none,6.0,0.014926123874581962,4,55,0.08965313545126052,561,29,none,5.972276538446409e-06,0.2075732376410786,None,0.9420054898880059,6,False,COMPLETE
7,185.06242479727916,0.5690227675511328,False,False,False,False,True,True,True,False,True,True,none,,0.13563319287586542,15,88,0.055041524207000925,940,73,small,5.256775017521791e-08,0.005375759396034562,capacity,0.6686551492306152,0,True,COMPLETE
8,230.5740135995542,0.7540196444450831,True,True,False,False,False,False,False,False,True,True,large,6.0,0.011507890464201366,10,7,0.0946127891618525,945,131,none,0.02979134005589977,3.509611732456147e-07,max,0.9173548441943516,2,True,COMPLETE
9,237.37911664343673,0.5380612811981561,False,True,True,False,False,False,True,True,False,True,none,6.0,0.16995551340431808,11,47,0.41076233740290097,734,34,none,0.0005254541539425186,0.0009454320967055535,distance_n_turbines,0.9576660566647437,0,False,COMPLETE
10,211.58289341378966,0.6168091681409059,False,False,False,True,True,True,False,False,True,True,small,12.0,0.26491549265027503,16,76,0.4838141294714764,820,54,small,0.7511526041617081,1.5068689762880099e-05,capacity,0.6600668105338467,0,True,COMPLETE
11,213.76802915353218,0.6192693615303063,True,False,False,True,True,True,True,True,True,False,small,1.0,0.02641070109015472,14,97,0.0266263527601463,440,105,none,8.692854138299217e-07,0.0001681381131544631,distance_capacity,0.8144974168080906,0,False,COMPLETE
12,192.72981380016435,0.6290689856255339,True,False,True,True,True,False,True,True,True,False,small,1.0,0.03160217553926991,8,100,0.016980979643823065,439,68,small,3.7071873306055924e-07,0.7495940500826681,mean,0.6826090758929888,0,False,COMPLETE
13,193.35368543929954,0.7223201915282217,False,False,False,True,True,True,True,False,True,True,small,12.0,0.14370072012520563,7,77,0.1531778952991454,326,53,small,1.9252703422316547e-07,0.04580046830797416,mean,0.6586119951613928,0,True,COMPLETE
14,172.35017385396972,0.5647126068890139,True,False,True,False,True,False,False,False,True,False,large,,0.03489132461868752,7,76,0.161575455212419,433,115,small,1.117476483478339e-08,3.589647637511185e-08,capacity,0.5041167063419651,0,False,COMPLETE
15,178.98609126682774,0.5633694086200953,False,False,False,False,True,True,False,False,True,True,large,,0.03750204121737832,6,71,0.14658004692634777,825,115,small,1.0438999070999286e-08,3.714754346577742e-08,capacity,0.5133378362543665,0,True,COMPLETE
16,174.73302081841635,0.500113866154913,True,False,False,False,True,False,False,False,True,False,large,,0.0380172822534916,5,67,0.15738277067947137,807,121,small,1.0895509700782041e-08,1.0291494811070428e-08,capacity,0.515141869299667,0,False,COMPLETE
17,176.37833597623532,0.5029430646861964,True,False,True,False,True,False,False,False,True,False,large,,0.037681310617812505,5,41,0.16591949979329138,787,124,large,3.997603767374768e-05,1.1838579849976315e-08,capacity,0.5021242470495788,0,False,COMPLETE
18,174.3387592437695,0.699339214951042,True,False,True,False,True,False,False,False,True,False,large,,0.019001397999187635,9,65,0.2851189559029268,644,148,small,1.413388006061915e-07,1.8023677894411633e-07,capacity,0.614048714953051,6,False,COMPLETE
19,201.38692353739725,0.7486703443825632,True,False,True,False,True,False,False,False,True,False,large,,0.018012043467242327,9,57,0.29587720817305396,434,149,small,1.6391084054631364e-07,2.3793533527859206e-07,distance_capacity,0.6050405858999619,6,False,COMPLETE
20,215.85598235722327,0.6889985725504836,True,False,True,False,True,False,False,False,True,False,large,12.0,0.010107094721352884,10,83,0.34383158010793613,638,136,large,2.4272525023904956e-06,7.036292428108803e-06,capacity,0.8399771159350611,6,False,COMPLETE
21,172.00101171768384,0.5764220385400526,True,False,True,False,True,False,False,False,True,False,large,,0.04951500549324741,6,70,0.19333414392903897,870,119,small,1.1227375886696627e-08,4.927772352714329e-08,capacity,0.5325138344327555,6,False,COMPLETE
22,172.5352364879396,0.5974669461677478,True,False,True,False,True,False,False,False,True,False,large,,0.04830896847297302,6,63,0.19333945001357158,493,111,small,9.597606656014552e-08,1.2038060111431155e-07,capacity,0.5449896234098063,6,False,COMPLETE
23,177.3287764822514,0.5727656904184312,True,False,True,False,True,False,False,False,True,False,large,,0.1052147209518507,6,45,0.19694202988181497,378,107,small,8.158490059477316e-07,6.934645073146235e-08,capacity,0.5471166214733433,6,False,COMPLETE
24,178.1529706064183,0.5927293236161665,True,False,True,False,True,False,False,False,True,False,large,,0.04963789979734158,7,77,0.20443988380401326,488,93,small,4.2816121083096394e-08,1.4474867240312498e-06,capacity,0.5398546841133279,6,False,COMPLETE
25,174.10398464425586,0.5458430434901087,True,False,True,False,True,False,False,False,True,False,large,,0.047928550922636724,3,59,0.1236691994068691,502,102,small,1.2953028138186893e-08,1.8314378159713295e-06,capacity,0.6195525843183873,6,False,COMPLETE
26,170.704656584145,0.6550305342348739,True,True,True,False,True,False,False,False,False,False,large,,0.04690975131661311,5,71,0.19098300033914056,387,115,small,6.399318774078747e-08,3.572813803116643e-08,capacity,0.5369514927806421,6,False,COMPLETE
27,210.87328880253804,0.6540785051343425,True,True,True,False,True,False,False,False,False,False,large,,0.02745552958975436,4,71,0.24213801222095616,365,126,small,5.602590494033657e-07,3.4315081990517406e-08,idw,0.7164183531099696,2,False,COMPLETE
28,242.25592228454494,0.6618447552178389,True,True,True,False,True,False,False,False,False,False,large,12.0,0.09546878780386218,7,81,0.32430106608387954,386,85,large,6.66659594226737e-08,2.8798766907439552e-05,distance_capacity,0.6316981064596545,6,False,COMPLETE
29,184.93231945459885,0.7709485785058465,True,True,True,False,True,False,False,False,False,False,large,,0.06047534717017808,5,34,0.11966949411001554,990,115,small,8.785424544162146e-06,6.375405046396428e-07,mean,0.8697847609244032,6,False,COMPLETE
30,176.07929513103156,0.5325136757540266,True,True,True,False,True,False,False,False,False,False,large,,0.0213454015479154,8,91,0.243505184637365,701,99,large,4.409211309850383e-05,4.041575359690655e-06,None,0.5023534785572408,6,False,COMPLETE
31,169.73086241983842,0.5907378453997949,True,False,True,False,True,False,False,False,False,False,large,,0.042473780051021155,6,52,0.20473689067614664,492,111,small,9.878576365205855e-08,9.605984636887624e-08,capacity,0.5533287233599398,6,False,COMPLETE
32,169.81208468344346,0.5906761148927999,True,True,True,False,True,False,False,False,False,False,large,,0.03215887651094282,4,72,0.21083653715923886,591,133,small,2.4120315129050692e-08,2.571001999202274e-08,capacity,0.569575190879113,6,False,COMPLETE
33,209.34250206169295,0.6550085379334897,True,True,True,False,True,False,False,False,False,False,large,,0.044998371993616774,4,53,0.20984266271782176,608,138,small,3.399013520829385e-08,8.203224407658023e-07,distance_n_turbines,0.5752107653686446,6,False,COMPLETE
34,179.56485065642826,0.5993037463026544,True,True,True,False,False,False,False,False,False,False,large,,0.08065590027943317,3,69,0.26162084735577185,604,128,small,1.7153457376914939e-06,1.1457997916321471e-08,capacity,0.5664187227007572,6,False,COMPLETE
35,194.73481904207483,0.8962005085836074,True,True,True,False,True,False,False,False,False,False,large,,0.05824014231744273,4,39,0.2224545625450659,529,88,small,3.3520269344265043e-07,7.786596143791554e-08,max,0.7240501177522877,6,False,COMPLETE
36,260.0233046812768,0.9784144683110398,True,True,True,False,False,False,False,False,False,False,none,1.0,0.03063421518077473,5,15,0.17816324606583123,863,135,small,2.7697102851769422e-08,2.8524269721815194e-08,idw,0.9996375356038941,2,False,COMPLETE
37,180.5115753985335,0.8024559245364106,True,True,True,False,True,False,False,True,False,False,large,,0.07330263611283858,6,47,0.12512673210365063,587,120,small,0.0003070879372460016,3.745377360774004e-07,capacity,0.584720906848765,6,False,COMPLETE
38,228.79870214933672,0.6591858048330687,True,True,True,True,True,False,False,False,False,False,large,6.0,0.04226078897295096,3,61,0.2607023616385691,748,98,large,0.003971466018881865,1.192139114345345e-07,distance_n_turbines,0.533859606422865,6,False,COMPLETE
39,178.9163589654094,0.7031078615883837,True,True,True,False,False,True,False,False,False,False,none,,0.05764545026657579,5,51,0.31727714205856966,666,144,none,2.6768092708607817e-08,0.00020332324999603341,None,0.6368503326712653,6,True,COMPLETE
40,213.8913240800656,0.5316629433639076,False,True,True,False,True,False,False,True,False,False,large,,0.023677447701828568,4,83,0.23166949434526168,470,131,small,8.388809487146721e-08,0.0007833347806983135,max,0.5650388495380805,2,False,COMPLETE
41,173.07105579597183,0.5682572275336716,True,False,True,False,True,False,False,False,False,False,large,,0.03271572385487422,7,74,0.18800168461904648,405,114,small,2.004547319460496e-08,2.5579503404591265e-08,capacity,0.5278555516396009,6,False,COMPLETE
42,172.55684660791533,0.5904704469907225,True,False,True,False,True,False,False,False,False,False,large,,0.036776982287443596,6,88,0.06506886194992954,328,118,small,6.215681799441204e-08,4.899904550549465e-08,capacity,0.589050702501442,6,False,COMPLETE
