Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,False
compute_wind_shear,True
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,False
vapor_pressure,False
gust_factor,False
turbulence_window,6
lags_choice,large
precip_lags_choice,small
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,capacity
lags_target,
n_estimators,492
learning_rate,0.042473780051021155
num_leaves,111
max_depth,6
min_child_samples,52
subsample,0.5533287233599398
colsample_bytree,0.5907378453997949
reg_alpha,9.878576365205855e-08
reg_lambda,9.605984636887624e-08
min_split_gain,0.20473689067614664
