number,value,params_alpha,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_l1_ratio,params_lags_choice,params_lags_target,params_precip_lags_choice,params_spatial_agg_method,params_turbulence_window,params_vapor_pressure,state
0,249.68385622515873,0.32121194767715966,True,True,True,True,False,True,False,False,False,True,0.36709911395233313,small,6.0,small,None,2,False,COMPLETE
1,311.3791852521145,0.7596009307188261,False,True,False,True,True,False,False,True,True,True,0.3825567600801246,none,6.0,large,max,2,False,COMPLETE
2,335.1247539042177,0.5956702979568841,False,False,False,False,True,True,False,True,True,False,0.6086500723768381,none,1.0,large,distance_capacity,2,False,COMPLETE
3,230.928823429776,0.048594974319855905,False,False,True,True,False,True,True,False,False,False,0.20856477050498407,large,,large,mean,2,False,COMPLETE
4,306.4556333330684,0.21211272299541045,False,False,False,False,False,True,False,True,True,True,0.2495067335625861,none,12.0,small,distance_capacity,2,True,COMPLETE
5,283.5719224201601,0.8613892085984026,False,True,False,False,True,True,True,False,True,True,0.8343245983688351,none,12.0,small,capacity,2,True,COMPLETE
6,335.1999681665985,0.49496437999449744,False,True,False,True,False,False,False,True,True,False,0.21111130926021177,small,1.0,none,distance_n_turbines,0,True,COMPLETE
7,274.7528593727992,0.8788329451914793,True,True,True,True,False,True,True,True,False,False,0.8108469165647738,large,1.0,none,mean,6,False,COMPLETE
8,294.3987637605131,0.7018924517551943,True,True,True,True,False,True,False,True,False,False,0.7596527488303978,large,12.0,large,idw,6,True,COMPLETE
9,320.794652505202,0.9714126714113148,False,False,True,False,False,True,True,False,False,False,0.0739816321664603,none,1.0,large,capacity,6,True,COMPLETE
10,227.0975444715251,0.019197139974820587,True,False,True,True,True,False,True,False,False,False,0.04597118929445265,large,,large,mean,0,False,COMPLETE
11,227.0975444715251,0.014093643201155352,True,False,True,True,True,False,True,False,False,False,0.010686620568160388,large,,large,mean,0,False,COMPLETE
12,227.0975444715251,0.022757814299431547,True,False,True,True,True,False,True,False,False,False,0.02770690443509377,large,,large,mean,0,False,COMPLETE
13,227.0975444715251,0.209421456764683,True,False,True,True,True,False,True,False,False,False,0.022580035832552026,large,,large,mean,0,False,COMPLETE
14,227.0975444715251,0.1538206015817617,True,False,True,True,True,False,True,False,False,False,0.5477076935248106,large,,large,mean,0,False,COMPLETE
15,220.09887475276818,0.37162289232960444,True,False,True,True,True,False,True,False,False,False,0.13966250949816805,large,,none,None,0,False,COMPLETE
16,220.09887475276818,0.3488622261117371,True,False,True,True,True,False,True,False,False,False,0.9676558537108462,large,,none,None,0,False,COMPLETE
17,220.09887475276818,0.4120654932506951,True,False,True,True,True,False,True,False,False,False,0.9966755841533558,small,,none,None,0,False,COMPLETE
18,218.55084874235126,0.36438142312168365,True,False,True,False,True,False,True,False,False,True,0.9784967229003336,large,,none,None,0,False,COMPLETE
19,262.07326805757697,0.5024575680657871,True,False,True,False,True,False,True,False,False,True,0.6835460996158487,large,6.0,none,None,0,False,COMPLETE
20,218.55084874235126,0.6103121909495175,True,False,True,False,True,False,True,False,False,True,0.4481739925097892,small,,none,None,0,False,COMPLETE
21,218.55084874235126,0.6537009171860915,True,False,True,False,True,False,True,False,False,True,0.44440200565690086,small,,none,None,0,False,COMPLETE
22,218.55084874235126,0.6365332899682326,True,False,True,False,True,False,True,False,False,True,0.4485824391935683,small,,none,None,0,False,COMPLETE
23,218.55084874235126,0.5938444430709859,True,False,True,False,True,False,True,False,False,True,0.47861681612404383,small,,none,None,0,False,COMPLETE
24,260.9941354064493,0.7452885027578571,True,False,True,False,True,False,True,False,False,True,0.3279961157077056,small,,none,distance_n_turbines,0,False,COMPLETE
25,265.9004032496586,0.4553628516708181,True,False,True,False,True,False,True,False,False,True,0.5654106209217267,small,,none,max,6,False,COMPLETE
26,255.81177071612478,0.5684265382356504,True,False,False,False,True,False,True,False,True,True,0.6715188408927114,small,,none,idw,0,True,COMPLETE
27,262.07326805757697,0.6669789727354999,True,False,True,False,True,False,True,False,False,True,0.4543337025413264,small,6.0,none,None,0,False,COMPLETE
28,265.9206410682068,0.7745468286884327,True,False,True,False,True,False,True,False,False,True,0.8953303472172558,small,12.0,none,None,0,False,COMPLETE
29,245.58174052083606,0.31443720554889815,True,True,True,False,True,False,False,False,False,True,0.36864369446274603,small,6.0,small,None,6,False,COMPLETE
30,218.05557168270784,0.2792175573952326,True,False,True,False,True,False,True,False,False,True,0.6540016202661048,small,,small,None,0,False,COMPLETE
31,218.05557168270784,0.28726843790951984,True,False,True,False,True,False,True,False,False,True,0.6593631565203505,small,,small,None,0,False,COMPLETE
32,218.05557168270784,0.30632919988996077,True,False,True,False,True,False,True,False,False,True,0.6828457774898153,small,,small,None,0,False,COMPLETE
33,267.8489436058133,0.28023903320746935,True,False,True,False,True,False,True,False,False,True,0.6848323417346877,small,,small,max,0,False,COMPLETE
34,249.51771815524998,0.1339560045616268,True,False,False,False,True,False,False,True,True,True,0.7565862545444842,small,,small,distance_capacity,2,False,COMPLETE
35,283.99972798742266,0.26596812005435283,False,False,True,False,True,False,True,False,False,True,0.6288575986675325,none,6.0,small,None,0,False,COMPLETE
36,221.41256525880715,0.4022768237318037,True,True,False,False,False,False,False,True,True,True,0.9220465555324578,small,,small,capacity,2,False,COMPLETE
37,337.78806408625496,0.11569425327168159,False,False,True,False,True,True,True,False,False,True,0.7513949567698132,small,1.0,small,distance_n_turbines,0,True,COMPLETE
38,290.9128603466362,0.21131626402209303,True,True,False,False,True,False,True,False,True,True,0.843166792957605,none,12.0,small,distance_capacity,2,False,COMPLETE
39,226.8488712794689,0.2685878223460357,False,False,True,False,False,True,False,True,False,True,0.6139052147783193,small,,small,None,0,True,COMPLETE
40,313.3154511783412,0.441815467352944,True,True,True,False,False,False,True,False,False,True,0.5355141883628227,small,1.0,small,idw,6,False,COMPLETE
41,218.05557168270784,0.3258198351333964,True,False,True,False,True,False,True,False,False,True,0.27697731666465947,small,,small,None,0,False,COMPLETE
42,218.05557168270784,0.31658521301341314,True,False,True,False,True,False,True,False,False,True,0.29567769230879337,small,,small,None,0,False,COMPLETE
43,218.05557168270784,0.18362563793999603,True,False,True,False,True,False,True,False,False,True,0.3031540030367252,small,,small,None,0,False,COMPLETE
44,214.12560552731642,0.3084403938080765,True,False,True,False,True,True,True,False,False,True,0.1733307673607833,small,,small,None,0,False,COMPLETE
45,321.01712851226154,0.25296583464527966,False,False,True,False,True,True,True,True,False,True,0.16644507063303457,small,12.0,small,max,0,False,COMPLETE
46,220.5812843375558,0.08238408270143932,True,False,False,False,True,True,True,False,True,True,0.23146086400743165,small,,small,capacity,2,True,COMPLETE
47,217.6972430007038,0.2318831630571544,True,False,True,False,False,True,False,False,False,True,0.10168997129830543,none,,small,None,0,False,COMPLETE
48,285.63852218540194,0.17759595516499835,True,False,True,False,False,True,False,False,False,True,0.16299572110596217,none,1.0,small,None,0,False,COMPLETE
49,257.71884859972164,0.2347957356632841,True,True,True,False,False,True,False,True,False,True,0.10242662073993306,none,,small,idw,6,False,COMPLETE
50,262.206799664885,0.06854847465646743,False,False,True,False,False,True,False,False,False,True,0.7297323484292547,none,,small,distance_n_turbines,0,True,COMPLETE
51,217.6972430007038,0.3041849217033797,True,False,True,False,False,True,False,False,False,True,0.10467867984864163,none,,small,None,0,False,COMPLETE
52,217.6972430007038,0.2906745240958938,True,False,True,False,False,True,False,False,False,True,0.08723468223441798,none,,small,None,0,False,COMPLETE
53,217.6972430007038,0.3946973657256976,True,False,True,False,False,True,False,False,False,True,0.08473496606342998,none,,small,None,0,False,COMPLETE
54,217.6972430007038,0.4037466032913588,True,False,True,False,False,True,False,False,False,True,0.07393098770920187,none,,small,None,0,False,COMPLETE
55,247.68797403600374,0.39268238832258995,True,False,True,False,False,True,False,False,False,True,0.08144876378207168,none,,small,distance_capacity,0,False,COMPLETE
56,217.6972430007038,0.4488117498106916,True,False,True,False,False,True,False,False,False,True,0.11758277720626215,none,,small,None,0,False,COMPLETE
57,247.5435889719537,0.3601563645483826,True,False,True,True,False,True,False,False,False,True,0.05855940360698628,none,12.0,small,None,0,False,COMPLETE
58,218.31489646245086,0.495512550103368,True,False,True,False,False,True,False,False,False,True,0.1876528352137954,none,,large,None,0,False,COMPLETE
59,274.44975310680576,0.5244457048000467,True,False,False,False,False,True,False,False,True,False,0.13044455289705204,none,6.0,small,capacity,0,False,COMPLETE
60,227.67409123234222,0.3448495670487198,True,False,True,False,False,True,False,False,False,True,0.014032683361071635,none,,small,mean,0,False,COMPLETE
61,217.6972430007038,0.40632066931261357,True,False,True,False,False,True,False,False,False,True,0.10805880286347516,none,,small,None,0,False,COMPLETE
62,217.6972430007038,0.45837626504264606,True,False,True,False,False,True,False,False,False,True,0.06361809953751718,none,,small,None,0,False,COMPLETE
63,217.6972430007038,0.5360929617381072,True,False,True,False,False,True,False,False,False,True,0.21036633674915983,none,,small,None,0,False,COMPLETE
64,217.6972430007038,0.43432280033059595,True,False,True,False,False,True,False,False,False,True,0.1440452990861514,none,,small,None,0,False,COMPLETE
65,216.32552222617383,0.47028409960276624,True,False,True,True,False,True,False,False,False,True,0.10465965522207493,none,,small,None,0,False,COMPLETE
66,217.54026145454282,0.23089360497630151,True,False,True,True,False,True,False,False,False,True,0.08755434672284694,none,,large,None,6,False,COMPLETE
67,271.77805952578393,0.2242181923472649,True,False,True,True,False,True,False,False,False,False,0.03734117694637541,none,1.0,large,None,6,False,COMPLETE
68,261.29441938581834,0.1840752042220582,True,False,True,True,False,True,False,False,False,True,0.24434712538724845,none,,large,max,6,False,COMPLETE
69,217.35102691406516,0.37630125586291885,True,True,True,True,False,True,False,False,False,True,0.18585453805765517,none,,large,None,6,True,COMPLETE
