Parameter,Value
n_estimators,827
learning_rate,0.010069490976484342
num_leaves,127
max_depth,12
min_child_samples,16
subsample,0.5003342185250327
colsample_bytree,0.6350943970971564
reg_alpha,0.019263996047702705
reg_lambda,0.018844825550625444
min_split_gain,0.33082288111381675
