number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.28425868121451975,0.7368292352738929,0.024168118610854314,14,45,0.48174267351588507,511,133,0.0021465748496922146,0.5957983071325522,0.7188496911985525,COMPLETE
1,0.28045345027662194,0.6544634113448513,0.020868061956403484,11,52,0.06609437854154648,454,20,4.9402621130506884e-05,0.06236300588522609,0.9175029095120069,COMPLETE
2,0.27994847786892346,0.5794728892964425,0.010697164910262314,6,12,0.24308117881808056,908,37,3.7065176044319356e-08,1.226278025865669e-06,0.8060071374475842,COMPLETE
3,0.28078973386512446,0.6218348421853874,0.014167855326975972,4,82,0.3324329839076251,792,94,0.013655262411892837,1.3363438209092266e-07,0.9987728356046283,COMPLETE
4,0.2799201519797346,0.5792302194974206,0.016498165086708202,6,87,0.4558067523841821,302,115,1.6341725011819223e-08,0.22565530118433713,0.7915347378367228,COMPLETE
5,0.2940749367789197,0.5336564033162714,0.21316851840027787,12,5,0.1513755412592408,768,150,0.00018215596657077517,5.334069722444928e-08,0.965537087272861,COMPLETE
6,0.29419620320333445,0.9007973963463101,0.2565776730772337,12,59,0.2563700426141816,472,34,6.756114384830558e-08,0.0004922865165210314,0.7395971460831474,COMPLETE
7,0.2798638850467074,0.5726894536216006,0.02554848678856056,14,6,0.4551265699656967,338,54,3.475823640824348e-08,2.917490123248618e-06,0.5619477692316256,COMPLETE
8,0.285864616264042,0.5938999035217651,0.06213361580217284,3,72,0.22571816709290776,783,16,0.0003914316902905214,0.012502929170583101,0.6120785999173574,COMPLETE
9,0.2849033180650158,0.8639521222037261,0.014628520108799399,12,46,0.2760015399618579,698,66,1.6701184814638616e-07,0.09990213448214647,0.8611265388009348,COMPLETE
10,0.2837097324556719,0.9928871249654168,0.056633215448824124,16,21,0.3861758297757783,305,63,5.887571306280746e-06,8.723260664916975e-06,0.5057887852597935,COMPLETE
11,0.2827299401511164,0.5080287668343975,0.03043279229742878,8,94,0.4774426721691615,302,109,1.7214962913780352e-06,0.00029437592054748545,0.6575269007926119,COMPLETE
12,0.2814962610141057,0.707224816786714,0.03754202935878586,8,29,0.40350674746798004,394,114,1.0764887496029515e-08,9.02857038610615e-06,0.5184627844006271,COMPLETE
13,0.2875890131379714,0.8067295052106076,0.11066253293088724,6,94,0.4116913435194146,556,73,0.8495493694788299,0.0032317419629319124,0.6157280975023349,COMPLETE
14,0.28440474004205474,0.676333731333715,0.040712477471229434,15,69,0.49962433062383105,617,88,8.269491852984536e-07,2.4902192967291614e-05,0.8288937407020416,COMPLETE
15,0.2813224352235698,0.5565200020860844,0.017683639579059468,9,36,0.34069427732814966,393,54,1.2323112265145345e-05,8.946440790463503e-07,0.6811823438321737,COMPLETE
16,0.2807915848995805,0.7784892699763881,0.010243200738753457,10,100,0.014852639621017905,403,107,3.5188514495361274e-07,0.0025906300123168264,0.779494158704418,COMPLETE
17,0.2840288785332588,0.636236446028729,0.08552079910747819,6,80,0.43684145561135684,999,127,1.0147729165138652e-08,1.3622673555661203e-08,0.5569988823087735,COMPLETE
18,0.28579148584759867,0.5096679050921469,0.029249431485481814,14,65,0.331507372624559,349,45,1.5048722222394768e-06,9.02122444847776e-05,0.8765864190327566,COMPLETE
19,0.28855144084568846,0.7044924743299124,0.04533775267157219,5,34,0.16964087604560718,589,85,0.08854811706789727,2.122938304008752e-06,0.5867732119323302,COMPLETE
20,0.27881506770020464,0.5989685297473029,0.017454576244173126,8,22,0.43713829202585774,670,100,8.360485776299387e-08,0.38129744334877447,0.6870238994167124,COMPLETE
21,0.2790576079978315,0.5889504193322279,0.01690306043071914,8,17,0.460336314796248,686,97,1.092849828493838e-07,0.9136007647144303,0.710239257202347,COMPLETE
22,0.28165073508906896,0.6130415263836019,0.023201509712335637,9,17,0.3645750361328846,698,78,1.5104656331187506e-07,0.9010845389371115,0.6780021272152427,COMPLETE
23,0.2804411532409215,0.5477298132281281,0.0286699611802888,8,7,0.43594671229117626,672,96,8.824178660701185e-06,0.018757812537257397,0.719199297601637,COMPLETE
24,0.27988673733927444,0.6647410340313179,0.014046571464006459,7,21,0.298285807091625,850,100,3.1687565669702053e-07,0.019554240232052593,0.6373180128594381,COMPLETE
25,0.28213970706251906,0.5986817036113738,0.019163857841912938,10,26,0.4262894144583443,633,127,7.468992167727768e-08,0.20525129773435707,0.5578675024761781,COMPLETE
26,0.28157597520296923,0.5015834057021651,0.033739886898021106,11,13,0.3651758901562446,540,61,2.2027351591701273e-06,0.00178407653641399,0.7001696649897278,COMPLETE
27,0.27937654901208714,0.5557022281033365,0.011902629600493597,8,38,0.49833717528750754,728,77,5.337859228923584e-05,2.988822163621164e-07,0.5607384256143146,COMPLETE
28,0.2805711784274795,0.6945871823904632,0.012111326383878088,7,39,0.49299302635890524,735,79,3.770020724804707e-05,4.1273778485326053e-07,0.7583538870680244,COMPLETE
29,0.2820287521496156,0.7626371723263815,0.012440801499334058,7,45,0.46613566040622,842,140,0.0016901738581876155,0.8536082364121594,0.7337193452322297,COMPLETE
