number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
40,844.626314025917,small,0.7049820607641846,False,True,True,True,False,False,False,False,False,False,False,12.0,0.0946503412210447,7,44,0.4706782255276749,896,102,none,0.03983912422440496,8.63142975783043e-05,small,distance_n_panels,0.6232346423543492,True,True,COMPLETE
41,658.2639850374932,small,0.5957155105862635,False,True,True,True,False,False,False,False,True,False,False,,0.05185300093121115,4,45,0.45040278546587265,737,114,large,0.07022985684776496,0.00040200912956706486,small,distance_n_panels,0.5205082723334713,True,True,COMPLETE
42,632.0826838476938,small,0.616651568066499,False,True,True,True,False,False,False,False,False,False,False,,0.05742969652345525,5,50,0.4201370509592704,779,113,large,0.00948763301779092,0.00016707857300310138,small,distance_n_panels,0.5066807953038137,True,True,COMPLETE
43,638.370934996444,small,0.6192954175442976,False,True,True,True,False,False,False,False,False,False,False,,0.07076363808207858,5,52,0.499454763761301,784,108,large,0.05754152347128536,0.00021594143977250055,small,distance_n_panels,0.5043949389740434,True,True,COMPLETE
44,618.0103782536852,small,0.6411294929017947,False,True,True,True,False,False,False,False,True,False,False,,0.0583916980733027,5,53,0.4995416447202427,941,112,large,0.008675924738469927,0.00013542102827386937,small,distance_n_panels,0.5030641072887286,True,True,COMPLETE
45,624.2023616410223,small,0.6370251858019739,False,True,True,True,False,False,False,False,False,False,False,,0.06393521629723975,5,55,0.4957419185359696,941,131,large,0.010695990001967236,0.0001713199739158266,small,distance_n_panels,0.5024382408911289,True,True,COMPLETE
46,616.8752593027851,small,0.6447577748257618,False,True,True,True,False,False,False,False,False,False,False,,0.06524074353426519,5,53,0.4977459189113174,932,131,large,0.009819983890827293,0.00013635662827581575,small,distance_n_panels,0.500287652199335,True,True,COMPLETE
47,627.1545040169018,small,0.6689113250391799,False,True,True,True,False,False,False,False,True,False,False,,0.06053570963390681,6,62,0.08406017233592811,941,131,large,0.009137717129660543,0.0017371879952296065,small,distance_n_panels,0.5187757641503049,True,True,COMPLETE
48,617.605072210339,small,0.6668681898528259,False,True,True,True,False,False,False,False,True,False,False,,0.060821416580331536,5,62,0.11359781510393063,938,131,large,0.007834800838239528,4.272564283534929e-05,small,distance_n_panels,0.5249769583869994,True,True,COMPLETE
49,878.1824325746023,small,0.6686898586647673,False,True,True,True,False,False,False,False,True,False,False,12.0,0.04320539050985491,7,61,0.09057502206668525,942,131,none,0.0021841528044020835,1.4283754474970518e-05,small,distance_n_panels,0.5313054545321836,True,True,COMPLETE
50,658.9334034822849,none,0.6424153251843856,False,True,True,True,False,False,False,False,True,False,False,,0.036116697123831865,5,80,0.11998151653063843,967,143,large,0.009198915814248152,5.9346374197240614e-05,small,mean,0.5733781637049594,True,True,COMPLETE
51,600.3833260008081,small,0.6291486632124731,False,True,True,True,False,False,False,False,True,False,False,,0.05938470778140808,5,57,0.03646192060193535,999,125,large,0.009261983943891265,0.00011678553779312084,small,distance_n_panels,0.5114332139989736,True,True,COMPLETE
52,619.784958489427,small,0.667900657334214,False,True,True,True,False,False,False,False,True,False,False,,0.07681006687281378,6,66,0.07164119958264342,994,128,large,0.0018079202563306036,6.649761513222352e-06,small,distance_n_panels,0.5001267444453805,True,True,COMPLETE
53,662.8210325849756,small,0.6446933305188683,False,True,True,True,False,False,False,False,True,False,False,,0.07927308834309436,3,57,0.0058609100843836776,992,124,large,0.001854328598895657,7.810183200820052e-06,small,distance_n_panels,0.533127368759406,True,True,COMPLETE
54,641.4863346647318,small,0.5712791358541727,False,True,True,True,False,False,False,False,True,False,False,,0.06438269753884696,6,67,0.06570416614267065,965,144,large,0.020550797661927894,2.761504934945006e-05,small,distance_capacity,0.5001580421144435,True,True,COMPLETE
55,862.4548785308707,small,0.6912803321160571,False,True,True,True,False,False,False,False,True,False,False,1.0,0.043309304416312776,7,73,0.03321832835682012,903,128,small,0.004823122420750279,2.5056227161314146e-06,small,capacity,0.6001640755185385,True,True,COMPLETE
56,720.91620061233,small,0.6335274023206772,False,True,True,True,False,False,False,False,True,False,False,,0.07266513624883465,5,57,0.12342363746544685,965,143,large,0.001860321652851831,4.163588128549677e-06,small,n_panels,0.5214689997612538,True,False,COMPLETE
57,633.6660974793404,small,0.6740831130444275,False,True,True,True,False,False,False,False,True,False,False,,0.054330691049256565,6,54,0.14999349767345377,931,135,large,0.0004425868596728491,9.164257420076559e-05,small,distance_n_panels,0.5459611750105309,True,True,COMPLETE
58,711.3988182203842,small,0.607997398859245,False,True,True,True,False,False,False,False,True,False,False,,0.066306897384696,8,41,0.053875836242763396,988,121,large,0.2807240791231269,1.6115433404823834e-05,small,None,0.5674011755815666,True,True,COMPLETE
