Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,False
compute_dew_point_spread,False
compute_temp_gradient,True
compute_wind_chill,True
compute_humidex,False
compute_wind_components,True
compute_wind_power_density,True
compute_pressure_trend,False
compute_wind_speed_gradient,True
compute_air_density,False
compute_rain_indicator,False
compute_cloud_cover_fraction,True
compute_effective_solar,True
temp_lags_option,medium
precip_lags_option,none
cloud_lags_option,small
rolling_temp_option,long
drop_basic_meteo_features,True
drop_wind_meteo_features,True
drop_rad_meteo_features,True
spatial_agg_method,distance_energy
lags_target,12
l1_ratio,0.9214104289717515
alpha,0.26662479379764475
