number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,3575.320407091853,0.9500221781405127,False,False,True,False,True,False,False,False,True,False,none,6.0,0.03989347746710004,8,79,0.14377432188557981,621,148,large,0.007980304289474237,1.6145944867446795e-08,idw,0.7483894652993068,0,False,COMPLETE
1,2872.805641606929,0.7193960335325728,True,True,True,True,True,False,True,True,False,False,none,,0.12235865197743646,3,30,0.4880344039518119,359,91,none,0.09084874599500024,5.781459388378989e-05,idw,0.5478892145437106,6,False,COMPLETE
2,3227.5399034269626,0.5277149839604834,False,True,True,False,True,True,False,True,True,True,small,6.0,0.2924532567172735,6,76,0.29700535035279463,601,23,none,1.6248759028921107e-05,3.174673741705638e-08,mean,0.7103627827045274,6,False,COMPLETE
3,3220.744485373418,0.9175258696738375,True,True,False,True,True,False,True,False,False,False,large,12.0,0.020159377528327686,10,31,0.12432705478470807,497,86,large,0.00023686131649139225,0.008643431976629519,capacity,0.5997307914238431,2,True,COMPLETE
4,2178.7941184575866,0.6323065813768416,True,False,False,True,True,False,False,True,True,False,large,1.0,0.20085110413784063,3,92,0.23349468881141966,449,92,none,3.591580460945179e-05,0.446613930520123,None,0.6451412355547299,0,True,COMPLETE
5,3759.31267675337,0.9443027656389084,True,False,True,False,False,True,False,True,False,False,small,12.0,0.010374806305318042,5,91,0.3640878649634764,414,81,none,6.401213081125809e-07,3.228961322066042e-05,mean,0.6464416720301394,0,True,COMPLETE
6,3910.3831816792735,0.8010539055935387,True,False,False,True,True,True,False,False,False,True,large,1.0,0.10897173371783217,15,47,0.439656966202122,597,16,none,3.0132788240000443e-07,4.314708307800126e-07,distance_n_turbines,0.6875936573340826,6,True,COMPLETE
7,2445.2811568946695,0.7771942578599984,False,True,True,True,False,True,True,False,True,True,small,,0.027562776019822342,5,19,0.30178763213272647,630,18,large,8.429606282083696e-05,0.0001760739483188989,max,0.5575604578697221,0,True,COMPLETE
8,3379.903589645515,0.6872804037324481,True,True,True,True,True,False,True,False,False,False,none,1.0,0.0879151648705852,10,12,0.27242346175325616,353,36,large,3.068345248566633e-08,0.0026266543945077337,distance_capacity,0.5275670495346414,2,True,COMPLETE
9,2493.9929466654853,0.6263744215716905,False,False,False,True,False,True,True,False,False,True,small,,0.04305959051307298,8,81,0.32338559414172724,762,41,none,0.0017865265052077442,3.8105539116066614e-08,mean,0.905955605575846,0,False,COMPLETE
10,1900.3242991283398,0.5218263148636589,True,False,False,False,False,False,False,True,True,False,large,1.0,0.22779941364226594,14,57,0.0021354976667166126,986,128,small,0.5781358208662594,0.9282698534013087,None,0.8723131680690374,0,True,COMPLETE
11,1904.4408339710228,0.5081953057690343,True,False,False,False,False,False,False,True,True,False,large,1.0,0.29923979435497206,15,58,0.001468812119245133,972,124,small,0.1954854639395585,0.7308197828655792,None,0.8743133605022606,0,True,COMPLETE
12,1908.1107429960787,0.5079035644404414,True,False,False,False,False,False,False,True,True,False,large,1.0,0.22388477453912134,16,56,0.015039035976326486,995,132,small,0.7399738001034122,0.9626771044583061,None,0.8847837046418947,0,True,COMPLETE
13,1982.3253284169107,0.5754546919811238,True,False,False,False,False,False,False,True,True,False,large,1.0,0.15911838685182148,13,56,0.0028142170608374028,989,115,small,0.8211209480377909,0.043209557665326054,None,0.8179724913695039,0,True,COMPLETE
14,1822.4124393778682,0.5859932695315022,True,False,False,False,False,False,False,True,True,False,large,1.0,0.07582895608673249,13,44,0.0740519637655431,866,116,small,0.020501566532602728,0.08776953775543299,None,0.9770522963972145,0,True,COMPLETE
