number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,176.8448482631135,0.5418957530296575,False,True,False,True,False,False,False,True,False,True,large,0.13880740216201717,10,16,0.3139032667481529,946,118,none,0.00021536005812771905,0.013489126593662108,distance_capacity,0.8377149547824521,0,True,True,COMPLETE
1,170.54247364830277,0.5238285029048674,False,True,True,True,True,False,True,False,False,True,large,0.02640755649658652,11,54,0.2862919211506878,883,28,none,0.00020799969718389037,1.4238127950294275e-08,None,0.9352232365048442,6,True,False,COMPLETE
2,191.05380771688965,0.9358098574923766,True,True,False,True,False,True,False,False,True,True,large,0.2584847920975865,10,67,0.24742180146563597,572,111,small,0.0005332756111030722,5.524979697366002e-05,None,0.5899709502980475,6,False,False,COMPLETE
3,183.070397650309,0.744420073623851,False,True,True,True,False,True,False,False,True,True,large,0.06429381854318927,16,33,0.3161135738718765,712,58,large,4.4495848886967945e-08,0.03377705888041308,distance_n_turbines,0.6440495984223964,6,False,False,COMPLETE
4,172.31329910002577,0.6995516533221977,True,False,False,False,False,False,False,True,False,False,large,0.09660167901606466,11,24,0.09895151886225972,932,103,none,0.7749730515552065,0.36300509037333456,distance_capacity,0.7408698762341992,6,True,True,COMPLETE
5,173.03969849718797,0.548870178240577,False,False,True,True,False,True,False,True,False,True,large,0.14846080966604894,6,86,0.2603980192694965,895,149,none,6.325638113807331e-05,0.005385192170890651,distance_capacity,0.7549706839959154,0,False,True,COMPLETE
6,183.61542529289628,0.7958275325138833,False,True,True,False,False,True,False,False,True,False,large,0.06603345198771601,3,24,0.4840164272088154,567,26,small,1.4411174768723877e-06,0.0026288561614703507,distance_capacity,0.9141885737622014,6,False,True,COMPLETE
7,200.0217279368006,0.9694686040639153,True,False,False,False,True,True,False,False,True,True,none,0.06339012711271408,3,65,0.1444359612059078,485,63,large,0.41861999129186067,1.2987808099094835e-08,None,0.8784409216130293,0,True,True,COMPLETE
8,174.86704729069808,0.6526175641690035,False,False,False,False,False,False,False,True,False,True,large,0.014146116325464565,13,86,0.08826694089870579,966,57,large,1.313242225019167e-05,0.1565301461839332,capacity,0.5475340781679348,2,False,True,COMPLETE
9,182.50890496315142,0.7734271505900832,True,True,False,True,False,False,True,False,False,False,none,0.06764618277291608,16,59,0.00386766151957757,390,96,small,3.467112945179594e-05,1.133616512241918e-06,max,0.5260123049623621,0,False,True,COMPLETE
10,166.66246164177394,0.6172436925061754,False,True,True,True,True,False,True,False,False,False,small,0.021434751287244737,7,47,0.4974851509542433,766,10,none,0.008187072871148676,1.5630514721053363e-08,mean,0.9604964406603018,2,True,False,COMPLETE
11,165.74601231634983,0.6185887039664576,False,True,True,True,True,False,True,False,False,False,small,0.022105598360612044,7,46,0.49897057833654657,768,11,none,0.01642606444092269,1.1190548713499532e-08,mean,0.9972434769016835,2,True,False,COMPLETE
12,166.21443852750215,0.6321610625057756,False,True,True,True,True,False,True,False,False,False,small,0.027384245004201956,7,41,0.48707698347576384,752,12,none,0.017873123036300058,4.5671504434154793e-07,mean,0.9970277181557604,2,True,False,COMPLETE
13,167.10671723929087,0.6207064865402158,False,True,True,True,True,False,True,False,False,False,small,0.03139641029781082,7,39,0.40990903253735533,781,12,none,0.013526805401835968,1.4309892655812502e-06,mean,0.9875205787656965,2,True,False,COMPLETE
14,167.39804345965152,0.855095680282954,False,True,True,True,True,False,True,False,False,False,small,0.01098629042479617,5,5,0.40680702957051734,647,44,none,0.01368243750405481,6.240914446207601e-07,idw,0.8221910145369898,2,True,False,COMPLETE
15,165.3011991579288,0.6704751375357234,False,True,True,True,True,False,True,False,False,False,small,0.03795483424914988,8,44,0.42425994000963807,831,35,none,0.08078715293101663,1.6406085915328032e-07,mean,0.9985152446693231,2,True,False,COMPLETE
16,169.35995416710026,0.6803311621300911,False,True,True,True,True,False,True,False,False,False,small,0.04109147629117752,8,71,0.39598408579875427,827,31,none,0.13885322705877445,2.7430346971685866e-05,mean,0.7218139684571143,2,True,False,COMPLETE
17,167.75341755985653,0.5922176624976558,False,True,True,True,True,False,True,False,False,False,small,0.01692594221158646,5,97,0.43260078083214626,665,78,none,0.00149742049826934,9.805716560345599e-08,mean,0.9031483598772443,2,True,False,COMPLETE
18,167.1198297095992,0.7152662750671147,True,False,True,False,True,False,True,True,True,False,small,0.041913076988585825,9,49,0.3641669272294189,828,41,large,0.08984166626714835,7.833344459931454e-06,distance_n_turbines,0.825639976923719,2,True,False,COMPLETE
19,172.75917496732578,0.8427155562090719,False,True,True,True,True,False,True,False,False,False,small,0.04151985251262479,12,33,0.20084164944498034,1000,77,small,0.002179823401560729,0.0002541017804400685,max,0.8797411824153667,2,True,False,COMPLETE
20,168.51023130877277,0.576037868498037,False,True,True,True,True,False,True,False,False,False,none,0.01104605663359553,14,75,0.34697846270358584,844,44,none,2.3578745348668227e-06,1.8013792838353673e-07,idw,0.6873561388194214,2,True,False,COMPLETE
21,168.05015219153975,0.6457369322106136,False,True,True,True,True,False,True,False,False,False,small,0.02292784645970212,8,42,0.4573399563047682,732,16,none,0.05622895176343991,9.751127463435161e-08,mean,0.9868179823015342,2,True,False,COMPLETE
22,167.6752685964288,0.5041866489196678,False,True,True,True,True,False,True,False,False,False,small,0.03042336201220659,5,56,0.44775971503619044,658,25,none,0.029656104013769207,6.418596850265838e-06,mean,0.9954983957905313,2,True,False,COMPLETE
23,167.07116537454624,0.6692746902306113,False,True,True,True,True,False,True,False,False,False,small,0.017916185904096684,8,36,0.4933778712610136,777,21,none,0.0017737520949900102,8.16078302774294e-08,mean,0.9446970633785194,2,True,False,COMPLETE
24,168.01079120270907,0.7304864457044995,False,True,True,True,True,False,True,False,False,False,small,0.03230097909131961,6,24,0.3741789043240937,709,36,none,0.4136886181529086,0.00037477388066289706,capacity,0.999511020164227,2,True,False,COMPLETE
