number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_shortwave_lags_option,params_spatial_agg_method,params_use_solar_geometry,params_vapor_pressure,state
0,594.7990707405828,0.06251373031832898,none,True,True,True,False,False,True,True,True,True,True,True,0.07914306701201022,,large,large,None,True,True,COMPLETE
1,1199.9028776618673,0.75793892446006,small,True,False,True,False,False,True,False,True,True,False,True,0.9302846296312893,1.0,small,none,distance_capacity,True,False,COMPLETE
2,165869.20129386112,0.19240637145974465,none,True,True,False,False,False,True,False,True,False,True,False,0.7283728972885927,1.0,small,none,n_panels,False,True,COMPLETE
3,189338.80078964555,0.9655507045782749,small,True,True,True,False,False,True,False,False,True,True,False,0.7388284894474253,6.0,none,small,distance_n_panels,False,False,COMPLETE
4,184236.62973800744,0.847991901385138,none,False,True,False,False,True,False,False,True,True,True,False,0.7550062770110318,6.0,small,medium,mean,False,False,COMPLETE
5,8874280.814576263,0.9432578570426251,small,False,True,False,True,True,False,True,False,True,True,True,0.2886338495779268,1.0,small,medium,capacity,False,False,COMPLETE
6,993.1478088510236,0.020016046823117195,none,True,True,True,False,False,True,True,True,True,True,True,0.5785700427552343,12.0,large,none,max,False,True,COMPLETE
7,914.2107833412123,0.0467574721119368,medium,False,False,True,True,True,True,True,False,False,True,True,0.9085724011868853,12.0,small,large,n_panels,True,False,COMPLETE
8,83154.95992591606,0.5932904042313141,none,True,True,False,True,True,False,True,True,True,True,False,0.8606149353484078,,none,none,capacity,True,False,COMPLETE
9,206691.75363111732,0.3750237300747924,small,False,False,True,True,True,False,False,False,True,False,False,0.35031607595390785,12.0,none,medium,mean,True,True,COMPLETE
10,586.7104301257673,0.3465491015977665,large,True,False,True,False,False,True,True,True,False,False,True,0.1705435706576074,,large,large,None,True,True,COMPLETE
11,586.7104301257673,0.33327612787588545,large,True,False,True,False,False,True,True,True,False,False,True,0.0405888495723023,,large,large,None,True,True,COMPLETE
