number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
40,20.948474884033203,0.7432278075558043,True,False,False,True,False,False,False,True,False,True,small,0.012727900334803243,5,6,793,none,0.006653533826981403,2.755599952394684e-06,capacity,0.923775558008216,6,True,True,COMPLETE
41,20.738039016723633,0.7902614280454087,True,False,False,True,False,False,True,True,False,False,small,0.010287433724621715,6,7,833,none,2.724236529438469e-05,2.4956286986057137e-08,idw,0.9692568592793952,6,True,True,COMPLETE
42,20.56048583984375,0.8168536840290437,True,False,False,True,False,False,True,True,False,False,small,0.01242442749686868,6,8,773,none,4.770871818583531e-06,1.0305659009182643e-08,idw,0.9567661634165442,6,True,True,COMPLETE
43,20.784664154052734,0.838119625331771,True,False,False,True,False,False,False,True,False,False,small,0.015728262464370993,7,8,741,none,3.7962917969100347e-06,3.955104795312337e-08,idw,0.9280158164550515,6,True,True,COMPLETE
44,21.326215744018555,0.7117476968141948,True,False,True,True,False,False,True,True,False,False,none,0.01240155216818022,6,8,779,none,0.0005641628683923174,9.053290285186826e-08,idw,0.9996920060472689,6,True,True,COMPLETE
45,21.143051147460938,0.6604716655773794,True,False,False,True,False,False,True,True,False,False,small,0.019373594895554895,5,7,676,small,7.228715935524955e-06,1.014373681299742e-08,max,0.8839637425615102,0,True,True,COMPLETE
46,21.397024154663086,0.7941610894503143,True,False,False,True,False,False,True,True,False,False,small,0.024011706173722922,7,2,882,none,1.4633283321993887e-06,1.8955683624700084e-07,idw,0.9124608571996492,6,False,False,COMPLETE
47,20.806665420532227,0.7535792081147745,True,False,True,True,True,False,False,True,True,True,none,0.011979249643431058,6,6,699,none,6.423037739253881e-05,7.156730046062861e-08,distance_n_turbines,0.8451085125212844,6,True,True,COMPLETE
48,21.06307029724121,0.6970146758995553,True,False,False,True,False,False,True,True,False,False,small,0.015159970868123773,7,9,935,none,0.00026148008774188523,4.881540596045841e-06,capacity,0.9630803515231725,6,True,True,COMPLETE
49,21.21820068359375,0.8175881073982155,True,False,False,True,False,False,True,True,False,False,small,0.010007216529312581,6,5,604,small,2.4276750325919624e-05,2.5921399006205267e-08,None,0.7774887863188001,2,False,False,COMPLETE
