number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,551.8220410031744,medium,0.5769688633670826,False,True,False,False,True,False,True,True,False,True,True,0.04822861115608371,13,34,0.01885858866243706,743,33,none,6.889232232452083e-06,2.187645455640725e-05,medium,distance_capacity,0.8798603580483217,True,True,False,COMPLETE
1,530.9077659890551,none,0.5201568554305855,True,False,False,False,True,True,False,False,False,False,False,0.2066060751102032,15,7,0.37523831595803414,897,118,small,2.4578821344439527e-05,0.044738843185449434,medium,n_panels,0.5965831058020054,False,False,False,COMPLETE
2,535.401773089814,small,0.9691722266813139,False,True,False,False,True,False,True,True,True,False,True,0.011586597960606617,10,38,0.012543752007222186,598,73,none,4.3002276171805296e-07,8.521208619251626e-06,none,distance_capacity,0.9048176637838001,False,False,False,COMPLETE
3,512.8743469578061,medium,0.6084031775774101,True,True,False,False,True,False,True,True,False,False,True,0.05786151006472595,12,65,0.014473561108512,608,23,none,7.751086929173969e-05,2.3045647203902036e-08,small,max,0.7452711544441208,False,False,True,COMPLETE
4,530.0443486223074,medium,0.6879116077594117,False,False,False,False,False,True,False,True,True,False,True,0.03314148610180669,4,52,0.05294867394681696,474,27,none,4.728872424080281e-06,1.5805476162232443e-07,large,mean,0.7663921345738359,False,True,True,COMPLETE
5,535.8739118118987,small,0.8776268442679631,True,False,False,False,False,False,False,False,True,False,False,0.0259088165537023,9,57,0.0015746624280374433,745,121,none,0.015603623236282917,0.19822286740316905,large,idw,0.8348864110570468,True,False,False,COMPLETE
6,537.5950079161543,small,0.8921938329311592,True,True,True,True,False,True,False,False,True,False,False,0.024531845801322765,6,56,0.20299683349917041,729,34,small,1.7415363278960393e-07,4.0679680713641366e-08,medium,distance_capacity,0.7968746064523822,True,True,True,COMPLETE
7,535.6132553930066,none,0.6778994511229349,False,False,False,True,False,True,False,False,False,True,False,0.27801273119082254,8,68,0.21037197610174563,309,35,large,2.911136224907665e-07,1.0660039777042196e-06,small,None,0.6377454075373185,False,True,False,COMPLETE
8,550.2372151978112,large,0.935248503191936,False,False,True,True,True,True,True,True,True,True,False,0.04064064299159477,14,48,0.3410261371811473,489,15,small,3.975633189084492e-06,0.0004371405736210554,large,distance_capacity,0.9540748564756985,True,True,False,COMPLETE
9,498.07477561385025,large,0.5170034487049786,False,False,False,True,False,False,True,False,True,False,False,0.05013522938546067,5,61,0.16160734411424021,563,103,small,7.81315373631365e-07,1.3352911047541308e-07,large,distance_n_panels,0.5618605227544144,False,True,False,COMPLETE
10,525.2279595193162,large,0.7863861264471862,False,False,True,True,False,False,True,False,True,True,False,0.1115977330576623,3,100,0.4884056483715725,957,142,large,0.004148411350319067,0.0006578893224575885,none,distance_n_panels,0.50457599729426,False,True,True,COMPLETE
11,508.13128236203517,medium,0.5896166476352901,True,True,False,True,True,False,True,True,False,False,True,0.0970675634101921,11,82,0.12337482741364304,579,78,small,0.000420229691033226,1.8191810589505878e-08,small,max,0.6823347819084966,False,False,True,COMPLETE
12,518.8319652878007,large,0.5088293531571003,True,True,False,True,True,False,True,False,False,False,True,0.09686857511918781,6,89,0.1297551339418499,476,76,small,1.1338262311625548e-08,8.213042148514933e-07,small,distance_n_panels,0.6524015540446351,False,False,True,COMPLETE
13,503.67516672815356,medium,0.6017194487446444,True,True,False,True,False,False,True,True,False,False,True,0.0902174356960077,11,79,0.13491909039967015,345,98,small,0.0009289260450767622,2.0779409407199444e-08,small,max,0.5076644001964735,False,False,True,COMPLETE
14,504.82639109976736,large,0.6908777760823589,False,False,True,True,False,False,True,True,True,False,False,0.06500376379755517,6,76,0.27580771756816075,310,101,small,0.39804760239858605,7.238432165604009e-07,large,capacity,0.5011587386480215,False,False,False,COMPLETE
15,557.4448398709909,large,0.7760115271806676,True,True,False,True,False,False,True,False,False,False,True,0.15438803599688658,8,94,0.12072872720921377,458,100,small,0.001150228187979906,1.9639463818754406e-05,small,distance_n_panels,0.5714143912263197,False,True,True,COMPLETE
16,489.09764529578496,medium,0.6333129605919279,True,True,False,True,False,False,True,True,False,False,False,0.01673086990876584,16,75,0.17918634722381274,385,54,small,0.07631936162143452,0.007383226337638586,large,max,0.5570076345332224,False,True,True,COMPLETE
