Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,False
use_solar_geometry,True
compute_air_density,True
compute_air_density_moist,True
compute_direct_ratio,False
compute_diffuse_ratio,False
compute_dni_ratio,True
compute_global_tilted_ratio,True
dew_point_temperature,False
vapor_pressure,True
precip_lags_option,large
cloud_lags_option,medium
shortwave_lags_option,large
drop_raw_solar_features,False
drop_raw_features,False
spatial_agg_method,max
n_estimators,586
learning_rate,0.037350822780539965
num_leaves,71
max_depth,11
min_child_samples,93
subsample,0.9142335098078456
colsample_bytree,0.5714587816035392
reg_alpha,1.2892361484770713e-07
reg_lambda,0.003995030789979849
min_split_gain,0.48075615169839037
use_base_models_pred_intervals,False
cv_folds_base,40
