date,prognostizierte_erzeugung_onshore,prognostizierte_erzeugung_offshore,prognostizierte_erzeugung_photovoltaik,prognostizierter_verbrauch_gesamt,prognostizierte_erzeugung_gesamt,prognostizierte_erzeugung_wind_und_photovoltaik,prognostizierte_erzeugung_sonstige,prognostizierter_verbrauch_residuallast
2026-09-19 00:00:00+00:00,18930.684789393894,6446.494820469731,-1352.5473184520906,39280.92196763304,42406.595294272694,24024.632291411537,18381.963002861157,15256.289676221502
2026-09-19 01:00:00+00:00,20671.050525223225,6432.865735614478,-766.8262462084755,38926.35552514859,43261.234177449485,26337.090014629226,16924.14416282026,12589.265510519363
2026-09-19 02:00:00+00:00,22127.026596324136,5798.866689109387,1249.1382215782241,39402.151231607386,39355.600883605846,29175.031507011747,10180.5693765941,10227.11972459564
2026-09-19 03:00:00+00:00,24204.63496935424,6276.266697815303,2304.505623286484,41302.754364427456,41796.27703204988,32785.40729045602,9010.869741593859,8517.347073971432
2026-09-19 04:00:00+00:00,24225.32245505228,6158.713729006648,3276.363638742258,43670.76008298772,44643.91570280408,33660.399822801184,10983.515880002895,10010.360260186535
2026-09-19 05:00:00+00:00,23846.811599875673,6375.421922768783,4174.354689941596,46521.06755561515,46671.29660251332,34396.58821258605,12274.70838992727,12124.479343029096
2026-09-19 06:00:00+00:00,23276.669236490703,6402.494347683476,5564.8042681487705,48788.8301896277,49482.59828374861,35243.96785232295,14238.630431425656,13544.862337304745
2026-09-19 07:00:00+00:00,23571.818906330547,6575.220340830727,11981.140130222253,51070.59794348425,54175.77303127078,42128.17937738352,12047.593653887256,8942.418566100729
2026-09-19 08:00:00+00:00,23916.80542443478,5936.146727088948,18565.712540097345,53561.12893432775,59434.32463790859,48418.664691621074,11015.659946287517,5142.464242706679
2026-09-19 09:00:00+00:00,24434.98838526949,5766.959178849353,22894.20443042888,53605.47101188007,63766.51206809384,53096.15199454772,10670.360073546122,509.3190173323528
2026-09-19 10:00:00+00:00,22356.45081128962,5482.863839448663,23437.61648774382,52499.58723562462,62791.12460865013,51276.931138482105,11514.193470168022,1222.6560971425133
2026-09-19 11:00:00+00:00,24572.941702536584,5040.043591780468,23185.967024030746,51320.33278767687,62243.38771686652,52798.9523183478,9444.435398518719,-1478.6195306709342
2026-09-19 12:00:00+00:00,23521.034552643116,4280.908187631326,20645.762790014192,50446.145981459435,60490.177295171,48447.70553028863,12042.471764882372,1998.4404511708053
2026-09-19 13:00:00+00:00,26143.93863478325,4510.929979104285,18784.136147105422,50185.43486338339,61229.45468838014,49439.00476099296,11790.449927387177,746.4301023904263
2026-09-19 14:00:00+00:00,26084.58397495903,5209.825454199288,17106.65402569316,50530.599589053185,60017.34798157901,48401.06345485148,11616.284526727533,2129.536134201706
2026-09-19 15:00:00+00:00,26704.701863139384,6327.406585497363,13262.995751198392,51925.832116912265,56708.15589816683,46295.10419983514,10413.051698331685,5630.727917077122
2026-09-19 16:00:00+00:00,25154.178217616594,6496.263765539378,7443.082212868351,53072.95384760544,53838.47306111824,39093.52419602432,14744.948865093917,13979.429651581115
2026-09-19 17:00:00+00:00,24759.215981122477,6394.2656914210565,794.6838139921197,54402.168864809166,55603.602767980534,31948.165486535654,23655.43728144488,22454.00337827351
2026-09-19 18:00:00+00:00,25155.735637204696,6360.73429287891,-2258.8302340428745,51993.24868295113,52252.9640435321,29257.639696040733,22995.324347491365,22735.6089869104
2026-09-19 19:00:00+00:00,25154.025342209912,6359.74755071854,-874.7991240393029,49272.115062138015,49211.55866775853,30638.97376888915,18572.58489886938,18633.141293248864
