number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,1131.8357462537303,0.8783848112280699,False,True,True,False,False,True,False,False,True,True,small,0.016414145427909328,9,5,0.1707875116438347,464,101,none,0.00026696735034575925,0.13938226275869053,distance_n_turbines,0.6378126228758494,6,False,True,COMPLETE
1,992.8250070365463,0.5000582316589097,True,False,True,True,False,True,True,True,False,False,small,0.09359453660728864,4,6,0.2957394917088209,312,61,small,0.0066612268545157725,1.7289044758562203e-05,None,0.5436751953522927,6,True,True,COMPLETE
2,956.7945287843809,0.5691842795562487,False,False,True,True,False,True,True,True,True,True,none,0.022116905077924773,15,19,0.027476092301131405,882,19,small,0.06349466547826624,5.455171298083212e-05,distance_n_turbines,0.5156486573895536,6,True,True,COMPLETE
3,1090.9522193184139,0.7096009931876961,True,False,False,False,False,True,False,False,True,True,none,0.28208678777254775,13,61,0.08316370438378068,659,72,small,0.00023939083754848933,0.0002997428113363225,distance_n_turbines,0.783257591964598,0,True,False,COMPLETE
4,1016.8808065541722,0.8454625478953491,False,True,False,False,True,True,False,True,False,False,small,0.07465745927811161,5,56,0.11624457458121229,585,100,small,0.02667246051154805,3.32756620888855e-08,idw,0.7809140998824192,0,True,True,COMPLETE
5,1006.7364602304973,0.7386636368332051,True,True,True,False,False,True,False,True,True,False,small,0.01662992516537729,8,55,0.17849374290118492,773,89,none,0.01290382317540617,2.390504559160411e-07,distance_n_turbines,0.807554282374511,2,False,True,COMPLETE
6,1061.5666905776643,0.5085258299758135,True,True,True,False,True,False,False,True,True,False,small,0.010554127697688863,8,63,0.2311099189046366,306,113,large,0.012525310792651493,4.5300162189082333e-07,distance_n_turbines,0.5586844655129151,6,False,False,COMPLETE
7,1112.8724792294106,0.7735920967804462,True,True,False,True,False,True,False,False,False,False,small,0.010761905435662227,7,25,0.052797455138183014,944,70,large,6.898885462485058e-07,0.02212140485138055,mean,0.6346510273680179,2,False,False,COMPLETE
8,1048.5854157803697,0.6463321395060031,True,False,False,False,True,True,True,True,False,True,large,0.28205807472081584,4,45,0.23620909356812692,838,144,none,0.00014001847180087872,5.579099464009742e-07,distance_capacity,0.5613190722150196,6,False,True,COMPLETE
9,1010.9792484612854,0.6846692474678691,True,False,False,False,True,True,False,True,True,True,none,0.14409973656921274,8,10,0.14974659569295606,665,92,none,1.2876985100287596e-05,0.0001692764021963397,distance_n_turbines,0.5550300238361654,2,False,True,COMPLETE
10,1027.173579463473,0.961475259440489,False,False,True,True,False,False,True,False,True,True,none,0.036657419990021596,16,85,0.4410499144820885,1000,20,small,0.6702991758821504,0.0036589662735793606,max,0.8974526159264093,6,True,False,COMPLETE
11,985.644854785268,0.5139175614589773,False,False,True,True,False,False,True,True,False,False,large,0.04668138698754953,12,26,0.3721580932680152,356,17,small,0.29675003436824965,1.588910034122325e-05,None,0.5010473004774688,6,True,True,COMPLETE
12,982.7037063062045,0.590377198776001,False,False,True,True,False,False,True,True,False,True,large,0.03453400492473589,12,30,0.38716546332959056,479,14,small,0.9046205198352691,1.2552615023012046e-05,capacity,0.662966036865804,6,True,True,COMPLETE
13,991.387409302325,0.5986939850821135,False,False,True,True,False,False,True,True,False,True,large,0.030151085929959645,16,32,0.45884015778968945,520,40,small,0.9976461760811103,8.202033379624841e-06,capacity,0.6724648629954587,6,True,True,COMPLETE
14,985.8018459269961,0.6063330335546034,False,False,True,True,False,False,True,True,True,True,large,0.02548482494280983,13,37,0.351972958202945,770,43,small,2.1228735847437415e-08,0.0016937724265835704,capacity,0.6919872374567022,6,True,True,COMPLETE
15,992.6483127974543,0.5704527933991081,False,False,True,True,False,False,True,True,False,True,none,0.021808136907516634,11,18,0.011221189863036909,438,10,small,0.001235164220589032,2.7291560198929814e-06,capacity,0.9531868702848798,0,True,True,COMPLETE
16,984.4441713963156,0.5757074656804995,False,False,True,True,False,False,True,True,False,True,none,0.056662492874439495,14,42,0.4979031684655527,897,35,large,0.10430219981534529,1.2296244724763385e-08,mean,0.7319667670596982,6,True,True,COMPLETE
17,981.6185120594929,0.6469311705337109,False,False,True,True,False,False,True,True,True,True,large,0.04147384310465491,15,73,0.327871209331308,733,52,small,0.062073118942640865,0.9041445425760953,idw,0.851189322976664,6,True,True,COMPLETE
18,986.6541763578613,0.7941361591872336,False,False,True,True,True,True,True,False,True,True,large,0.12394280432552458,15,78,0.3037725596916803,745,53,small,8.75613244233554e-06,0.3974279739571668,idw,0.840923835515782,2,True,False,COMPLETE
19,967.4952550324673,0.6536775321031729,False,False,True,True,False,False,True,True,True,True,none,0.05020237078774637,10,100,0.2889788262247195,874,31,large,0.0018024199140911307,0.03324123579024447,idw,0.9988559792834958,0,True,True,COMPLETE
20,973.7255610661737,0.6651945377369602,False,False,True,True,False,False,True,True,True,True,none,0.021228430613138363,10,99,0.26677515829832976,857,28,large,0.0032049492044388746,0.022551072670863686,distance_capacity,0.9998780116955267,0,True,True,COMPLETE
