Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,True
vapor_pressure,True
gust_factor,False
turbulence_window,0
lags_choice,none
precip_lags_choice,none
drop_raw_main_features,True
drop_raw_wind_features,False
spatial_agg_method,max
n_estimators,973
learning_rate,0.05330926222691251
num_leaves,32
max_depth,4
min_child_samples,5
subsample,0.7257645264956674
colsample_bytree,0.8075912405484331
reg_alpha,4.1736521608319545e-06
reg_lambda,0.003930054238605862
min_split_gain,0.0006324913852793108
use_base_models_pred_intervals,False
cv_folds_base,40
